verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
1TH.1.1	1	1	Paul, and Silvanus, and Timotheus, unto the church of the Thessalonians {which is} in God the Father and {in} the Lord Jesus Christ: Grace {be} unto you, and peace, from God our Father, and the Lord Jesus Christ.	0.0	neutral	PABLO, y Silvano, y Timoteo, á la iglesia de los Tesalonicenses que es en Dios Padre y en el Señor Jesucristo: Gracia y paz á vosotros de Dios nuestro Padre y del Señor Jesucristo.
1TH.1.2	1	2	We give thanks to God always for you all, making mention of you in our prayers;	0.2	positive	Damos siempre gracias á Dios por todos vosotros, haciendo memoria de vosotros en nuestras oraciones;
1TH.1.3	1	3	Remembering without ceasing your work of faith, and labour of love, and patience of hope in our Lord Jesus Christ, in the sight of God and our Father;	0.5	positive	Sin cesar acordándonos delante del Dios y Padre nuestro de la obra de vuestra fe, y del trabajo de amor, y de la tolerancia de la esperanza del Señor nuestro Jesucristo:
1TH.1.4	1	4	Knowing, brethren beloved, your election of God. {beloved...: or, beloved of God, your election}	0.7	positive	Sabiendo, hermanos amados de Dios, vuestra elección:
1TH.1.5	1	5	For our gospel came not unto you in word only, but also in power, and in the Holy Ghost, and in much assurance; as ye know what manner of men we were among you for your sake.	0.1	neutral	Por cuanto nuestro evangelio no fué á vosotros en palabra solamente, mas también en potencia, y en Espíritu Santo, y en gran plenitud; como sabéis cuáles fuimos entre vosotros por amor de vosotros.
1TH.1.6	1	6	And ye became followers of us, and of the Lord, having received the word in much affliction, with joy of the Holy Ghost:	0.5	positive	Y vosotros fuisteis hechos imitadores de nosotros, y del Señor, recibiendo la palabra con mucha tribulación, con gozo del Espíritu Santo:
1TH.1.7	1	7	So that ye were ensamples to all that believe in Macedonia and Achaia.	0.0	neutral	En tal manera que habéis sido ejemplo á todos los que han creído en Macedonia y en Acaya.
1TH.1.8	1	8	For from you sounded out the word of the Lord not only in Macedonia and Achaia, but also in every place your faith to God-ward is spread abroad; so that we need not to speak any thing.	0.0	neutral	Porque de vosotros ha sido divulgada la palabra del Señor no sólo en Macedonia y en Acaya, mas aun en todo lugar vuestra fe en Dios se ha extendido; de modo que no tenemos necesidad de hablar nada.
1TH.1.9	1	9	For they themselves shew of us what manner of entering in we had unto you, and how ye turned to God from idols to serve the living and true God;	0.35	positive	Porque ellos cuentan de nosotros cuál entrada tuvimos á vosotros; y cómo os convertisteis de los ídolos á Dios, para servir al Dios vivo y verdadero.
1TH.1.10	1	10	And to wait for his Son from heaven, whom he raised from the dead, {even} Jesus, which delivered us from the wrath to come.	-0.2	negative	Y esperar á su Hijo de los cielos, al cual resucitó de los muertos; á Jesús, el cual nos libró de la ira que ha de venir.
1TH.2.1	2	1	For yourselves, brethren, know our entrance in unto you, that it was not in vain:	0.0	neutral	PORQUE, hermanos, vosotros mismos sabéis que nuestra entrada á vosotros no fué vana:
1TH.2.2	2	2	But even after that we had suffered before, and were shamefully entreated, as ye know, at Philippi, we were bold in our God to speak unto you the gospel of God with much contention.	0.2667	positive	Pues aun habiendo padecido antes, y sido afrentados en Filipos, como sabéis, tuvimos denuedo en Dios nuestro para anunciaros el evangelio de Dios con gran combate.
1TH.2.3	2	3	For our exhortation {was} not of deceit, nor of uncleanness, nor in guile:	0.0	neutral	Porque nuestra exhortación no fué de error, ni de inmundicia, ni por engaño;
1TH.2.4	2	4	But as we were allowed of God to be put in trust with the gospel, even so we speak; not as pleasing men, but God, which trieth our hearts.	0.0	neutral	Sino según fuimos aprobados de Dios para que se nos encargase el evangelio, así hablamos; no como los que agradan á los hombres, sino á Dios, el cual prueba nuestros corazones.
1TH.2.5	2	5	For neither at any time used we flattering words, as ye know, nor a cloke of covetousness; God {is} witness:	0.0	neutral	Porque nunca fuimos lisonjeros en la palabra, como sabéis, ni tocados de avaricia; Dios es testigo;
1TH.2.6	2	6	Nor of men sought we glory, neither of you, nor {yet} of others, when we might have been burdensome, as the apostles of Christ. {been...: or, used authority}	0.0	neutral	Ni buscamos de los hombres gloria, ni de vosotros, ni de otros, aunque podíamos seros carga como apóstoles de Cristo.
1TH.2.7	2	7	But we were gentle among you, even as a nurse cherisheth her children:	0.2	positive	Antes fuimos blandos entre vosotros como la que cría, que regala á sus hijos:
1TH.2.8	2	8	So being affectionately desirous of you, we were willing to have imparted unto you, not the gospel of God only, but also our own souls, because ye were dear unto us.	0.2833	positive	Tan amadores de vosotros, que quisiéramos entregaros no sólo el evangelio de Dios, mas aun nuestras propias almas; porque nos erais carísimos.
1TH.2.9	2	9	For ye remember, brethren, our labour and travail: for labouring night and day, because we would not be chargeable unto any of you, we preached unto you the gospel of God.	0.0	neutral	Porque ya, hermanos, os acordáis de nuestro trabajo y fatiga: que trabajando de noche y de día por no ser gravosos á ninguno de vosotros, os predicamos el evangelio de Dios.
1TH.2.10	2	10	Ye {are} witnesses, and God {also}, how holily and justly and unblameably we behaved ourselves among you that believe:	0.0	neutral	Vosotros sois testigos, y Dios, de cuán santa y justa é irreprensiblemente nos condujimos con vosotros que creísteis:
1TH.2.11	2	11	As ye know how we exhorted and comforted and charged every one of you, as a father {doth} his children,	0.0	neutral	Así como sabéis de qué modo exhortábamos y consolábamos á cada uno de vosotros, como el padre á sus hijos,
1TH.2.12	2	12	That ye would walk worthy of God, who hath called you unto his kingdom and glory.	0.3333	positive	Y os protestábamos que anduvieseis como es digno de Dios, que os llamó á su reino y gloria.
1TH.2.13	2	13	For this cause also thank we God without ceasing, because, when ye received the word of God which ye heard of us, ye received {it} not {as} the word of men, but as it is in truth, the word of God, which effectually worketh also in you that believe.	0.0	neutral	Por lo cual, también nosotros damos gracias á Dios sin cesar, de que habiendo recibido la palabra de Dios que oísteis de nosotros, recibisteis no palabra de hombres, sino según es en verdad, la palabra de Dios, el cual obra en vosotros los que creísteis.
1TH.2.14	2	14	For ye, brethren, became followers of the churches of God which in Judaea are in Christ Jesus: for ye also have suffered like things of your own countrymen, even as they {have} of the Jews:	0.6	positive	Porque vosotros, hermanos, habéis sido imitadores de las iglesias de Dios en Cristo Jesús que están en Judea; pues habéis padecido también vosotros las mismas cosas de los de vuestra propia nación, como también ellos de los Judíos;
1TH.2.15	2	15	Who both killed the Lord Jesus, and their own prophets, and have persecuted us; and they please not God, and are contrary to all men: {persecuted us: or, chased us out}	-0.1167	negative	Los cuales aun mataron al Señor Jesús y á sus propios profetas, y á nosotros nos han perseguido; y no agradan á Dios, y se oponen á todos los hombres;
1TH.2.16	2	16	Forbidding us to speak to the Gentiles that they might be saved, to fill up their sins alway: for the wrath is come upon them to the uttermost.	0.0	neutral	Prohibiéndonos hablar á los Gentiles, á fin de que se salven, para henchir la medida de sus pecados siempre: pues vino sobre ellos la ira hasta el extremo.
1TH.2.17	2	17	But we, brethren, being taken from you for a short time in presence, not in heart, endeavoured the more abundantly to see your face with great desire.	0.475	positive	Mas nosotros, hermanos, privados de vosotros por un poco de tiempo, de vista, no de corazón, tanto más procuramos con mucho deseo ver vuestro rostro.
1TH.2.18	2	18	Wherefore we would have come unto you, even I Paul, once and again; but Satan hindered us.	-0.2	negative	Por lo cual quisimos ir á vosotros, yo Pablo á la verdad, una vez y otra; mas Satanás nos embarazó.
1TH.2.19	2	19	For what {is} our hope, or joy, or crown of rejoicing? {Are} not even ye in the presence of our Lord Jesus Christ at his coming? {rejoicing: or, glorying?}	0.8	positive	Porque ¿cuál es nuestra esperanza, ó gozo, ó corona de que me gloríe? ¿No sois vosotros, delante de nuestro Señor Jesucristo en su venida?
1TH.2.20	2	20	For ye are our glory and joy.	0.8	positive	Que vosotros sois nuestra gloria y gozo.
1TH.3.1	3	1	Wherefore when we could no longer forbear, we thought it good to be left at Athens alone;	0.35	positive	POR lo cual, no pudiendo esperar más, acordamos quedarnos solos en Atenas,
1TH.3.2	3	2	And sent Timotheus, our brother, and minister of God, and our fellowlabourer in the gospel of Christ, to establish you, and to comfort you concerning your faith:	0.0	neutral	Y enviamos á Timoteo, nuestro hermano, y ministro de Dios, y colaborador nuestro en el evangelio de Cristo, á confirmaros y exhortaros en vuestra fe,
1TH.3.3	3	3	That no man should be moved by these afflictions: for yourselves know that we are appointed thereunto. {there unto: or, to sufferings, or, to persecution}	0.0	neutral	Para que nadie se conmueva por estas tribulaciones; porque vosotros sabéis que nosotros somos puestos para esto.
1TH.3.4	3	4	For verily, when we were with you, we told you before that we should suffer tribulation; even as it came to pass, and ye know.	0.0	neutral	Que aun estando con vosotros, os predecíamos que habíamos de pasar tribulaciones, como ha acontecido y sabéis.
1TH.3.5	3	5	For this cause, when I could no longer forbear, I sent to know your faith, lest by some means the tempter have tempted you, and our labour be in vain.	0.0	neutral	Por lo cual, también yo, no esperando más, he enviado á reconocer vuestra fe, no sea que os haya tentado el tentador, y que nuestro trabajo haya sido en vano.
1TH.3.6	3	6	But now when Timotheus came from you unto us, and brought us good tidings of your faith and charity, and that ye have good remembrance of us always, desiring greatly to see us, as we also {to see} you:	0.7333	positive	Empero volviendo de vosotros á nosotros Timoteo, y haciéndonos saber vuestra fe y caridad, y que siempre tenéis buena memoria de nosotros, deseando vernos, como también nosotros á vosotros,
1TH.3.7	3	7	Therefore, brethren, we were comforted over you in all our affliction and distress by your faith:	0.0	neutral	En ello, hermanos, recibimos consolación de vosotros en toda nuestra necesidad y aflicción por causa de vuestra fe:
1TH.3.8	3	8	For now we live, if ye stand fast in the Lord.	0.1682	positive	Porque ahora vivimos, si vosotros estáis firmes en el Señor.
1TH.3.9	3	9	For what thanks can we render to God again for you, for all the joy wherewith we joy for your sakes before our God;	0.6	positive	Por lo cual, ¿qué hacimiento de gracias podremos dar á Dios por vosotros, por todo el gozo con que nos gozamos á causa de vosotros delante de nuestro Dios,
1TH.3.10	3	10	Night and day praying exceedingly that we might see your face, and might perfect that which is lacking in your faith?	1.0	positive	Orando de noche y de día con grande instancia, que veamos vuestro rostro, y que cumplamos lo que falta á vuestra fe?
1TH.3.11	3	11	Now God himself and our Father, and our Lord Jesus Christ, direct our way unto you. {direct: or, guide}	0.1	neutral	Mas el mismo Dios y Padre nuestro, y el Señor nuestro Jesucristo, encamine nuestro viaje á vosotros.
1TH.3.12	3	12	And the Lord make you to increase and abound in love one toward another, and toward all {men}, even as we {do} toward you:	0.5	positive	Y á vosotros multiplique el Señor, y haga abundar el amor entre vosotros, y para con todos, como es también de nosotros para con vosotros;
1TH.3.13	3	13	To the end he may stablish your hearts unblameable in holiness before God, even our Father, at the coming of our Lord Jesus Christ with all his saints. {saints: or, holy ones, or, angels}	0.0	neutral	Para que sean confirmados vuestros corazones en santidad, irreprensibles delante de Dios y nuestro Padre, para la venida de nuestro Señor Jesucristo con todos sus santos.
1TH.4.1	4	1	Furthermore then we beseech you, brethren, and exhort {you} by the Lord Jesus, that as ye have received of us how ye ought to walk and to please God, {so} ye would abound more and more. {beseech: or, request} {exhort: or, beseech}	0.5	positive	RESTA pues, hermanos, que os roguemos y exhortemos en el Señor Jesús, que de la manera que fuisteis enseñados de nosotros de cómo os conviene andar, y agradar á Dios, así vayáis creciendo.
1TH.4.2	4	2	For ye know what commandments we gave you by the Lord Jesus.	0.0	neutral	Porque ya sabéis qué mandamientos os dimos por el Señor Jesús.
1TH.4.3	4	3	For this is the will of God, {even} your sanctification, that ye should abstain from fornication:	0.0	neutral	Porque la voluntad de Dios es vuestra santificación: que os apartéis de fornicación;
1TH.4.4	4	4	That every one of you should know how to possess his vessel in sanctification and honour;	0.0	neutral	Que cada uno de vosotros sepa tener su vaso en santificación y honor;
1TH.4.5	4	5	Not in the lust of concupiscence, even as the Gentiles which know not God:	0.0	neutral	No con afecto de concupiscencia, como los Gentiles que no conocen á Dios:
1TH.4.6	4	6	That no {man} go beyond and defraud his brother in {any} matter: because that the Lord {is} the avenger of all such, as we also have forewarned you and testified. {defraud: or, oppress, or, overreach} {in...: or, in the matter}	0.0	neutral	Que ninguno oprima, ni engañe en nada á su hermano: porque el Señor es vengador de todo esto, como ya os hemos dicho y protestado.
1TH.4.7	4	7	For God hath not called us unto uncleanness, but unto holiness.	0.0	neutral	Porque no nos ha llamado Dios á inmundicia, sino á santificación.
1TH.4.8	4	8	He therefore that despiseth, despiseth not man, but God, who hath also given unto us his holy Spirit. {despiseth: or, rejecteth}	0.0	neutral	Así que, el que menosprecia, no menosprecia á hombre, sino á Dios, el cual también nos dió su Espíritu Santo.
1TH.4.9	4	9	But as touching brotherly love ye need not that I write unto you: for ye yourselves are taught of God to love one another.	0.5	positive	Mas acerca de la caridad fraterna no habéis menester que os escriba: porque vosotros mismos habéis aprendido de Dios que os améis los unos á los otros;
1TH.4.10	4	10	And indeed ye do it toward all the brethren which are in all Macedonia: but we beseech you, brethren, that ye increase more and more;	0.5	positive	Y también lo hacéis así con todos los hermanos que están por toda Macedonia. Empero os rogamos, hermanos, que abundéis más;
1TH.4.11	4	11	And that ye study to be quiet, and to do your own business, and to work with your own hands, as we commanded you;	0.4	positive	Y que procuréis tener quietud, y hacer vuestros negocios, y obréis de vuestras manos de la manera que os hemos mandado;
1TH.4.12	4	12	That ye may walk honestly toward them that are without, and {that} ye may have lack of nothing. {of...: or, of no man}	0.6	positive	A fin de que andéis honestamente para con los extraños, y no necesitéis de nada.
1TH.4.13	4	13	But I would not have you to be ignorant, brethren, concerning them which are asleep, that ye sorrow not, even as others which have no hope.	0.0	neutral	Tampoco, hermanos, queremos que ignoréis acerca de los que duermen, que no os entristezcáis como los otros que no tienen esperanza.
1TH.4.14	4	14	For if we believe that Jesus died and rose again, even so them also which sleep in Jesus will God bring with him.	0.6	positive	Porque si creemos que Jesús murió y resucitó, así también traerá Dios con él á los que durmieron en Jesús.
1TH.4.15	4	15	For this we say unto you by the word of the Lord, that we which are alive {and} remain unto the coming of the Lord shall not prevent them which are asleep. {prevent: or, come before, or, anticipate, or, precede}	0.1	neutral	Por lo cual, os decimos esto en palabra del Señor: que nosotros que vivimos, que habremos quedado hasta la venida del Señor, no seremos delanteros á los que durmieron.
1TH.4.16	4	16	For the Lord himself shall descend from heaven with a shout, with the voice of the archangel, and with the trump of God: and the dead in Christ shall rise first:	0.025	neutral	Porque el mismo Señor con aclamación, con voz de arcángel, y con trompeta de Dios, descenderá del cielo; y los muertos en Cristo resucitarán primero:
1TH.4.17	4	17	Then we which are alive {and} remain shall be caught up together with them in the clouds, to meet the Lord in the air: and so shall we ever be with the Lord.	0.1	neutral	Luego nosotros, los que vivimos, los que quedamos, juntamente con ellos seremos arrebatados en las nubes á recibir al Señor en el aire, y así estaremos siempre con el Señor.
1TH.4.18	4	18	Wherefore comfort one another with these words. {comfort: or, exhort}	0.0	neutral	Por tanto, consolaos los unos á los otros en estas palabras.
1TH.5.1	5	1	But of the times and the seasons, brethren, ye have no need that I write unto you.	0.0	neutral	EMPERO acerca de los tiempos y de los momentos, no tenéis, hermanos, necesidad de que yo os escriba:
1TH.5.2	5	2	For yourselves know perfectly that the day of the Lord so cometh as a thief in the night.	1.0	positive	Porque vosotros sabéis bien, que el día del Señor vendrá así como ladrón de noche,
1TH.5.3	5	3	For when they shall say, Peace and safety; then sudden destruction cometh upon them, as travail upon a woman with child; and they shall not escape.	0.0	neutral	Que cuando dirán, Paz y seguridad, entonces vendrá sobre ellos destrucción de repente, como los dolores á la mujer preñada; y no escaparán.
1TH.5.4	5	4	But ye, brethren, are not in darkness, that that day should overtake you as a thief.	0.0	neutral	Mas vosotros, hermanos, no estáis en tinieblas, para que aquel día os sobrecoja como ladrón;
1TH.5.5	5	5	Ye are all the children of light, and the children of the day: we are not of the night, nor of darkness.	0.4	positive	Porque todos vosotros sois hijos de luz, é hijos del día; no somos de la noche, ni de las tinieblas.
1TH.5.6	5	6	Therefore let us not sleep, as {do} others; but let us watch and be sober.	0.1	neutral	Por tanto, no durmamos como los demás; antes velemos y seamos sobrios.
1TH.5.7	5	7	For they that sleep sleep in the night; and they that be drunken are drunken in the night.	0.0	neutral	Porque los que duermen, de noche duermen; y los que están borrachos, de noche están borrachos.
