verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
2KI.11.5	11	5	And he commanded them, saying, This {is} the thing that ye shall do; A third part of you that enter in on the sabbath shall even be keepers of the watch of the king's house;	0.0	neutral	Y mandóles, diciendo: Esto es lo que habéis de hacer: la tercera parte de vosotros, los que entrarán el sábado, tendrán la guardia de la casa del rey;
2KI.11.6	11	6	And a third part {shall be} at the gate of Sur; and a third part at the gate behind the guard: so shall ye keep the watch of the house, that it be not broken down. {that...: or, from breaking up}	-0.0711	neutral	Y la otra tercera parte estará á la puerta del sur, y la otra tercera parte á la puerta del postigo de los de la guardia: así guardaréis la casa, para que no sea allanada.
2KI.11.7	11	7	And two parts of all you that go forth on the sabbath, even they shall keep the watch of the house of the LORD about the king. {parts: or, companies: Heb. hands}	0.0	neutral	Y las dos partes de vosotros, es á saber, todos los que salen el sábado, tendréis la guarda de la casa de Jehová junto al rey.
2KI.11.8	11	8	And ye shall compass the king round about, every man with his weapons in his hand: and he that cometh within the ranges, let him be slain: and be ye with the king as he goeth out and as he cometh in.	-0.2	negative	Y estaréis alrededor del rey de todas partes, teniendo cada uno sus armas en las manos, y cualquiera que entrare dentro de estos órdenes, sea muerto. Y habéis de estar con el rey cuando saliere, y cuando entrare.
2KI.11.9	11	9	And the captains over the hundreds did according to all {things} that Jehoiada the priest commanded: and they took every man his men that were to come in on the sabbath, with them that should go out on the sabbath, and came to Jehoiada the priest.	0.0	neutral	Los centuriones pues, hicieron todo como el sacerdote Joiada les mandó: y tomando cada uno los suyos, es á saber, los que habían de entrar el sábado, y los que habían salido el sábado, viniéronse á Joiada el sacerdote.
2KI.11.10	11	10	And to the captains over hundreds did the priest give king David's spears and shields, that {were} in the temple of the LORD.	0.0	neutral	Y el sacerdote dió á los centuriones las picas y los escudos que habían sido del rey David, que estaban en la casa de Jehová.
2KI.11.11	11	11	And the guard stood, every man with his weapons in his hand, round about the king, from the right corner of the temple to the left corner of the temple, {along} by the altar and the temple. {corner: Heb. shoulder}	0.0286	neutral	Y los de la guardia se pusieron en orden, teniendo cada uno sus armas en sus manos, desde el lado derecho de la casa hasta el lado izquierdo, junto al altar y el templo, en derredor del rey.
2KI.11.12	11	12	And he brought forth the king's son, and put the crown upon him, and {gave him} the testimony; and they made him king, and anointed him; and they clapped their hands, and said, God save the king. {God...: Heb. Let the king live}	0.1364	positive	Sacando luego Joiada al hijo del rey, púsole la corona y el testimonio, é hiciéronle rey ungiéndole; y batiendo las manos dijeron: ¡Viva el rey!
2KI.11.13	11	13	And when Athaliah heard the noise of the guard {and} of the people, she came to the people into the temple of the LORD.	0.0	neutral	Y oyendo Athalía el estruendo del pueblo que corría, entró al pueblo en el templo de Jehová;
2KI.11.14	11	14	And when she looked, behold, the king stood by a pillar, as the manner {was}, and the princes and the trumpeters by the king, and all the people of the land rejoiced, and blew with trumpets: and Athaliah rent her clothes, and cried, Treason, Treason.	0.0	neutral	Y como miró, he aquí el rey que estaba junto á la columna, conforme á la costumbre, y los príncipes y los trompetas junto al rey; y que todo el pueblo del país hacía alegrías, y que tocaban las trompetas. Entonces Athalía, rasgando sus vestidos, clamó á voz en grito: ¡Traición, traición!
