verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
COL.1.1	1	1	Paul, an apostle of Jesus Christ by the will of God, and Timotheus {our} brother,	0.0	neutral	PABLO, apóstol de Jesucristo por la voluntad de Dios, y el hermano Timoteo,
COL.1.2	1	2	To the saints and faithful brethren in Christ which are at Colosse: Grace {be} unto you, and peace, from God our Father and the Lord Jesus Christ.	0.0	neutral	A los santos y hermanos fieles en Cristo que están en Colosas: Gracia y paz á vosotros de Dios Padre nuestro, y del Señor Jesucristo.
COL.1.3	1	3	We give thanks to God and the Father of our Lord Jesus Christ, praying always for you,	0.2	positive	Damos gracias al Dios y Padre del Señor nuestro Jesucristo, siempre orando por vosotros:
COL.1.4	1	4	Since we heard of your faith in Christ Jesus, and of the love {which ye have} to all the saints,	0.5	positive	Habiendo oído vuestra fe en Cristo Jesús, y el amor que tenéis á todos los santos,
COL.1.5	1	5	For the hope which is laid up for you in heaven, whereof ye heard before in the word of the truth of the gospel;	0.0	neutral	A causa de la esperanza que os está guardada en los cielos, de la cual habéis oído ya por la palabra verdadera del evangelio:
COL.1.6	1	6	Which is come unto you, as {it is} in all the world; and bringeth forth fruit, as {it doth} also in you, since the day ye heard {of it}, and knew the grace of God in truth:	0.0	neutral	El cual ha llegado hasta vosotros, como por todo el mundo; y fructifica y crece, como también en vosotros, desde el día que oísteis y conocisteis la gracia de Dios en verdad,
COL.1.7	1	7	As ye also learned of Epaphras our dear fellowservant, who is for you a faithful minister of Christ;	0.0	neutral	Como habéis aprendido de Epafras, nuestro consiervo amado, el cual es un fiel ministro de Cristo á favor vuestro;
COL.1.8	1	8	Who also declared unto us your love in the Spirit.	0.5	positive	El cual también nos ha declarado vuestro amor en el Espíritu.
COL.1.9	1	9	For this cause we also, since the day we heard {it}, do not cease to pray for you, and to desire that ye might be filled with the knowledge of his will in all wisdom and spiritual understanding;	0.2	positive	Por lo cual también nosotros, desde el día que lo oímos, no cesamos de orar por vosotros, y de pedir que seáis llenos del conocimiento de su voluntad, en toda sabiduría y espiritual inteligencia;
COL.1.10	1	10	That ye might walk worthy of the Lord unto all pleasing, being fruitful in every good work, and increasing in the knowledge of God;	0.5167	positive	Para que andéis como es digno del Señor, agradándo le en todo, fructificando en toda buena obra, y creciendo en el conocimiento de Dios:
COL.1.11	1	11	Strengthened with all might, according to his glorious power, unto all patience and longsuffering with joyfulness;	0.0	neutral	Corroborados de toda fortaleza, conforme á la potencia de su gloria, para toda tolerancia y largura de ánimo con gozo;
COL.1.12	1	12	Giving thanks unto the Father, which hath made us meet to be partakers of the inheritance of the saints in light:	0.3	positive	Dando gracias al Padre que nos hizo aptos para participar de la suerte de los santos en luz:
COL.1.13	1	13	Who hath delivered us from the power of darkness, and hath translated {us} into the kingdom of his dear Son: {his...: Gr. the Son of his love}	-0.125	negative	Que nos ha librado de la potestad de las tinieblas, y trasladado al reino de su amado Hijo;
COL.1.14	1	14	In whom we have redemption through his blood, {even} the forgiveness of sins:	0.0	neutral	En el cual tenemos redención por su sangre, la remisión de pecados:
COL.1.15	1	15	Who is the image of the invisible God, the firstborn of every creature:	0.0	neutral	El cual es la imagen del Dios invisible, el primogénito de toda criatura.
COL.1.16	1	16	For by him were all things created, that are in heaven, and that are in earth, visible and invisible, whether {they be} thrones, or dominions, or principalities, or powers: all things were created by him, and for him:	0.0	neutral	Porque por él fueron criadas todas las cosas que están en los cielos, y que están en la tierra, visibles é invisibles; sean tronos, sean dominios, sean principados, sean potestades; todo fué criado por él y para él.
COL.1.17	1	17	And he is before all things, and by him all things consist.	0.0	neutral	Y él es antes de todas las cosas, y por él todas las cosas subsisten:
COL.1.18	1	18	And he is the head of the body, the church: who is the beginning, the firstborn from the dead; that in all {things} he might have the preeminence. {in...: or, among all}	-0.2	negative	Y él es la cabeza del cuerpo que es la iglesia; él que es el principio, el primogénito de los muertos, para que en todo tenga el primado.
COL.1.19	1	19	For it pleased {the Father} that in him should all fulness dwell;	0.5	positive	Por cuanto agradó al Padre que en él habitase toda plenitud,
COL.1.20	1	20	And, having made peace through the blood of his cross, by him to reconcile all things unto himself; by him, {I say}, whether {they be} things in earth, or things in heaven. {having...: or, making}	0.0	neutral	Y por él reconciliar todas las cosas á sí, pacificando por la sangre de su cruz, así lo que está en la tierra como lo que está en los cielos.
COL.1.21	1	21	And you, that were sometime alienated and enemies in {your} mind by wicked works, yet now hath he reconciled {in...: or, by your mind in}	0.0	neutral	A vosotros también, que erais en otro tiempo extraños y enemigos de ánimo en malas obras, ahora empero os ha reconciliado
COL.1.22	1	22	In the body of his flesh through death, to present you holy and unblameable and unreproveable in his sight:	0.0	neutral	En el cuerpo de su carne por medio de muerte, para haceros santos, y sin mancha, é irreprensibles delante de él:
COL.1.23	1	23	If ye continue in the faith grounded and settled, and {be} not moved away from the hope of the gospel, which ye have heard, {and} which was preached to every creature which is under heaven; whereof I Paul am made a minister;	0.0	neutral	Si empero permanecéis fundados y firmes en la fe, y sin moveros de la esperanza del evangelio que habéis oído; el cual es predicado á toda criatura que está debajo del cielo; del cual yo Pablo soy hecho ministro.
COL.1.24	1	24	Who now rejoice in my sufferings for you, and fill up that which is behind of the afflictions of Christ in my flesh for his body's sake, which is the church:	-0.4	negative	Que ahora me gozo en lo que padezco por vosotros, y cumplo en mi carne lo que falta de las aflicciones de Cristo por su cuerpo, que es la iglesia;
COL.1.25	1	25	Whereof I am made a minister, according to the dispensation of God which is given to me for you, to fulfil the word of God; {to fulfil...: or, fully to preach the word}	0.0	neutral	De la cual soy hecho ministro, según la dispensación de Dios que me fué dada en orden á vosotros, para que cumpla la palabra de Dios;
COL.1.26	1	26	{Even} the mystery which hath been hid from ages and from generations, but now is made manifest to his saints:	0.0	neutral	A saber, el misterio que había estado oculto desde los siglos y edades, mas ahora ha sido manifestado á sus santos:
