verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
DAN.11.2	11	2	And now will I shew thee the truth. Behold, there shall stand up yet three kings in Persia; and the fourth shall be far richer than {they} all: and by his strength through his riches he shall stir up all against the realm of Grecia.	0.05	neutral	Y ahora yo te mostraré la verdad. He aquí que aun habrá tres reyes en Persia, y el cuarto se hará de grandes riquezas más que todos; y fortificándose con sus riquezas, despertará á todos contra el reino de Javán.
DAN.11.3	11	3	And a mighty king shall stand up, that shall rule with great dominion, and do according to his will.	0.6	positive	Levantaráse luego un rey valiente, el cual se enseñoreará sobre gran dominio, y hará su voluntad.
DAN.11.4	11	4	And when he shall stand up, his kingdom shall be broken, and shall be divided toward the four winds of heaven; and not to his posterity, nor according to his dominion which he ruled: for his kingdom shall be plucked up, even for others beside those.	-0.4	negative	Pero cuando estará enseñoreado, será quebrantado su reino, y repartido por los cuatro vientos del cielo; y no á sus descendientes, ni según el señorío con que él se enseñoreó: porque su reino será arrancado, y para otros fuera de aquellos.
DAN.11.5	11	5	And the king of the south shall be strong, and {one} of his princes; and he shall be strong above him, and have dominion; his dominion {shall be} a great dominion.	0.4167	positive	Y haráse fuerte el rey del mediodía: mas uno de los príncipes de aquél le sobrepujará, y se hará poderoso; su señorío será grande señorío.
DAN.11.6	11	6	And in the end of years they shall join themselves together; for the king's daughter of the south shall come to the king of the north to make an agreement: but she shall not retain the power of the arm; neither shall he stand, nor his arm: but she shall be given up, and they that brought her, and he that begat her, and he that strengthened her in {these} times. {join...: Heb. associate themselves} {an...: Heb. rights} {he that begat...: or, whom she brought forth}	0.0	neutral	Y al cabo de años se concertarán, y la hija del rey del mediodía vendrá al rey del norte para hacer los conciertos. Empero ella no podrá retener la fuerza del brazo: ni permanecerá él, ni su brazo; porque será entregada ella, y los que la habían traído, asimismo su hijo, y los que estaban de parte de ella en aquel tiempo.
DAN.11.7	11	7	But out of a branch of her roots shall {one} stand up in his estate, which shall come with an army, and shall enter into the fortress of the king of the north, and shall deal against them, and shall prevail: {in...: or, in his place, or, office}	-0.75	negative	Mas del renuevo de sus raíces se levantará uno sobre su silla, y vendrá con ejército, y entrará en la fortaleza del rey del norte, y hará en ellos á su arbitrio, y predominará.
DAN.11.8	11	8	And shall also carry captives into Egypt their gods, with their princes, {and} with their precious vessels of silver and of gold; and he shall continue {more} years than the king of the north. {their precious...: Heb. vessels of their desire}	0.5	positive	Y aun los dioses de ellos, con sus príncipes, con sus vasos preciosos de plata y de oro, llevará cautivos á Egipto: y por años se mantendrá él contra el rey del norte.
DAN.11.9	11	9	So the king of the south shall come into {his} kingdom, and shall return into his own land.	0.6	positive	Así entrará en el reino el rey del mediodía, y volverá á su tierra.
DAN.11.10	11	10	But his sons shall be stirred up, and shall assemble a multitude of great forces: and {one} shall certainly come, and overflow, and pass through: then shall he return, and be stirred up, {even} to his fortress. {shall be...: or, shall war} {return...: or, be stirred up again}	0.5071	positive	Mas los hijos de aquél se airarán y reunirán multitud de grandes ejércitos: y vendrá á gran priesa, é inundará, y pasará, y tornará, y llegará con ira hasta su fortaleza.
DAN.11.11	11	11	And the king of the south shall be moved with choler, and shall come forth and fight with him, {even} with the king of the north: and he shall set forth a great multitude; but the multitude shall be given into his hand.	0.8	positive	Por lo cual se enfurecerá el rey del mediodía, y saldrá, y peleará con el mismo rey del norte; y pondrá en campo gran multitud, y toda aquella multitud será entregada en su mano.
DAN.11.12	11	12	{And} when he hath taken away the multitude, his heart shall be lifted up; and he shall cast down {many} ten thousands: but he shall not be strengthened {by it}.	0.1148	positive	Y la multitud se ensoberbecerá, elevaráse su corazón, y derribará muchos millares; mas no prevalecerá.
DAN.11.13	11	13	For the king of the north shall return, and shall set forth a multitude greater than the former, and shall certainly come after certain years with a great army and with much riches. {after...: Heb. at the end of times, even years}	0.3214	positive	Y el rey del norte volverá á poner en campo mayor multitud que primero, y á cabo del tiempo de años vendrá á gran priesa con grande ejército y con muchas riquezas.
