verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
EPH.1.1	1	1	Paul, an apostle of Jesus Christ by the will of God, to the saints which are at Ephesus, and to the faithful in Christ Jesus:	0.0	neutral	PABLO, apóstol de Jesucristo por la voluntad de Dios, á los santos y fieles en Cristo Jesús que están en Efeso:
EPH.1.2	1	2	Grace {be} to you, and peace, from God our Father, and {from} the Lord Jesus Christ.	0.0	neutral	Gracia sea á vosotros, y paz de Dios Padre nuestro, y del Señor Jesucristo.
EPH.1.3	1	3	Blessed {be} the God and Father of our Lord Jesus Christ, who hath blessed us with all spiritual blessings in heavenly {places} in Christ: {places: or, things}	-0.375	negative	Bendito el Dios y Padre del Señor nuestro Jesucristo, el cual nos bendijo con toda bendición espiritual en lugares celestiales en Cristo:
EPH.1.4	1	4	According as he hath chosen us in him before the foundation of the world, that we should be holy and without blame before him in love:	0.5	positive	Según nos escogió en él antes de la fundación del mundo, para que fuésemos santos y sin mancha delante de él en amor;
EPH.1.5	1	5	Having predestinated us unto the adoption of children by Jesus Christ to himself, according to the good pleasure of his will,	0.7	positive	Habiéndonos predestinado para ser adoptados hijos por Jesucristo á sí mismo, según el puro afecto de su voluntad,
EPH.1.6	1	6	To the praise of the glory of his grace, wherein he hath made us accepted in the beloved.	0.7	positive	Para alabanza de la gloria de su gracia, con la cual nos hizo aceptos en el Amado:
EPH.1.7	1	7	In whom we have redemption through his blood, the forgiveness of sins, according to the riches of his grace;	0.0	neutral	En el cual tenemos redención por su sangre, la remisión de pecados por las riquezas de su gracia,
EPH.1.8	1	8	Wherein he hath abounded toward us in all wisdom and prudence;	0.0	neutral	Que sobreabundó en nosotros en toda sabiduría é inteligencia;
EPH.1.9	1	9	Having made known unto us the mystery of his will, according to his good pleasure which he hath purposed in himself:	0.7	positive	Descubriéndonos el misterio de su voluntad, según su beneplácito, que se había propuesto en sí mismo,
EPH.1.10	1	10	That in the dispensation of the fulness of times he might gather together in one all things in Christ, both which are in heaven, and which are on earth; {even} in him: {heaven: Gr. the heavens}	-0.75	negative	De reunir todas las cosas en Cristo, en la dispensación del cumplimiento de los tiempos, así las que están en los cielos, como las que están en la tierra:
EPH.1.11	1	11	In whom also we have obtained an inheritance, being predestinated according to the purpose of him who worketh all things after the counsel of his own will:	0.6	positive	En él digo, en quien asimismo tuvimos suerte, habiendo sido predestinados conforme al propósito del que hace todas las cosas según el consejo de su voluntad,
EPH.1.12	1	12	That we should be to the praise of his glory, who first trusted in Christ. {trusted: or, hoped}	0.25	positive	Para que seamos para alabanza de su gloria, nosotros que antes esperamos en Cristo.
EPH.1.13	1	13	In whom ye also {trusted}, after that ye heard the word of truth, the gospel of your salvation: in whom also after that ye believed, ye were sealed with that holy Spirit of promise,	0.0	neutral	En el cual esperasteis también vosotros en oyendo la palabra de verdad, el evangelio de vuestra salud: en el cual también desde que creísteis, fuisteis sellados con el Espíritu Santo de la promesa,
EPH.1.14	1	14	Which is the earnest of our inheritance until the redemption of the purchased possession, unto the praise of his glory.	0.0	neutral	Que es las arras de nuestra herencia, para la redención de la posesión adquirida para alabanza de su gloria.
EPH.1.15	1	15	Wherefore I also, after I heard of your faith in the Lord Jesus, and love unto all the saints,	0.5	positive	Por lo cual también yo, habiendo oído de vuestra fe en el Señor Jesús, y amor para con todos los santos,
EPH.1.16	1	16	Cease not to give thanks for you, making mention of you in my prayers;	0.2	positive	No ceso de dar gracias por vosotros, haciendo memoria de vosotros en mis oraciones;
