verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
EXO.31.13	31	13	Speak thou also unto the children of Israel, saying, Verily my sabbaths ye shall keep: for it {is} a sign between me and you throughout your generations; that {ye} may know that I {am} the LORD that doth sanctify you.	0.0	neutral	Y tú hablarás á los hijos de Israel, diciendo: Con todo eso vosotros guardaréis mis sábados: porque es señal entre mí y vosotros por vuestras edades, para que sepáis que yo soy Jehová que os santifico.
EXO.31.14	31	14	Ye shall keep the sabbath therefore; for it {is} holy unto you: every one that defileth it shall surely be put to death: for whosoever doeth {any} work therein, that soul shall be cut off from among his people.	0.5	positive	Así que guardaréis el sábado, porque santo es á vosotros: el que lo profanare, de cierto morirá; porque cualquiera que hiciere obra alguna en él, aquella alma será cortada de en medio de sus pueblos.
EXO.31.15	31	15	Six days may work be done; but in the seventh {is} the sabbath of rest, holy to the LORD: whosoever doeth {any} work in the sabbath day, he shall surely be put to death. {holy: Heb. holiness}	0.5	positive	Seis días se hará obra, mas el día séptimo es sábado de reposo consagrado á Jehová; cualquiera que hiciere obra el día del sábado, morirá ciertamente.
EXO.31.16	31	16	Wherefore the children of Israel shall keep the sabbath, to observe the sabbath throughout their generations, {for} a perpetual covenant.	0.0	neutral	Guardarán, pues, el sábado los hijos de Israel: celebrándolo por sus edades por pacto perpetuo:
EXO.31.17	31	17	It {is} a sign between me and the children of Israel for ever: for {in} six days the LORD made heaven and earth, and on the seventh day he rested, and was refreshed.	0.0	neutral	Señal es para siempre entre mí y los hijos de Israel; porque en seis días hizo Jehová los cielos y la tierra, y en el séptimo día cesó, y reposó.
EXO.31.18	31	18	And he gave unto Moses, when he had made an end of communing with him upon mount Sinai, two tables of testimony, tables of stone, written with the finger of God.	0.0	neutral	Y dió á Moisés, como acabó de hablar con él en el monte de Sinaí, dos tablas del testimonio, tablas de piedra escritas con el dedo de Dios.
EXO.32.1	32	1	And when the people saw that Moses delayed to come down out of the mount, the people gathered themselves together unto Aaron, and said unto him, Up, make us gods, which shall go before us; for {as for} this Moses, the man that brought us up out of the land of Egypt, we wot not what is become of him.	-0.1556	negative	MAS viendo el pueblo que Moisés tardaba en descender del monte, allegóse entonces á Aarón, y dijéronle: Levántate, haznos dioses que vayan delante de nosotros; porque á este Moisés, aquel varón que nos sacó de la tierra de Egipto, no sabemos qué le haya acontecido.
EXO.32.2	32	2	And Aaron said unto them, Break off the golden earrings, which {are} in the ears of your wives, of your sons, and of your daughters, and bring {them} unto me.	0.3	positive	Y Aarón les dijo: Apartad los zarcillos de oro que están en las orejas de vuestras mujeres, y de vuestros hijos, y de vuestras hijas, y traédmelos.
EXO.32.3	32	3	And all the people brake off the golden earrings which {were} in their ears, and brought {them} unto Aaron.	0.3	positive	Entonces todo el pueblo apartó los zarcillos de oro que tenían en sus orejas, y trajéronlos á Aarón:
EXO.32.4	32	4	And he received {them} at their hand, and fashioned it with a graving tool, after he had made it a molten calf: and they said, These {be} thy gods, O Israel, which brought thee up out of the land of Egypt.	0.0	neutral	El cual los tomó de las manos de ellos, y formólo con buril, é hizo de ello un becerro de fundición. Entonces dijeron: Israel, estos son tus dioses, que te sacaron de la tierra de Egipto.
EXO.32.5	32	5	And when Aaron saw {it}, he built an altar before it; and Aaron made proclamation, and said, To morrow {is} a feast to the LORD.	0.0	neutral	Y viendo esto Aarón, edificó un altar delante del becerro; y pregonó Aarón, y dijo: Mañana será fiesta á Jehová.
EXO.32.6	32	6	And they rose up early on the morrow, and offered burnt offerings, and brought peace offerings; and the people sat down to eat and to drink, and rose up to play.	0.2861	positive	Y el día siguiente madrugaron, y ofrecieron holocaustos, y presentaron pacíficos: y sentóse el pueblo á comer y á beber, y levantáronse á regocijarse.
EXO.32.7	32	7	And the LORD said unto Moses, Go, get thee down; for thy people, which thou broughtest out of the land of Egypt, have corrupted {themselves}:	-0.1556	negative	Entonces Jehová dijo á Moisés: Anda, desciende, porque tu pueblo que sacaste de tierra de Egipto se ha corrompido:
EXO.32.8	32	8	They have turned aside quickly out of the way which I commanded them: they have made them a molten calf, and have worshipped it, and have sacrificed thereunto, and said, These {be} thy gods, O Israel, which have brought thee up out of the land of Egypt.	0.3333	positive	Presto se han apartado del camino que yo les mandé, y se han hecho un becerro de fundición, y lo han adorado, y han sacrificado á él, y han dicho: Israel, estos son tus dioses, que te sacaron de la tierra de Egipto.
EXO.32.9	32	9	And the LORD said unto Moses, I have seen this people, and, behold, it {is} a stiffnecked people:	0.0	neutral	Dijo más Jehová á Moisés: Yo he visto á este pueblo, que por cierto es pueblo de dura cerviz:
EXO.32.10	32	10	Now therefore let me alone, that my wrath may wax hot against them, and that I may consume them: and I will make of thee a great nation.	0.525	positive	Ahora pues, déjame que se encienda mi furor en ellos, y los consuma: y á ti yo te pondré sobre gran gente.
EXO.32.11	32	11	And Moses besought the LORD his God, and said, LORD, why doth thy wrath wax hot against thy people, which thou hast brought forth out of the land of Egypt with great power, and with a mighty hand? {the LORD: Heb. the face of the LORD}	0.4833	positive	Entonces Moisés oró á la faz de Jehová su Dios, y dijo: Oh Jehová, ¿por qué se encenderá tu furor en tu pueblo, que tú sacaste de la tierra de Egipto con gran fortaleza, y con mano fuerte?
EXO.32.12	32	12	Wherefore should the Egyptians speak, and say, For mischief did he bring them out, to slay them in the mountains, and to consume them from the face of the earth? Turn from thy fierce wrath, and repent of this evil against thy people.	-1.0	negative	¿Por qué han de hablar los Egipcios, diciendo: Para mal los sacó, para matarlos en los montes, y para raerlos de sobre la haz de la tierra? Vuélvete del furor de tu ira, y arrepiéntete del mal de tu pueblo.
EXO.32.13	32	13	Remember Abraham, Isaac, and Israel, thy servants, to whom thou swarest by thine own self, and saidst unto them, I will multiply your seed as the stars of heaven, and all this land that I have spoken of will I give unto your seed, and they shall inherit {it} for ever.	0.3	positive	Acuérdate de Abraham, de Isaac, y de Israel tus siervos, á los cuales has jurado por ti mismo, y dícholes: Yo multiplicaré vuestra simiente como las estrellas del cielo; y daré á vuestra simiente toda esta tierra que he dicho, y la tomarán por heredad para siempre.
EXO.32.14	32	14	And the LORD repented of the evil which he thought to do unto his people.	-1.0	negative	Entonces Jehová se arrepintió del mal que dijo que había de hacer á su pueblo.
EXO.32.15	32	15	And Moses turned, and went down from the mount, and the two tables of the testimony {were} in his hand: the tables {were} written on both their sides; on the one side and on the other {were} they written.	-0.1403	negative	Y volvióse Moisés, y descendió del monte trayendo en su mano las dos tablas del testimonio, las tablas escritas por ambos lados; de una parte y de otra estaban escritas.
EXO.32.16	32	16	And the tables {were} the work of God, and the writing {was} the writing of God, graven upon the tables.	0.0	neutral	Y las tablas eran obra de Dios, y la escritura era escritura de Dios grabada sobre las tablas.
