verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
EZK.46.10	46	10	And the prince in the midst of them, when they go in, shall go in; and when they go forth, shall go forth.	0.0	neutral	Y el príncipe, cuando ellos entraren, él entrará en medio de ellos: y cuando ellos salieren, él saldrá.
EZK.46.11	46	11	And in the feasts and in the solemnities the meat offering shall be an ephah to a bullock, and an ephah to a ram, and to the lambs as he is able to give, and an hin of oil to an ephah.	0.5	positive	Y en las fiestas y en las solemnidades será el presente un epha con cada becerro, y un epha con cada carnero; y con los corderos, lo que le pareciere; y un hin de aceite con cada epha.
EZK.46.12	46	12	Now when the prince shall prepare a voluntary burnt offering or peace offerings voluntarily unto the LORD, {one} shall then open him the gate that looketh toward the east, and he shall prepare his burnt offering and his peace offerings, as he did on the sabbath day: then he shall go forth; and after his going forth {one} shall shut the gate.	0.0	neutral	Mas cuando el príncipe libremente hiciere holocausto ó pacíficos á Jehová, abriránle la puerta que mira al oriente, y hará su holocausto y sus pacíficos, como hace en el día del sábado: después saldrá; y cerrarán la puerta después que saliere.
EZK.46.13	46	13	Thou shalt daily prepare a burnt offering unto the LORD {of} a lamb of the first year without blemish: thou shalt prepare it every morning. {of the...: Heb. a son of his year} {every...: Heb. morning by morning}	0.125	positive	Y sacrificarás á Jehová cada día en holocausto un cordero de un año sin defecto, cada mañana lo sacrificarás.
EZK.46.14	46	14	And thou shalt prepare a meat offering for it every morning, the sixth part of an ephah, and the third part of an hin of oil, to temper with the fine flour; a meat offering continually by a perpetual ordinance unto the LORD.	0.2083	positive	Y con él harás todas las mañanas presente de la sexta parte de un epha, y la tercera parte de un hin de aceite para mezclar con la flor de harina: presente para Jehová continuamente por estatuto perpetuo.
EZK.46.15	46	15	Thus shall they prepare the lamb, and the meat offering, and the oil, every morning {for} a continual burnt offering.	0.0	neutral	Ofrecerán pues el cordero, y el presente y el aceite, todas las mañanas en holocausto continuo.
EZK.46.16	46	16	Thus saith the Lord GOD; If the prince give a gift unto any of his sons, the inheritance thereof shall be his sons'; it {shall be} their possession by inheritance.	0.0	neutral	Así ha dicho el Señor Jehová: Si el príncipe diere algún don de su heredad á alguno de sus hijos, será de ellos; posesión de ellos será por herencia.
EZK.46.17	46	17	But if he give a gift of his inheritance to one of his servants, then it shall be his to the year of liberty; after it shall return to the prince: but his inheritance shall be his sons' for them.	0.0	neutral	Mas si de su heredad diere don á alguno de sus siervos, será de él hasta el año de libertad, y volverá al príncipe; mas su herencia será de sus hijos.
EZK.46.18	46	18	Moreover the prince shall not take of the people's inheritance by oppression, to thrust them out of their possession; {but} he shall give his sons inheritance out of his own possession: that my people be not scattered every man from his possession.	0.6	positive	Y el príncipe no tomará nada de la herencia del pueblo, por no defraudarlos de su posesión: de lo que él posee dará herencia á sus hijos; para que mi pueblo no sea echado cada uno de su posesión.
EZK.46.19	46	19	After he brought me through the entry, which {was} at the side of the gate, into the holy chambers of the priests, which looked toward the north: and, behold, there {was} a place on the two sides westward.	0.0	neutral	Metióme después por la entrada que estaba hacia la puerta, á las cámaras santas de los sacerdotes, las cuales miraban al norte, y había allí un lugar á los lados del occidente.
EZK.46.20	46	20	Then said he unto me, This {is} the place where the priests shall boil the trespass offering and the sin offering, where they shall bake the meat offering; that they bear {them} not out into the utter court, to sanctify the people.	0.0	neutral	Y díjome: Este es el lugar donde los sacerdotes cocerán el sacrificio por el pecado y la expiación: allí cocerán el presente, por no sacarlo al atrio de afuera para santificar al pueblo.
EZK.46.21	46	21	Then he brought me forth into the utter court, and caused me to pass by the four corners of the court; and, behold, in every corner of the court {there was} a court. {in every...: Heb. a court in a corner of a court, and a court in a corner of a court}	0.0	neutral	Luego me sacó al atrio de afuera, y llevóme por los cuatro rincones del atrio; y en cada rincón había un patio.
EZK.46.22	46	22	In the four corners of the court {there were} courts joined of forty {cubits} long and thirty broad: these four corners {were} of one measure. {joined: or, made with chimneys} {corners were...: Heb. cornered, etc}	0.0062	neutral	En los cuatro rincones del atrio había patios juntos de cuarenta codos de longitud, y treinta de anchura: tenían una misma medida todos cuatro á los rincones.
EZK.46.23	46	23	And {there was} a row {of building} round about in them, round about them four, and {it was} made with boiling places under the rows round about.	-0.2	negative	Y había una pared alrededor de ellos, alrededor de todos cuatro, y chimeneas hechas abajo alrededor de las paredes.
EZK.46.24	46	24	Then said he unto me, These {are} the places of them that boil, where the ministers of the house shall boil the sacrifice of the people.	0.0	neutral	Y díjome: Estos son los aposentos de los cocineros, donde los servidores de la casa cocerán el sacrificio del pueblo.
EZK.47.1	47	1	Afterward he brought me again unto the door of the house; and, behold, waters issued out from under the threshold of the house eastward: for the forefront of the house {stood toward} the east, and the waters came down from under from the right side of the house, at the south {side} of the altar.	0.0651	neutral	HIZOME tornar luego á la entrada de la casa; y he aquí aguas que salían de debajo del umbral de la casa hacia el oriente: porque la fachada de la casa estaba al oriente: y las aguas descendían de debajo, hacia el lado derecho de la casa, al mediodía del altar.
EZK.47.2	47	2	Then brought he me out of the way of the gate northward, and led me about the way without unto the utter gate by the way that looketh eastward; and, behold, there ran out waters on the right side.	0.1429	positive	Y sacóme por el camino de la puerta del norte, é hízome rodear por el camino fuera de la puerta, por de fuera al camino de la que mira al oriente: y he aquí las aguas que salían al lado derecho.
EZK.47.3	47	3	And when the man that had the line in his hand went forth eastward, he measured a thousand cubits, and he brought me through the waters; the waters {were} to the ankles. {the waters were...: Heb. waters of the ankles}	0.0	neutral	Y saliendo el varón hacia el oriente, tenía un cordel en su mano; y midió mil codos, é hízome pasar por las aguas hasta los tobillos.
EZK.47.4	47	4	Again he measured a thousand, and brought me through the waters; the waters {were} to the knees. Again he measured a thousand, and brought me through; the waters {were} to the loins.	0.0	neutral	Y midió otros mil, é hízome pasar por las aguas hasta las rodillas. Midió luego otros mil, é hízome pasar por las aguas hasta los lomos.
EZK.47.5	47	5	Afterward he measured a thousand; {and it was} a river that I could not pass over: for the waters were risen, waters to swim in, a river that could not be passed over. {waters to...: Heb. waters of swimming}	0.0	neutral	Y midió otros mil, é iba ya el arroyo que yo no podía pasar: porque las aguas se habían alzado, y el arroyo no se podía pasar sino á nado.
EZK.47.6	47	6	And he said unto me, Son of man, hast thou seen {this}? Then he brought me, and caused me to return to the brink of the river.	0.0	neutral	Y díjome: ¿Has visto, hijo del hombre? Después me llevó, é hízome tornar por la ribera del arroyo.
EZK.47.7	47	7	Now when I had returned, behold, at the bank of the river {were} very many trees on the one side and on the other. {bank: Heb. lip}	0.2625	positive	Y tornando yo, he aquí en la ribera del arroyo había árboles muy muchos de la una parte y de la otra.
EZK.47.8	47	8	Then said he unto me, These waters issue out toward the east country, and go down into the desert, and go into the sea: {which being} brought forth into the sea, the waters shall be healed. {desert: or, plain}	-0.3733	negative	Y díjome: Estas aguas salen á la región del oriente, y descenderán á la llanura, y entrarán en la mar: y entradas en la mar, recibirán sanidad las aguas.
EZK.47.9	47	9	And it shall come to pass, {that} every thing that liveth, which moveth, whithersoever the rivers shall come, shall live: and there shall be a very great multitude of fish, because these waters shall come thither: for they shall be healed; and every thing shall live whither the river cometh. {rivers: Heb. two rivers}	0.4242	positive	Y será que toda alma viviente que nadare por donde quiera que entraren estos dos arroyos, vivirá: y habrá muy muchos peces por haber entrado allá estas aguas, y recibirán sanidad; y vivirá todo lo que entrare en este arroyo.
EZK.47.10	47	10	And it shall come to pass, {that} the fishers shall stand upon it from Engedi even unto Eneglaim; they shall be a {place} to spread forth nets; their fish shall be according to their kinds, as the fish of the great sea, exceeding many.	0.65	positive	Y será que junto á él estarán pescadores; y desde En-gadi hasta En-eglaim será tendedero de redes: en su clase será su pescado como el pescado de la gran mar, mucho en gran manera.
EZK.47.11	47	11	But the miry places thereof and the marishes thereof shall not be healed; they shall be given to salt. {shall not...: or, and that which shall not be healed}	0.0	neutral	Sus charcos y sus lagunas no se sanarán; quedarán para salinas.
EZK.47.12	47	12	And by the river upon the bank thereof, on this side and on that side, shall grow all trees for meat, whose leaf shall not fade, neither shall the fruit thereof be consumed: it shall bring forth new fruit according to his months, because their waters they issued out of the sanctuary: and the fruit thereof shall be for meat, and the leaf thereof for medicine. {shall grow: Heb. shall come up} {new: or, principal} {for medicine: or, for bruises and sores}	0.1364	positive	Y junto al arroyo, en su ribera de una parte y de otra, crecerá todo árbol de comer: su hoja nunca caerá, ni faltará su fruto: á sus meses madurará, porque sus aguas salen del santuario: y su fruto será para comer, y su hoja para medicina.
EZK.47.13	47	13	Thus saith the Lord GOD; This {shall be} the border, whereby ye shall inherit the land according to the twelve tribes of Israel: Joseph {shall have two} portions.	0.0	neutral	Así ha dicho el Señor Jehová: Este es el término en que partiréis la tierra en heredad entre las doce tribus de Israel: José dos partes.
EZK.47.14	47	14	And ye shall inherit it, one as well as another: {concerning} the which I lifted up mine hand to give it unto your fathers: and this land shall fall unto you for inheritance. {lifted...: or, swore}	-0.75	negative	Y la heredaréis así los unos como los otros: por ella alcé mi mano que la había de dar á vuestros padres: por tanto, esta tierra os caerá en heredad.
EZK.47.15	47	15	And this {shall be} the border of the land toward the north side, from the great sea, the way of Hethlon, as men go to Zedad;	0.8	positive	Y este será el término de la tierra hacia la parte del norte; desde la gran mar, camino de Hethlon viniendo á Sedad;
EZK.47.16	47	16	Hamath, Berothah, Sibraim, which {is} between the border of Damascus and the border of Hamath; Hazarhatticon, which {is} by the coast of Hauran. {Hazarhatticon: or, the middle village}	0.0	neutral	Hamath, Berotha, Sibrahim, que está entre el término de Damasco y el término de Hamath; Haser-hatticon, que es el término de Hauran.
