verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
EZR.1.1	1	1	Now in the first year of Cyrus king of Persia, that the word of the LORD by the mouth of Jeremiah might be fulfilled, the LORD stirred up the spirit of Cyrus king of Persia, that he made a proclamation throughout all his kingdom, and {put it} also in writing, saying, {made...: Heb. caused a voice to pass}	0.25	positive	Y EN el primer año de Ciro rey de Persia, para que se cumpliese la palabra de Jehová por boca de Jeremías, excitó Jehová el espíritu de Ciro rey de Persia, el cual hizo pasar pregón por todo su reino, y también por escrito, diciendo:
EZR.1.2	1	2	Thus saith Cyrus king of Persia, The LORD God of heaven hath given me all the kingdoms of the earth; and he hath charged me to build him an house at Jerusalem, which {is} in Judah.	0.0	neutral	Así ha dicho Ciro rey de Persia: Jehová Dios de los cielos me ha dado todos los reinos de la tierra, y me ha mandado que le edifique casa en Jerusalem, que está en Judá.
EZR.1.3	1	3	Who {is there} among you of all his people? his God be with him, and let him go up to Jerusalem, which {is} in Judah, and build the house of the LORD God of Israel, (he {is} the God,) which {is} in Jerusalem.	0.0	neutral	¿Quién hay entre vosotros de todo su pueblo? Sea Dios con él, y suba á Jerusalem que está en Judá, y edifique la casa á Jehová Dios de Israel, (él es el Dios,) la cual está en Jerusalem.
EZR.1.4	1	4	And whosoever remaineth in any place where he sojourneth, let the men of his place help him with silver, and with gold, and with goods, and with beasts, beside the freewill offering for the house of God that {is} in Jerusalem. {help...: Heb. lift him up}	0.0	neutral	Y á cualquiera que hubiere quedado de todos los lugares donde peregrinare, los hombres de su lugar le ayuden con plata, y oro, y hacienda, y con bestias; con dones voluntarios para la casa de Dios, la cuál está en Jerusalem.
EZR.1.5	1	5	Then rose up the chief of the fathers of Judah and Benjamin, and the priests, and the Levites, with all {them} whose spirit God had raised, to go up to build the house of the LORD which {is} in Jerusalem.	0.6	positive	Entonces se levantaron los cabezas de las familias de Judá y de Benjamín, y los sacerdotes y Levitas, todos aquellos cuyo espíritu despertó Dios para subir á edificar la casa de Jehová, la cual está en Jerusalem.
EZR.1.6	1	6	And all they that {were} about them strengthened their hands with vessels of silver, with gold, with goods, and with beasts, and with precious things, beside all {that} was willingly offered. {strengthened...: that is, helped them}	0.375	positive	Y todos los que estaban en sus alrededores confortaron las manos de ellos con vasos de plata y de oro, con hacienda y bestias, y con cosas preciosas, á más de lo que se ofreció voluntariamente.
EZR.1.7	1	7	Also Cyrus the king brought forth the vessels of the house of the LORD, which Nebuchadnezzar had brought forth out of Jerusalem, and had put them in the house of his gods;	0.0	neutral	Y el rey Ciro sacó los vasos de la casa de Jehová, que Nabucodonosor había traspasado de Jerusalem, y puesto en la casa de sus dioses.
EZR.1.8	1	8	Even those did Cyrus king of Persia bring forth by the hand of Mithredath the treasurer, and numbered them unto Sheshbazzar, the prince of Judah.	0.0	neutral	Sacólos pues Ciro rey de Persia, por mano de Mitrídates tesorero, el cual los dió por cuenta á Sesbassar príncipe de Judá.
EZR.1.9	1	9	And this {is} the number of them: thirty chargers of gold, a thousand chargers of silver, nine and twenty knives,	0.0	neutral	Y esta es la cuenta de ellos: treinta tazones de oro, mil tazones de plata, veinte y nueve cuchillos,
EZR.1.10	1	10	Thirty basons of gold, silver basons of a second {sort} four hundred and ten, {and} other vessels a thousand.	-0.0417	neutral	Treinta tazas de oro, cuatrocientas y diez otras tazas de plata, y mil otros vasos.
EZR.1.11	1	11	All the vessels of gold and of silver {were} five thousand and four hundred. All {these} did Sheshbazzar bring up with {them of} the captivity that were brought up from Babylon unto Jerusalem. {the captivity: Heb. the transportation}	0.0	neutral	Todos los vasos de oro y de plata, cinco mil y cuatrocientos. Todos los hizo llevar Sesbassar con los que subieron del cautiverio de Babilonia á Jerusalem.
EZR.2.1	2	1	Now these {are} the children of the province that went up out of the captivity, of those which had been carried away, whom Nebuchadnezzar the king of Babylon had carried away unto Babylon, and came again unto Jerusalem and Judah, every one unto his city;	0.0	neutral	Y ESTOS son los hijos de la provincia que subieron de la cautividad, de la transmigración que Nabucodonosor rey de Babilonia hizo traspasar á Babilonia, y que volvieron á Jerusalem y á Judá, cada uno á su ciudad:
EZR.2.2	2	2	Which came with Zerubbabel: Jeshua, Nehemiah, Seraiah, Reelaiah, Mordecai, Bilshan, Mispar, Bigvai, Rehum, Baanah. The number of the men of the people of Israel: {Seraiah: also called, Azariah} {Reelaiah: or, Raamiah} {Mispar: or, Mispereth} {Rehum: or, Nehum}	-0.75	negative	Los cuales vinieron con Zorobabel, Jesuá, Nehemías, Seraías, Reelaías, Mardochêo, Bilsán, Mispar, Bigvai, Rehum y Baana. La cuenta de los varones del pueblo de Israel:
EZR.2.3	2	3	The children of Parosh, two thousand an hundred seventy and two.	0.0	neutral	Los hijos de Paros, dos mil ciento setenta y dos;
EZR.2.4	2	4	The children of Shephatiah, three hundred seventy and two.	0.0	neutral	Los hijos de Sephatías, trescientos setenta y dos;
EZR.2.5	2	5	The children of Arah, seven hundred seventy and five.	0.0	neutral	Los hijos de Ara, setecientos setenta y cinco;
EZR.2.6	2	6	The children of Pahathmoab, of the children of Jeshua {and} Joab, two thousand eight hundred and twelve.	0.0	neutral	Los hijos de Pahath-moab, de los hijos de Josué y de Joab, dos mil ochocientos y doce;
EZR.2.7	2	7	The children of Elam, a thousand two hundred fifty and four.	0.0	neutral	Los hijos de Elam, mil doscientos cincuenta y cuatro;
