verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
HEB.1.1	1	1	God, who at sundry times and in divers manners spake in time past unto the fathers by the prophets,	-0.25	negative	DIOS, habiendo hablado muchas veces y en muchas maneras en otro tiempo á los padres por los profetas,
HEB.1.2	1	2	Hath in these last days spoken unto us by {his} Son, whom he hath appointed heir of all things, by whom also he made the worlds;	0.0	neutral	En estos porstreros días nos ha hablado por el Hijo, al cual constituyó heredero de todo, por el cual asimismo hizo el universo:
HEB.1.3	1	3	Who being the brightness of {his} glory, and the express image of his person, and upholding all things by the word of his power, when he had by himself purged our sins, sat down on the right hand of the Majesty on high;	0.0967	neutral	El cual siendo el resplandor de su gloria, y la misma imagen de su sustancia, y sustentando todas las cosas con la palabra de su potencia, habiendo hecho la purgación de nuestros pecados por sí mismo, se sentó á la diestra de la Majestad en las alturas,
HEB.1.4	1	4	Being made so much better than the angels, as he hath by inheritance obtained a more excellent name than they.	0.6667	positive	Hecho tanto más excelente que los ángeles, cuanto alcanzó por herencia más excelente nombre que ellos.
HEB.1.5	1	5	For unto which of the angels said he at any time, Thou art my Son, this day have I begotten thee? And again, I will be to him a Father, and he shall be to me a Son?	0.0	neutral	Porque ¿á cuál de los ángeles dijo Dios jamás: Mi hijo eres tú, Hoy yo te he engendrado? Y otra vez: Yo seré á él Padre, Y él me será á mí hijo?
HEB.1.6	1	6	And again, when he bringeth in the firstbegotten into the world, he saith, And let all the angels of God worship him. {again...: or, when he bringeth again}	0.0	neutral	Y otra vez, cuando introduce al Primogénito en la tierra, dice: Y adórenle todos los ángeles de Dios.
HEB.1.7	1	7	And of the angels he saith, Who maketh his angels spirits, and his ministers a flame of fire. {And of: Gr. And unto}	0.0	neutral	Y ciertamente de los ángeles dice: El que hace á sus ángeles espíritus, Y á sus ministros llama de fuego.
HEB.1.8	1	8	But unto the Son {he saith}, Thy throne, O God, {is} for ever and ever: a sceptre of righteousness {is} the sceptre of thy kingdom. {righteousness: Gr. rightness, or, straightness}	0.0	neutral	Mas al hijo: Tu trono, oh Dios, por el siglo del siglo; Vara de equidad la vara de tu reino;
HEB.1.9	1	9	Thou hast loved righteousness, and hated iniquity; therefore God, {even} thy God, hath anointed thee with the oil of gladness above thy fellows.	-0.0667	neutral	Has amado la justicia, y aborrecido la maldad; Por lo cual te ungió Dios, el Dios tuyo, Con óleo de alegría más que á tus compañeros.
HEB.1.10	1	10	And, Thou, Lord, in the beginning hast laid the foundation of the earth; and the heavens are the works of thine hands:	0.0	neutral	Y: Tú, oh Señor, en el principio fundaste la tierra; Y los cielos son obras de tus manos:
HEB.1.11	1	11	They shall perish; but thou remainest; and they all shall wax old as doth a garment;	0.1	neutral	Ellos perecerán, mas tú eres permanente; Y todos ellos se envejecerán como una vestidura;
HEB.1.12	1	12	And as a vesture shalt thou fold them up, and they shall be changed: but thou art the same, and thy years shall not fail.	0.125	positive	Y como un vestido los envolverás, y serán mudados; Empero tú eres el mismo, Y tus años no acabarán.
HEB.1.13	1	13	But to which of the angels said he at any time, Sit on my right hand, until I make thine enemies thy footstool?	0.2857	positive	Pues, ¿á cuál de los ángeles dijo jamás: Siéntate á mi diestra, Hasta que ponga á tus enemigos por estrado de tus pies?
HEB.1.14	1	14	Are they not all ministering spirits, sent forth to minister for them who shall be heirs of salvation?	0.0	neutral	¿No son todos espíritus administradores, enviados para servicio á favor de los que serán herederos de salud?
HEB.2.1	2	1	Therefore we ought to give the more earnest heed to the things which we have heard, lest at any time we should let {them} slip. {let...: Gr. run out as leaking vessels}	0.5	positive	POR tanto, es menester que con más diligencia atendamos á las cosas que hemos oído, porque acaso no nos escurramos.
HEB.2.2	2	2	For if the word spoken by angels was stedfast, and every transgression and disobedience received a just recompence of reward;	0.0	neutral	Porque si la palabra dicha por los ángeles fué firme, y toda rebeliíon y desobediencia recibió justa paga de retribución,
HEB.2.3	2	3	How shall we escape, if we neglect so great salvation; which at the first began to be spoken by the Lord, and was confirmed unto us by them that heard {him};	0.4833	positive	¿Cómo escaparemos nosotros, si tuviéremos en poco una salud tan grande? La cual, habiendo comenzado á ser publicada por el Señor, ha sido confirmada hasta nosotros por los que oyeron;
HEB.2.4	2	4	God also bearing {them} witness, both with signs and wonders, and with divers miracles, and gifts of the Holy Ghost, according to his own will? {gifts: or, distributions}	0.6	positive	Testificando juntamente con ellos Dios, con señales y milagros, y diversas maravillas, y repartimientos del Espíritu Santo según su voluntad.
HEB.2.5	2	5	For unto the angels hath he not put in subjection the world to come, whereof we speak.	0.0	neutral	Porque no sujetó á los ángeles el mundo venidero, del cual hablamos.
HEB.2.6	2	6	But one in a certain place testified, saying, What is man, that thou art mindful of him? or the son of man, that thou visitest him?	0.2143	positive	Testificó empero uno en cierto lugar, diciendo: ¿Qué es el hombre, que te acuerdas de él? ¿O el hijo del hombre, que le visitas?
HEB.2.7	2	7	Thou madest him a little lower than the angels; thou crownedst him with glory and honour, and didst set him over the works of thy hands: {lower...: or, while inferior to}	-0.4688	negative	Tú le hiciste un poco menor que los ángeles, Coronástele de gloria y de honra, Y pusístete sobre las obras de tus manos;
HEB.2.8	2	8	Thou hast put all things in subjection under his feet. For in that he put all in subjection under him, he left nothing {that is} not put under him. But now we see not yet all things put under him.	0.0	neutral	Todas las cosas sujetaste debajo de sus pies. Porque en cuanto le sujetó todas las cosas, nada dejó que no sea sujeto á él; mas aun no vemos que todas las cosas le sean sujetas.
HEB.2.9	2	9	But we see Jesus, who was made a little lower than the angels for the suffering of death, crowned with glory and honour; that he by the grace of God should taste death for every man. {for the: or, by the}	-0.1875	negative	Empero vemos coronado de gloria y de honra, por el padecimiento de muerte, á aquel Jesús que es hecho un poco menor que los ángeles, para que por gracia de Dios gustase la muerte por todos.
HEB.2.10	2	10	For it became him, for whom {are} all things, and by whom {are} all things, in bringing many sons unto glory, to make the captain of their salvation perfect through sufferings.	0.75	positive	Porque convenía que aquel por cuya causa son todas las cosas, y por el cual todas las cosas subsisten, habiendo de llevar á la gloria á muchos hijos, hiciese consumado por aflicciones al autor de la salud de ellos.
HEB.2.11	2	11	For both he that sanctifieth and they who are sanctified {are} all of one: for which cause he is not ashamed to call them brethren,	0.0	neutral	Porque el que santifica y los que son santificados, de uno son todos: por lo cual no se avergüenza de llamarlos hermanos,
HEB.2.12	2	12	Saying, I will declare thy name unto my brethren, in the midst of the church will I sing praise unto thee.	0.0	neutral	Diciendo: Anunciaré á mis hermanos tu nombre, En medio de la congregación te alabaré.
HEB.2.13	2	13	And again, I will put my trust in him. And again, Behold I and the children which God hath given me.	0.0	neutral	Y otra vez: Yo confiaré en él. Y otra vez: He aquí, yo y los hijos que me dió Dios.
HEB.2.14	2	14	Forasmuch then as the children are partakers of flesh and blood, he also himself likewise took part of the same; that through death he might destroy him that had the power of death, that is, the devil;	-0.1	neutral	Así que, por cuanto los hijos participaron de carne y sangre, él también participó de lo mismo, para destruir por la muerte al que tenía el imperio de la muerte, es á saber, al diablo,
HEB.2.15	2	15	And deliver them who through fear of death were all their lifetime subject to bondage.	-0.1667	negative	Y librar á los que por el temor de la muerte estaban por toda la vida sujetos á servidumbre.
HEB.2.16	2	16	For verily he took not on {him the nature of} angels; but he took on {him} the seed of Abraham. {took not...: Gr. taketh not hold of angels, but of the seed of Abraham he taketh hold}	0.0	neutral	Porque ciertamente no tomó á los ángeles, sino á la simiente de Abraham tomó.
HEB.2.17	2	17	Wherefore in all things it behoved him to be made like unto {his} brethren, that he might be a merciful and faithful high priest in things {pertaining} to God, to make reconciliation for the sins of the people.	0.16	positive	Por lo cual, debía ser en todo semejante á los hermanos, para venir á ser misericordioso y fiel Pontífice en lo que es para con Dios, para expiar los pecados del pueblo.
HEB.2.18	2	18	For in that he himself hath suffered being tempted, he is able to succour them that are tempted.	0.5	positive	Porque en cuanto él mismo padeció siendo tentado, es poderoso para socorrer á los que son tentados.
HEB.3.1	3	1	Wherefore, holy brethren, partakers of the heavenly calling, consider the Apostle and High Priest of our profession, Christ Jesus;	0.16	positive	POR tanto, hermanos santos, participantes de la vocación celestial, considerad al Apóstol y Pontífice de nuestra profesión, Cristo Jesús;
HEB.3.2	3	2	Who was faithful to him that appointed him, as also Moses {was faithful} in all his house. {appointed: Gr. made}	0.0	neutral	El cual es fiel al que le constituyó, como también lo fué Moisés sobre toda su casa.
HEB.3.3	3	3	For this {man} was counted worthy of more glory than Moses, inasmuch as he who hath builded the house hath more honour than the house.	0.4444	positive	Porque de tanto mayor gloria que Moisés éste es estimado digno, cuanto tiene mayor dignidad que la casa el que la fabricó.
HEB.3.4	3	4	For every house is builded by some {man}; but he that built all things {is} God.	0.0	neutral	Porque toda casa es edificada de alguno: mas el que crió todas las cosas es Dios.
HEB.3.5	3	5	And Moses verily {was} faithful in all his house, as a servant, for a testimony of those things which were to be spoken after;	0.0	neutral	Y Moisés á la verdad fué fiel sobre toda su casa, como siervo, para testificar lo que se había de decir;
HEB.3.6	3	6	But Christ as a son over his own house; whose house are we, if we hold fast the confidence and the rejoicing of the hope firm unto the end.	0.2	positive	Mas Cristo como hijo, sobre su casa; la cual casa somos nosotros, si hasta el cabo retuviéremos firme la confianza y la gloria de la esperanza.
HEB.3.7	3	7	Wherefore (as the Holy Ghost saith, To day if ye will hear his voice,	0.0	neutral	Por lo cual, como dice el Espíritu Santo: Si oyereis hoy su voz,
HEB.3.8	3	8	Harden not your hearts, as in the provocation, in the day of temptation in the wilderness:	0.0	neutral	No endurezcáis vuestros corazones Como en la provocación, en el día de la tentación en el desierto,
HEB.3.9	3	9	When your fathers tempted me, proved me, and saw my works forty years.	0.0	neutral	Donde me tentaron vuestros padres; me probaron, Y vieron mis obras cuarenta años.
HEB.3.10	3	10	Wherefore I was grieved with that generation, and said, They do alway err in {their} heart; and they have not known my ways.	0.0	neutral	A causa de lo cual me enemisté con esta generación, Y dije: Siempre divagan ellos de corazón, Y no han conocido mis caminos.
HEB.3.11	3	11	So I sware in my wrath, They shall not enter into my rest.) {They...: Gr. If they shall enter}	0.0	neutral	Juré, pues, en mi ira: No entrarán en mi reposo.
HEB.3.12	3	12	Take heed, brethren, lest there be in any of you an evil heart of unbelief, in departing from the living God.	-1.0	negative	Mirad, hermanos, que en ninguno de vosotros haya corazón malo de incredulidad para apartarse del Dios vivo:
HEB.3.13	3	13	But exhort one another daily, while it is called To day; lest any of you be hardened through the deceitfulness of sin.	0.0	neutral	Antes exhortaos los unos á los otros cada día, entre tanto que se dice Hoy; porque ninguno de vosotros se endurezca con engaño de pecado:
HEB.3.14	3	14	For we are made partakers of Christ, if we hold the beginning of our confidence stedfast unto the end;	0.0	neutral	Porque participantes de Cristo somos hechos, con tal que conservemos firme hasta el fin el principio de nuestra confianza;
HEB.3.15	3	15	While it is said, To day if ye will hear his voice, harden not your hearts, as in the provocation.	0.0	neutral	Entre tanto que se dice: Si oyereis hoy su voz, No endurezcáis vuestros corazones, como en la provocación.
HEB.3.16	3	16	For some, when they had heard, did provoke: howbeit not all that came out of Egypt by Moses.	0.0	neutral	Porque algunos de los que habían salido de Egipto con Moisés, habiendo oído, provocaron, aunque no todos.
HEB.3.17	3	17	But with whom was he grieved forty years? {was it} not with them that had sinned, whose carcases fell in the wilderness?	0.0	neutral	Mas ¿con cuáles estuvo enojado cuarenta años? ¿No fué con los que pecaron, cuyos cuerpos cayeron en el desierto?
HEB.3.18	3	18	And to whom sware he that they should not enter into his rest, but to them that believed not?	0.0	neutral	¿Y á quiénes juró que no entrarían en su reposo, sino á aquellos que no obedecieron?
HEB.3.19	3	19	So we see that they could not enter in because of unbelief.	0.0	neutral	Y vemos que no pudieron entrar á causa de incredulidad.
HEB.4.1	4	1	Let us therefore fear, lest, a promise being left {us} of entering into his rest, any of you should seem to come short of it.	0.0	neutral	TEMAMOS, pues, que quedando aún la promesa de entrar en su reposo, parezca alguno de vosotros haberse apartado.
HEB.4.2	4	2	For unto us was the gospel preached, as well as unto them: but the word preached did not profit them, not being mixed with faith in them that heard {it}. {the word...: Gr. the word of hearing} {not being...: or, because they were not united by faith to}	0.0	neutral	Porque también á nosotros se nos ha evangelizado como á ellos; mas no les aprovechó el oir la palabra á los que la oyeron sin mezclar fe.
HEB.4.3	4	3	For we which have believed do enter into rest, as he said, As I have sworn in my wrath, if they shall enter into my rest: although the works were finished from the foundation of the world.	0.0	neutral	Empero entramos en el reposo los que hemos creído, de la manera que dijo: Como juré en mi ira, No entrarán en mi reposo: aun acabadas las obras desde el principio del mundo.
HEB.4.4	4	4	For he spake in a certain place of the seventh {day} on this wise, And God did rest the seventh day from all his works.	0.4571	positive	Porque en un cierto lugar dijo así del séptimo día: Y reposó Dios de todas sus obras en el séptimo día.
HEB.4.5	4	5	And in this {place} again, If they shall enter into my rest.	0.0	neutral	Y otra vez aquí: No entrarán en mi reposo.
HEB.4.6	4	6	Seeing therefore it remaineth that some must enter therein, and they to whom it was first preached entered not in because of unbelief: {it was: or, the gospel was}	-0.25	negative	Así que, pues que resta que algunos han de entrar en él, y aquellos á quienes primero fué anunciado no entraron por causa de desobediencia,
HEB.4.7	4	7	Again, he limiteth a certain day, saying in David, To day, after so long a time; as it is said, To day if ye will hear his voice, harden not your hearts.	0.0821	neutral	Determina otra vez un cierto día, diciendo por David: Hoy, después de tanto tiempo; como está dicho: Si oyereis su voz hoy, No endurezcáis vuestros corazones.
HEB.4.8	4	8	For if Jesus had given them rest, then would he not afterward have spoken of another day. {Jesus: that is, Joshua}	0.0	neutral	Porque si Josué les hubiera dado el reposo, no hablaría después de otro día.
HEB.4.9	4	9	There remaineth therefore a rest to the people of God. {rest: or, keeping of a sabbath}	0.0	neutral	Por tanto, queda un reposo para el pueblo de Dios.
HEB.4.10	4	10	For he that is entered into his rest, he also hath ceased from his own works, as God {did} from his.	0.6	positive	Porque el que ha entrado en su reposo, también él ha reposado de sus obras, como Dios de las suyas.
HEB.4.11	4	11	Let us labour therefore to enter into that rest, lest any man fall after the same example of unbelief. {unbelief: or, disobedience}	0.0	neutral	Procuremos pues de entrar en aquel reposo; que ninguno caiga en semejante ejemplo de desobediencia.
HEB.4.12	4	12	For the word of God {is} quick, and powerful, and sharper than any twoedged sword, piercing even to the dividing asunder of soul and spirit, and of the joints and marrow, and {is} a discerner of the thoughts and intents of the heart.	0.3167	positive	Porque la palabra de Dios es viva y eficaz, y más penetrante que toda espada de dos filos: y que alcanza hasta partir el alma, y aun el espíritu, y las coyunturas y tuétanos, y discierne los pensamientos y las intenciones del corazón.
