verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
JER.36.5	36	5	And Jeremiah commanded Baruch, saying, I {am} shut up; I cannot go into the house of the LORD:	0.0	neutral	Después mandó Jeremías á Baruch, diciendo: Yo estoy preso, no puedo entrar en la casa de Jehova:
JER.36.6	36	6	Therefore go thou, and read in the roll, which thou hast written from my mouth, the words of the LORD in the ears of the people in the LORD'S house upon the fasting day: and also thou shalt read them in the ears of all Judah that come out of their cities.	0.0	neutral	Entra tú pues, y lee de este rollo que escribiste de mi boca, las palabras de Jehová en oídos del pueblo, en la casa de Jehová, el día del ayuno; y las leerás también en oídos de todo Judá que vienen de sus ciudades.
JER.36.7	36	7	It may be they will present their supplication before the LORD, and will return every one from his evil way: for great {is} the anger and the fury that the LORD hath pronounced against this people. {they...: Heb. their supplication shall fail}	-0.28	negative	Quizá caerá oración de ellos en la presencia de Jehová, y tornaráse cada uno de su mal camino; porque grande es el furor y la ira que ha expresado Jehová contra este pueblo.
JER.36.8	36	8	And Baruch the son of Neriah did according to all that Jeremiah the prophet commanded him, reading in the book the words of the LORD in the LORD'S house.	0.0	neutral	Y Baruch hijo de Nerías hizo conforme á todas las cosas que le mandó Jeremías profeta, leyendo en el libro las palabras de Jehová en la casa de Jehová.
JER.36.9	36	9	And it came to pass in the fifth year of Jehoiakim the son of Josiah king of Judah, in the ninth month, {that} they proclaimed a fast before the LORD to all the people in Jerusalem, and to all the people that came from the cities of Judah unto Jerusalem.	0.2	positive	Y aconteció en el año quinto de Joacim hijo de Josías, rey de Judá, en el mes noveno, que promulgaron ayuno en la presencia de Jehová, á todo el pueblo de Jerusalem, y á todo el pueblo que venía de las ciudades de Judá á Jerusalem.
JER.36.10	36	10	Then read Baruch in the book the words of Jeremiah in the house of the LORD, in the chamber of Gemariah the son of Shaphan the scribe, in the higher court, at the entry of the new gate of the LORD'S house, in the ears of all the people. {entry: or, door}	0.1932	positive	Y Baruch leyó en el libro las palabras de Jeremías en la casa de Jehová, en la cámara de Gemarías hijo de Saphán escriba, en el atrio de arriba, á la entrada de la puerta nueva de la casa de Jehová, en oídos del pueblo.
JER.36.11	36	11	When Michaiah the son of Gemariah, the son of Shaphan, had heard out of the book all the words of the LORD,	0.0	neutral	Y Michêas hijo de Gemarías, hijo de Saphán, habiendo oído del libro todas las palabras de Jehová,
JER.36.12	36	12	Then he went down into the king's house, into the scribe's chamber: and, lo, all the princes sat there, {even} Elishama the scribe, and Delaiah the son of Shemaiah, and Elnathan the son of Achbor, and Gemariah the son of Shaphan, and Zedekiah the son of Hananiah, and all the princes.	-0.1556	negative	Descendió á la casa del rey, á la cámara del secretario, y he aquí que todos los príncipes estaban allí sentados, á saber: Elisama secretario, y Delaías hijo de Semeías, y Elnathán hijo de Achbor, y Gemarías hijo de Saphán, y Sedechîas hijo de Ananías, y todos los príncipes.
JER.36.13	36	13	Then Michaiah declared unto them all the words that he had heard, when Baruch read the book in the ears of the people.	0.0	neutral	Y contóles Michêas todas las palabras que había oído leyendo Baruch en el libro en oídos del pueblo.
JER.36.14	36	14	Therefore all the princes sent Jehudi the son of Nethaniah, the son of Shelemiah, the son of Cushi, unto Baruch, saying, Take in thine hand the roll wherein thou hast read in the ears of the people, and come. So Baruch the son of Neriah took the roll in his hand, and came unto them.	0.0	neutral	Entonces enviaron todos los príncipes á Jehudí hijo de Nethanías, hijo de Selemías, hijo de Chusi, para que dijese á Baruch: Toma el rollo en que leíste á oídos del pueblo, y ven. Y Baruch, hijo de Nerías, tomó el rollo en su mano, y vino á ellos.
