verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
JHN.13.15	13	15	For I have given you an example, that ye should do as I have done to you.	0.0	neutral	Porque ejemplo os he dado, para que como yo os he hecho, vosotros también hagáis.
JHN.13.16	13	16	Verily, verily, I say unto you, The servant is not greater than his lord; neither he that is sent greater than he that sent him.	0.125	positive	De cierto, de cierto os digo: El siervo no es mayor que su señor, ni el apóstol es mayor que el que le envió.
JHN.13.17	13	17	If ye know these things, happy are ye if ye do them.	0.8	positive	Si sabéis estas cosas, bienaventurados seréis, si las hiciereis.
JHN.13.18	13	18	I speak not of you all: I know whom I have chosen: but that the scripture may be fulfilled, He that eateth bread with me hath lifted up his heel against me.	0.0	neutral	No hablo de todos vosotros: yo sé los que he elegido: mas para que se cumpla la Escritura: El que come pan conmigo, levantó contra mí su calcañar.
JHN.13.19	13	19	Now I tell you before it come, that, when it is come to pass, ye may believe that I am {he}. {Now: or, From henceforth}	0.0	neutral	Desde ahora os lo digo antes que se haga, para que cuando se hiciere, creáis que yo soy.
JHN.13.20	13	20	Verily, verily, I say unto you, He that receiveth whomsoever I send receiveth me; and he that receiveth me receiveth him that sent me.	0.0	neutral	De cierto, de cierto os digo: El que recibe al que yo enviare, á mí recibe; y el que á mí recibe, recibe al que me envió.
JHN.13.21	13	21	When Jesus had thus said, he was troubled in spirit, and testified, and said, Verily, verily, I say unto you, that one of you shall betray me.	-0.5	negative	Como hubo dicho Jesús esto, fué conmovido en el espíritu, y protestó, y dijo: De cierto, de cierto os digo, que uno de vosotros me ha de entregar.
JHN.13.22	13	22	Then the disciples looked one on another, doubting of whom he spake.	0.0	neutral	Entonces los discípulos mirábanse los unos á los otros, dudando de quién decía.
JHN.13.23	13	23	Now there was leaning on Jesus' bosom one of his disciples, whom Jesus loved.	0.7	positive	Y uno de sus discípulos, al cual Jesús amaba, estaba recostado en el seno de Jesús.
JHN.13.24	13	24	Simon Peter therefore beckoned to him, that he should ask who it should be of whom he spake.	0.0	neutral	A éste, pues, hizo señas Simón Pedro, para que preguntase quién era aquél de quien decía.
JHN.13.25	13	25	He then lying on Jesus' breast saith unto him, Lord, who is it?	0.0	neutral	El entonces recostándose sobre el pecho de Jesús, dícele: Señor, ¿quién es?
JHN.13.26	13	26	Jesus answered, He it is, to whom I shall give a sop, when I have dipped {it}. And when he had dipped the sop, he gave {it} to Judas Iscariot, {the son} of Simon. {sop: or, morsel}	0.0	neutral	Respondió Jesús: Aquél es, á quien yo diere el pan mojado. Y mojando el pan, diólo á Judas Iscariote, hijo de Simón.
JHN.13.27	13	27	And after the sop Satan entered into him. Then said Jesus unto him, That thou doest, do quickly.	0.3333	positive	Y tras el bocado Satanás entró en él. Entonces Jesús le dice: Lo que haces, haz lo más presto.
JHN.13.28	13	28	Now no man at the table knew for what intent he spake this unto him.	0.0	neutral	Mas ninguno de los que estaban á la mesa entendió á qué propósito le dijo esto.
JHN.13.29	13	29	For some {of them} thought, because Judas had the bag, that Jesus had said unto him, Buy {those things} that we have need of against the feast; or, that he should give something to the poor.	-0.4	negative	Porque los unos pensaban, por que Judas tenía la bolsa, que Jesús le decía: Compra lo que necesitamos para la fiesta: ó, que diese algo á los pobres.
JHN.13.30	13	30	He then having received the sop went immediately out: and it was night.	0.0	neutral	Como él pues hubo tomado el bocado, luego salió: y era ya noche.
JHN.13.31	13	31	Therefore, when he was gone out, Jesus said, Now is the Son of man glorified, and God is glorified in him.	0.0	neutral	Entonces como él salió, dijo Jesús: Ahora es glorificado el Hijo del hombre, y Dios es glorificado en él.
JHN.13.32	13	32	If God be glorified in him, God shall also glorify him in himself, and shall straightway glorify him.	0.0	neutral	Si Dios es glorificado en él, Dios también le glorificará en sí mismo, y luego le glorificará.
JHN.13.33	13	33	Little children, yet a little while I am with you. Ye shall seek me: and as I said unto the Jews, Whither I go, ye cannot come; so now I say to you.	-0.1875	negative	Hijitos, aun un poco estoy con vosotros. Me buscaréis; mas, como dije á los Judíos: Donde yo voy, vosotros no podéis venir; así digo á vosotros ahora.
JHN.13.34	13	34	A new commandment I give unto you, That ye love one another; as I have loved you, that ye also love one another.	0.4591	positive	Un mandamiento nuevo os doy: Que os améis unos á otros: como os he amado, que también os améis los unos á los otros.
JHN.13.35	13	35	By this shall all {men} know that ye are my disciples, if ye have love one to another.	0.5	positive	En esto conocerán todos que sois mis discípulos, si tuviereis amor los unos con los otros.
JHN.13.36	13	36	Simon Peter said unto him, Lord, whither goest thou? Jesus answered him, Whither I go, thou canst not follow me now; but thou shalt follow me afterwards.	0.0	neutral	Dícele Simón Pedro: Señor, ¿adónde vas? Respondióle Jesús: Donde yo voy, no me puedes ahora seguir; mas me seguirás después.
JHN.13.37	13	37	Peter said unto him, Lord, why cannot I follow thee now? I will lay down my life for thy sake.	-0.1556	negative	Dícele Pedro: Señor, ¿por qué no te puedo seguir ahora? mi alma pondré por ti.
JHN.13.38	13	38	Jesus answered him, Wilt thou lay down thy life for my sake? Verily, verily, I say unto thee, The cock shall not crow, till thou hast denied me thrice.	-0.1556	negative	Respondióle Jesús: ¿Tu alma pondrás por mí? De cierto, de cierto te digo: No cantará el gallo, sin que me hayas negado tres veces.
JHN.14.1	14	1	Let not your heart be troubled: ye believe in God, believe also in me.	-0.5	negative	NO se turbe vuestro corazón; creéis en Dios, creed también en mí.
JHN.14.2	14	2	In my Father's house are many mansions: if {it were} not {so}, I would have told you. I go to prepare a place for you.	0.5	positive	En la casa de mi Padre muchas moradas hay: de otra manera os lo hubiera dicho: voy, pues, á preparar lugar para vosotros.
JHN.14.3	14	3	And if I go and prepare a place for you, I will come again, and receive you unto myself; that where I am, {there} ye may be also.	0.0	neutral	Y si me fuere, y os aparejare lugar, vendré otra vez, y os tomaré á mí mismo: para que donde yo estoy, vosotros también estéis.
JHN.14.4	14	4	And whither I go ye know, and the way ye know.	0.0	neutral	Y sabéis á dónde yo voy; y sabéis el camino.
JHN.14.5	14	5	Thomas saith unto him, Lord, we know not whither thou goest; and how can we know the way?	0.0	neutral	Dícele Tomás: Señor, no sabemos á dónde vas: ¿cómo, pues, podemos saber el camino?
JHN.14.6	14	6	Jesus saith unto him, I am the way, the truth, and the life: no man cometh unto the Father, but by me.	0.0	neutral	Jesús le dice: Yo soy el camino, y la verdad, y la vida: nadie viene al Padre, sino por mí.
JHN.14.7	14	7	If ye had known me, ye should have known my Father also: and from henceforth ye know him, and have seen him.	0.0	neutral	Si me conocieseis, también á mi Padre conocierais: y desde ahora le conocéis, y le habéis visto.
JHN.14.8	14	8	Philip saith unto him, Lord, shew us the Father, and it sufficeth us.	0.0	neutral	Dícele Felipe: Señor, muéstranos el Padre, y nos basta.
JHN.14.9	14	9	Jesus saith unto him, Have I been so long time with you, and yet hast thou not known me, Philip? he that hath seen me hath seen the Father; and how sayest thou {then}, Shew us the Father?	-0.05	neutral	Jesús le dice: ¿Tanto tiempo ha que estoy con vosotros, y no me has conocido, Felipe? El que me ha visto, ha visto al Padre; ¿cómo, pues, dices tú: Muéstranos el Padre?
JHN.14.10	14	10	Believest thou not that I am in the Father, and the Father in me? the words that I speak unto you I speak not of myself: but the Father that dwelleth in me, he doeth the works.	0.0	neutral	¿No crees que yo soy en el Padre, y el Padre en mí? Las palabras que yo os hablo, no las hablo de mí mismo: mas el Padre que está en mí, él hace las obras.
JHN.14.11	14	11	Believe me that I {am} in the Father, and the Father in me: or else believe me for the very works' sake.	0.2	positive	Creedme que yo soy en el Padre, y el Padre en mí: de otra manera, creedme por las mismas obras.
JHN.14.12	14	12	Verily, verily, I say unto you, He that believeth on me, the works that I do shall he do also; and greater {works} than these shall he do; because I go unto my Father.	0.5	positive	De cierto, de cierto os digo: El que en mí cree, las obras que yo hago también él las hará; y mayores que éstas hará; porque yo voy al Padre.
JHN.14.13	14	13	And whatsoever ye shall ask in my name, that will I do, that the Father may be glorified in the Son.	0.0	neutral	Y todo lo que pidiereis al Padre en mi nombre, esto haré, para que el Padre sea glorificado en el Hijo.
