verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
MAT.25.39	25	39	Or when saw we thee sick, or in prison, and came unto thee?	-0.7143	negative	¿O cuándo te vimos enfermo, ó en la cárcel, y vinimos á ti?
MAT.25.40	25	40	And the King shall answer and say unto them, Verily I say unto you, Inasmuch as ye have done {it} unto one of the least of these my brethren, ye have done {it} unto me.	-0.3	negative	Y respondiendo el Rey, les dirá: De cierto os digo que en cuanto lo hicisteis á uno de estos mis hermanos pequeñitos, á mí lo hicisteis.
MAT.25.41	25	41	Then shall he say also unto them on the left hand, Depart from me, ye cursed, into everlasting fire, prepared for the devil and his angels:	0.0	neutral	Entonces dirá también á los que estarán á la izquierda: Apartaos de mí, malditos, al fuego eterno preparado para el diablo y para sus ángeles:
MAT.25.42	25	42	For I was an hungred, and ye gave me no meat: I was thirsty, and ye gave me no drink:	0.0	neutral	Porque tuve hambre, y no me disteis de comer; tuve sed, y no me disteis de beber;
MAT.25.43	25	43	I was a stranger, and ye took me not in: naked, and ye clothed me not: sick, and in prison, and ye visited me not.	0.1786	positive	Fuí huésped, y no me recogisteis; desnudo, y no me cubristeis; enfermo, y en la cárcel, y no me visitasteis.
MAT.25.44	25	44	Then shall they also answer him, saying, Lord, when saw we thee an hungred, or athirst, or a stranger, or naked, or sick, or in prison, and did not minister unto thee?	-0.3571	negative	Entonces también ellos le responderán, diciendo: Señor, ¿cuándo te vimos hambriento, ó sediento, ó huésped, ó desnudo, ó enfermo, ó en la cárcel, y no te servimos?
MAT.25.45	25	45	Then shall he answer them, saying, Verily I say unto you, Inasmuch as ye did {it} not to one of the least of these, ye did {it} not to me.	-0.3	negative	Entonces les responderá, diciendo: De cierto os digo que en cuanto no lo hicisteis á uno de estos pequeñitos, ni á mí lo hicisteis.
MAT.25.46	25	46	And these shall go away into everlasting punishment: but the righteous into life eternal.	0.0	neutral	E irán éstos al tormento eterno, y los justos á la vida eterna.
MAT.26.1	26	1	And it came to pass, when Jesus had finished all these sayings, he said unto his disciples,	0.0	neutral	Y ACONTECIO que, como hubo acabado Jesús todas estas palabras, dijo á sus discípulos:
MAT.26.2	26	2	Ye know that after two days is {the feast of} the passover, and the Son of man is betrayed to be crucified.	0.0	neutral	Sabéis que dentro de dos días se hace la pascua, y el Hijo del hombre es entregado para ser crucificado.
MAT.26.3	26	3	Then assembled together the chief priests, and the scribes, and the elders of the people, unto the palace of the high priest, who was called Caiaphas,	0.16	positive	Entonces los príncipes de los sacerdotes, y los escribas, y los ancianos del pueblo se juntaron al patio del pontífice, el cual se llamaba Caifás;
MAT.26.4	26	4	And consulted that they might take Jesus by subtilty, and kill {him}.	0.0	neutral	Y tuvieron consejo para prender por engaño á Jesús, y matarle.
MAT.26.5	26	5	But they said, Not on the feast {day}, lest there be an uproar among the people.	0.0	neutral	Y decían: No en el día de la fiesta, porque no se haga alboroto en el pueblo.
MAT.26.6	26	6	Now when Jesus was in Bethany, in the house of Simon the leper,	0.0	neutral	Y estando Jesús en Bethania, en casa de Simón el leproso,
MAT.26.7	26	7	There came unto him a woman having an alabaster box of very precious ointment, and poured it on his head, as he sat {at meat}.	0.65	positive	Vino á él una mujer, teniendo un vaso de alabastro de unguento de gran precio, y lo derramó sobre la cabeza de él, estando sentado á la mesa.
