verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
1CH.1.1	1	1	Adam, Sheth, Enosh,	0.0	neutral	Adão, Sete, Enos,
1CH.1.2	1	2	Kenan, Mahalaleel, Jered,	0.0	neutral	Cainã, Malaleel, Jarede,
1CH.1.3	1	3	Henoch, Methuselah, Lamech,	0.0	neutral	Enoque, Matusalém, Lameque, Noé.
1CH.1.4	1	4	Noah, Shem, Ham, and Japheth.	0.0	neutral	Estes foram os filhos de Noé: Sem, Cam e Jafé.
1CH.1.5	1	5	The sons of Japheth; Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.	0.0	neutral	Estes foram os filhos de Jafé: Gômer, Magogue, Madai, Javã, Tubal, Meseque e Tirás.
1CH.1.6	1	6	And the sons of Gomer; Ashchenaz, and Riphath, and Togarmah. {Riphath: or, Diphath as it is in some copies}	0.0	neutral	Estes foram os filhos de Gômer: Asquenaz, Rifate e Togarma.
1CH.1.7	1	7	And the sons of Javan; Elishah, and Tarshish, Kittim, and Dodanim. {Dodanim: or, Rodanim, according to some copies}	0.0	neutral	Estes foram os filhos de Javã: Elisá, Társis, Quitim e Rodanim.
1CH.1.8	1	8	The sons of Ham; Cush, and Mizraim, Put, and Canaan.	0.0	neutral	Estes foram os filhos de Cam: Cuxe, Mizraim, Fute e Canaã.
1CH.1.9	1	9	And the sons of Cush; Seba, and Havilah, and Sabta, and Raamah, and Sabtecha. And the sons of Raamah; Sheba, and Dedan.	0.0	neutral	Estes foram os filhos de Cuxe: Sebá, Havilá, Sabtá, Raamá e Sabtecá. Estes foram os filhos de Raamá: Sabá e Dedã.
1CH.1.10	1	10	And Cush begat Nimrod: he began to be mighty upon the earth.	0.4	positive	Cuxe gerou Ninrode, o primeiro homem poderoso na terra.
1CH.1.11	1	11	And Mizraim begat Ludim, and Anamim, and Lehabim, and Naphtuhim,	0.0	neutral	Mizraim gerou os luditas, os anamitas, os leabitas, os naftuítas,
1CH.1.12	1	12	And Pathrusim, and Casluhim, (of whom came the Philistines,) and Caphthorim.	0.0	neutral	os patrusitas, os casluítas, dos quais se originaram os filisteus, e os caftoritas.
1CH.1.13	1	13	And Canaan begat Zidon his firstborn, and Heth,	0.0	neutral	Canaã gerou Sidom, seu filho mais velho, e Hete,
1CH.1.14	1	14	The Jebusite also, and the Amorite, and the Girgashite,	0.0	neutral	como também os jebuseus, os amorreus, os girgaseus,
1CH.1.15	1	15	And the Hivite, and the Arkite, and the Sinite,	0.0	neutral	os heveus, os arqueus, os sineus,
1CH.1.16	1	16	And the Arvadite, and the Zemarite, and the Hamathite.	0.0	neutral	os arvadeus, os zemareus e os hamateus.
1CH.1.17	1	17	The sons of Shem; Elam, and Asshur, and Arphaxad, and Lud, and Aram, and Uz, and Hul, and Gether, and Meshech. {Meshech: or, Mash}	0.0	neutral	Estes foram os filhos de Sem: Elão, Assur, Arfaxade, Lude e Arã. Estes foram os filhos de Arã: Uz, Hul, Géter e Meseque.
1CH.1.18	1	18	And Arphaxad begat Shelah, and Shelah begat Eber.	0.0	neutral	Arfaxade gerou Salá, e este gerou Héber.
1CH.1.19	1	19	And unto Eber were born two sons: the name of the one {was} Peleg; because in his days the earth was divided: and his brother's name {was} Joktan. {Peleg: that is, division}	0.0	neutral	A Héber nasceram dois filhos: Um deles se chamou Pelegue, porque em sua época a terra foi dividida; seu irmão chamou-se Joctã.
1CH.1.20	1	20	And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah,	0.0	neutral	Joctã gerou Almodá, Salefe, Hazarmavé, Jerá,
1CH.1.21	1	21	Hadoram also, and Uzal, and Diklah,	0.0	neutral	Hadorão, Uzal, Dicla,
1CH.1.22	1	22	And Ebal, and Abimael, and Sheba,	0.0	neutral	Obal, Abimael, Sabá,
1CH.1.23	1	23	And Ophir, and Havilah, and Jobab. All these {were} the sons of Joktan.	0.0	neutral	Ofir, Havilá e Jobabe. Todos esses foram filhos de Joctã.
1CH.1.24	1	24	Shem, Arphaxad, Shelah,	0.0	neutral	Sem, Arfaxade, Salá,
1CH.1.25	1	25	Eber, Peleg, Reu,	0.0	neutral	Héber, Pelegue, Reú,
1CH.1.26	1	26	Serug, Nahor, Terah,	0.0	neutral	Serugue, Naor, Terá
1CH.1.27	1	27	Abram; the same {is} Abraham.	0.0	neutral	e Abrão, que é Abraão.
1CH.1.28	1	28	The sons of Abraham; Isaac, and Ishmael.	0.0	neutral	Estes foram os filhos de Abraão: Isaque e Ismael.
1CH.1.29	1	29	These {are} their generations: The firstborn of Ishmael, Nebaioth; then Kedar, and Adbeel, and Mibsam,	0.0	neutral	Foram estes os seus descendentes: Nebaiote, o filho mais velho de Ismael, Quedar, Adbeel, Mibsão,
1CH.1.30	1	30	Mishma, and Dumah, Massa, Hadad, and Tema, {Hadad: also called, Hadar}	0.0	neutral	Misma, Dumá, Massá, Hadade, Temá,
1CH.1.31	1	31	Jetur, Naphish, and Kedemah. These are the sons of Ishmael.	0.0	neutral	Jetur, Nafis e Quedemá. Esses foram os filhos de Ismael.
1CH.1.32	1	32	Now the sons of Keturah, Abraham's concubine: she bare Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah. And the sons of Jokshan; Sheba, and Dedan.	0.05	neutral	Estes foram os filhos de Abraão com sua concubina Quetura: Zinrã, Jocsã, Medã, Midiã, Isbaque e Suá. Foram estes os filhos de Jocsã: Sabá e Dedã.
1CH.1.33	1	33	And the sons of Midian; Ephah, and Epher, and Henoch, and Abida, and Eldaah. All these {are} the sons of Keturah.	0.0	neutral	Foram estes os filhos de Midiã: Efá, Éfer, Enoque, Abida e Elda. Todos esses foram descendentes de Quetura.
1CH.1.34	1	34	And Abraham begat Isaac. The sons of Isaac; Esau and Israel.	0.0	neutral	Abraão gerou Isaque. Estes foram os filhos de Isaque: Esaú e Israel.
1CH.1.35	1	35	The sons of Esau; Eliphaz, Reuel, and Jeush, and Jaalam, and Korah.	0.0	neutral	Estes foram os filhos de Esaú: Elifaz, Reuel, Jeús, Jalão e Corá.
