verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
2KI.21.15	21	15	Because they have done {that which was} evil in my sight, and have provoked me to anger, since the day their fathers came forth out of Egypt, even unto this day.	-0.85	negative	"pois fizeram o que eu reprovo e me provocaram à ira, desde o dia em que seus antepassados saíram do Egito até hoje""."
2KI.21.16	21	16	Moreover Manasseh shed innocent blood very much, till he had filled Jerusalem from one end to another; beside his sin wherewith he made Judah to sin, in doing {that which was} evil in the sight of the LORD. {from...: Heb. from mouth to mouth}	0.04	neutral	Manassés também derramou tanto sangue inocente que encheu Jerusalém de um lado a outro; além disso levou Judá a cometer pecado, a fim de que fizessem o que o Senhor reprova.
2KI.21.17	21	17	Now the rest of the acts of Manasseh, and all that he did, and his sin that he sinned, {are} they not written in the book of the chronicles of the kings of Judah?	0.0	neutral	Os demais acontecimentos do reinado de Manassés e todas as suas realizações, inclusive o pecado que cometeu, estão escritos no livro dos registros históricos dos reis de Judá.
2KI.21.18	21	18	And Manasseh slept with his fathers, and was buried in the garden of his own house, in the garden of Uzza: and Amon his son reigned in his stead.	0.6	positive	Manassés descansou com seus antepassados e foi sepultado no jardim do seu palácio, o jardim de Uzá. E seu filho Amom foi o seu sucessor.
2KI.21.19	21	19	Amon {was} twenty and two years old when he began to reign, and he reigned two years in Jerusalem. And his mother's name {was} Meshullemeth, the daughter of Haruz of Jotbah.	0.1	neutral	Amom tinha vinte e dois anos de idade quando começou a reinar, e reinou dois anos em Jerusalém. O nome de sua mãe era Mesulemete, filha de Haruz; ela era de Jotbá.
2KI.21.20	21	20	And he did {that which was} evil in the sight of the LORD, as his father Manasseh did.	-1.0	negative	Ele fez o que o Senhor reprova, como fizera Manassés, seu pai.
2KI.21.21	21	21	And he walked in all the way that his father walked in, and served the idols that his father served, and worshipped them:	0.0	neutral	Imitou o seu pai em tudo; prestou culto aos ídolos aos quais seu pai havia cultuado e inclinou-se diante deles.
2KI.21.22	21	22	And he forsook the LORD God of his fathers, and walked not in the way of the LORD.	0.0	neutral	Abandonou o Senhor, o Deus de seus antepassados e não andou no caminho do Senhor.
2KI.21.23	21	23	And the servants of Amon conspired against him, and slew the king in his own house.	0.6	positive	Os oficiais de Amom conspiraram contra ele e o assassinaram em seu palácio.
2KI.21.24	21	24	And the people of the land slew all them that had conspired against king Amon; and the people of the land made Josiah his son king in his stead.	0.0	neutral	Mas o povo matou todos os que haviam conspirado contra o rei Amom, e a seu filho Josias proclamou rei em seu lugar.
2KI.21.25	21	25	Now the rest of the acts of Amon which he did, {are} they not written in the book of the chronicles of the kings of Judah?	0.0	neutral	Os demais acontecimentos do reinado de Amom e as suas realizações, estão escritos no livro dos registros históricos dos reis de Judá.
2KI.21.26	21	26	And he was buried in his sepulchre in the garden of Uzza: and Josiah his son reigned in his stead. {Josiah: Gr. Josias}	0.0	neutral	Ele foi sepultado em seu túmulo no jardim de Uzá. Seu filho Josias foi o seu sucessor.
2KI.22.1	22	1	Josiah {was} eight years old when he began to reign, and he reigned thirty and one years in Jerusalem. And his mother's name {was} Jedidah, the daughter of Adaiah of Boscath.	0.1	neutral	Josias tinha oito anos de idade quando começou a reinar, e reinou trinta e um anos em Jerusalém. O nome de sua mãe era Jedida, filha de Adaías; ela era de Bozcate.
2KI.22.2	22	2	And he did {that which was} right in the sight of the LORD, and walked in all the way of David his father, and turned not aside to the right hand or to the left.	0.1905	positive	Ele fez o que o Senhor aprova e andou nos caminhos de Davi, seu predecessor, sem desviar-se nem para a direita nem para a esquerda.
2KI.22.3	22	3	And it came to pass in the eighteenth year of king Josiah, {that} the king sent Shaphan the son of Azaliah, the son of Meshullam, the scribe, to the house of the LORD, saying,	0.0	neutral	No décimo oitavo ano do seu reinado, o rei Josias enviou o secretário Safã, filho de Azalias e neto de Mesulão, ao templo do Senhor, dizendo:
2KI.22.4	22	4	Go up to Hilkiah the high priest, that he may sum the silver which is brought into the house of the LORD, which the keepers of the door have gathered of the people: {door: Heb. threshold}	-0.295	negative	"""Vá ao sumo sacerdote Hilquias e mande-o ajuntar a prata que foi trazida ao templo do Senhor, que os guardas das portas recolheram do povo."
2KI.22.5	22	5	And let them deliver it into the hand of the doers of the work, that have the oversight of the house of the LORD: and let them give it to the doers of the work which {is} in the house of the LORD, to repair the breaches of the house,	0.0	neutral	Eles deverão entregar a prata aos homens nomeados para supervisionar a reforma do templo, para poderem pagar os trabalhadores que fazem os reparos no templo do Senhor:
2KI.22.6	22	6	Unto carpenters, and builders, and masons, and to buy timber and hewn stone to repair the house.	0.0	neutral	os carpinteiros, os construtores e os pedreiros. Além disso comprarão madeira e pedras lavradas para os reparos no templo.
2KI.22.7	22	7	Howbeit there was no reckoning made with them of the money that was delivered into their hand, because they dealt faithfully.	0.0	neutral	"Mas eles não precisarão prestar contas da prata que lhes foi confiada, pois estão agindo com honestidade""."
2KI.22.8	22	8	And Hilkiah the high priest said unto Shaphan the scribe, I have found the book of the law in the house of the LORD. And Hilkiah gave the book to Shaphan, and he read it.	0.16	positive	"Então o sumo sacerdote Hilquias disse ao secretário Safã: ""Encontrei o livro da Lei no templo do Senhor"". Ele o entregou a Safã, que o leu."
2KI.22.9	22	9	And Shaphan the scribe came to the king, and brought the king word again, and said, Thy servants have gathered the money that was found in the house, and have delivered it into the hand of them that do the work, that have the oversight of the house of the LORD. {gathered: Heb. melted}	0.0	neutral	"O secretário Safã voltou ao rei e lhe informou: ""Teus servos entregaram a prata que havia no templo do Senhor e a confiaram aos trabalhadores e supervisores no templo""."
2KI.22.10	22	10	And Shaphan the scribe shewed the king, saying, Hilkiah the priest hath delivered me a book. And Shaphan read it before the king.	0.0	neutral	"E o secretário Safã acrescentou: ""O sacerdote Hilquias entregou-me um livro"". E Safã o leu para o rei."
2KI.22.11	22	11	And it came to pass, when the king had heard the words of the book of the law, that he rent his clothes.	0.0	neutral	Assim que o rei ouviu as palavras do livro da Lei, rasgou suas vestes
2KI.22.12	22	12	And the king commanded Hilkiah the priest, and Ahikam the son of Shaphan, and Achbor the son of Michaiah, and Shaphan the scribe, and Asahiah a servant of the king's, saying, {Achbor: or, Abdon} {Michaiah: or, Micah}	0.0	neutral	e deu estas ordens ao sacerdote Hilquias, a Aicam, filho de Safã, a Acbor, filho de Micaías, ao secretário Safã e ao auxiliar real Asaías:
2KI.22.13	22	13	Go ye, enquire of the LORD for me, and for the people, and for all Judah, concerning the words of this book that is found: for great {is} the wrath of the LORD that is kindled against us, because our fathers have not hearkened unto the words of this book, to do according unto all that which is written concerning us.	0.8	positive	"""Vão consultar o Senhor por mim, pelo povo e por todo Judá acerca do que está escrito neste livro que foi encontrado. A ira do Senhor contra nós deve ser grande, pois nossos antepassados não obedeceram às palavras deste livro, nem agiram de acordo com tudo que nele está escrito a nosso respeito""."
2KI.22.14	22	14	So Hilkiah the priest, and Ahikam, and Achbor, and Shaphan, and Asahiah, went unto Huldah the prophetess, the wife of Shallum the son of Tikvah, the son of Harhas, keeper of the wardrobe; (now she dwelt in Jerusalem in the college;) and they communed with her. {wardrobe: Heb. garments} {in the...: or, in the second part}	0.125	positive	O sacerdote Hilquias, Aicam, Acbor, Safã e Asaías foram falar com a profetisa Hulda, mulher de Salum, filho de Ticvá e neto de Harás, responsável pelo guarda-roupa do templo. Ela morava no bairro novo de Jerusalém.
2KI.22.15	22	15	And she said unto them, Thus saith the LORD God of Israel, Tell the man that sent you to me,	0.0	neutral	"Ela lhes disse: ""Assim diz o Senhor, o Deus de Israel: 'Digam ao homem que os enviou a mim:"
2KI.22.16	22	16	Thus saith the LORD, Behold, I will bring evil upon this place, and upon the inhabitants thereof, {even} all the words of the book which the king of Judah hath read:	-1.0	negative	Assim diz o Senhor: Eu vou trazer desgraça sobre este lugar e sobre seus habitantes; tudo o que está escrito no livro que o rei de Judá leu.
2KI.22.17	22	17	Because they have forsaken me, and have burned incense unto other gods, that they might provoke me to anger with all the works of their hands; therefore my wrath shall be kindled against this place, and shall not be quenched.	-0.4125	negative	Porque me abandonaram e queimaram incenso a outros deuses, provocando-me à ira por meio de todos os ídolos que as mãos deles têm feito, minha ira arderá contra este lugar e não será apagada'.
2KI.22.18	22	18	But to the king of Judah which sent you to enquire of the LORD, thus shall ye say to him, Thus saith the LORD God of Israel, {As touching} the words which thou hast heard;	0.5	positive	Digam ao rei de Judá, que os enviou para consultar o Senhor: 'Assim diz o Senhor, o Deus de Israel, acerca das palavras que você ouviu:
2KI.22.19	22	19	Because thine heart was tender, and thou hast humbled thyself before the LORD, when thou heardest what I spake against this place, and against the inhabitants thereof, that they should become a desolation and a curse, and hast rent thy clothes, and wept before me; I also have heard {thee}, saith the LORD.	0.0	neutral	Já que o seu coração se abriu e você se humilhou diante do Senhor, ao ouvir o que falei contra este lugar e contra seus habitantes, que seriam arrasados e amaldiçoados, e porque você rasgou as vestes e chorou na minha presença, eu o ouvi, declara o Senhor.
2KI.22.20	22	20	Behold therefore, I will gather thee unto thy fathers, and thou shalt be gathered into thy grave in peace; and thine eyes shall not see all the evil which I will bring upon this place. And they brought the king word again.	-1.0	negative	"Portanto, eu o reunirei aos seus antepassados, e você será sepultado em paz. Seus olhos não verão toda a desgraça que eu vou trazer sobre este lugar' "". Então eles levaram a resposta ao rei."
2KI.23.1	23	1	And the king sent, and they gathered unto him all the elders of Judah and of Jerusalem.	0.0	neutral	Então o rei convocou todas as autoridades de Judá e de Jerusalém.
2KI.23.2	23	2	And the king went up into the house of the LORD, and all the men of Judah and all the inhabitants of Jerusalem with him, and the priests, and the prophets, and all the people, both small and great: and he read in their ears all the words of the book of the covenant which was found in the house of the LORD. {both...: Heb. from small even unto great}	0.275	positive	Depois o rei subiu ao templo do Senhor acompanhado por todos os homens de Judá, todo o povo de Jerusalém, os sacerdotes e os profetas; todo o povo, dos mais simples aos mais importantes. Para todos o rei leu em voz alta todas as palavras do Livro da Aliança, que havia sido encontrado no templo do Senhor.
2KI.23.3	23	3	And the king stood by a pillar, and made a covenant before the LORD, to walk after the LORD, and to keep his commandments and his testimonies and his statutes with all {their} heart and all {their} soul, to perform the words of this covenant that were written in this book. And all the people stood to the covenant.	0.0	neutral	O rei colocou-se junto à coluna real e, na presença do Senhor, fez uma aliança, comprometendo-se a seguir o Senhor e obedecer de todo o coração e de toda a alma aos seus mandamentos, seus preceitos e seus decretos, confirmando assim as palavras da aliança escritas naquele livro. Então todo o povo se comprometeu com a aliança.
2KI.23.4	23	4	And the king commanded Hilkiah the high priest, and the priests of the second order, and the keepers of the door, to bring forth out of the temple of the LORD all the vessels that were made for Baal, and for the grove, and for all the host of heaven: and he burned them without Jerusalem in the fields of Kidron, and carried the ashes of them unto Bethel.	0.08	neutral	O rei deu ordens ao sumo sacerdote Hilquias, aos sacerdotes auxiliares e aos guardas das portas que retirassem do templo do Senhor todos os utensílios feitos para Baal e Aserá e para todos os exércitos celestes. Ele os queimou fora de Jerusalém, nos campos do vale de Cedrom e levou as cinzas para Betel.
2KI.23.5	23	5	And he put down the idolatrous priests, whom the kings of Judah had ordained to burn incense in the high places in the cities of Judah, and in the places round about Jerusalem; them also that burned incense unto Baal, to the sun, and to the moon, and to the planets, and to all the host of heaven. {put...: Heb. caused to cease} {idolatrous...: Heb. Chemarim} {planets: or, twelve signs or, constellations}	-0.0652	neutral	E eliminou os sacerdotes pagãos nomeados pelos reis de Judá para queimar incenso nos altares idólatras das cidades de Judá e dos arredores de Jerusalém, aqueles que queimavam incenso a Baal, ao sol e à lua, às constelações e a todos os exércitos celestes.
2KI.23.6	23	6	And he brought out the grove from the house of the LORD, without Jerusalem, unto the brook Kidron, and burned it at the brook Kidron, and stamped {it} small to powder, and cast the powder thereof upon the graves of the children of the people.	-0.25	negative	Também mandou levar o poste sagrado do templo do Senhor para o vale de Cedrom, fora de Jerusalém, para ser queimado e reduzido a cinzas, que foram espalhadas sobre os túmulos de um cemitério público.
2KI.23.7	23	7	And he brake down the houses of the sodomites, that {were} by the house of the LORD, where the women wove hangings for the grove. {hangings: Heb. houses}	-0.1556	negative	Também derrubou as acomodações dos prostitutos cultuais, que ficavam no templo do Senhor, onde as mulheres teciam para Aserá.
2KI.23.8	23	8	And he brought all the priests out of the cities of Judah, and defiled the high places where the priests had burned incense, from Geba to Beersheba, and brake down the high places of the gates that {were} in the entering in of the gate of Joshua the governor of the city, which {were} on a man's left hand at the gate of the city.	0.0411	neutral	Josias trouxe todos os sacerdotes das cidades de Judá e, desde Geba até Berseba, profanou os altares onde os sacerdotes haviam queimado incenso. Derrubou os altares idólatras junto às portas, inclusive o altar da entrada da porta de Josué, o governador da cidade, que fica à esquerda da porta da cidade.
2KI.23.9	23	9	Nevertheless the priests of the high places came not up to the altar of the LORD in Jerusalem, but they did eat of the unleavened bread among their brethren.	0.16	positive	Embora os sacerdotes dos altares não servissem no altar do Senhor em Jerusalém, comiam pães sem fermento junto com os sacerdotes, seus colegas.
2KI.23.10	23	10	And he defiled Topheth, which {is} in the valley of the children of Hinnom, that no man might make his son or his daughter to pass through the fire to Molech.	0.0	neutral	Também profanou Tofete, que ficava no vale de Ben-Hinom, de modo que ninguém mais pudesse usá-lo para queimar seu filho ou filha em sacrifício a Moloque.
2KI.23.11	23	11	And he took away the horses that the kings of Judah had given to the sun, at the entering in of the house of the LORD, by the chamber of Nathanmelech the chamberlain, which {was} in the suburbs, and burned the chariots of the sun with fire. {chamberlain: or, eunuch, or, officer}	0.0	neutral	Acabou com os cavalos que os reis de Judá tinham consagrado ao sol. Estavam na entrada do templo do Senhor perto da sala de um oficial chamado Natã-Meleque. Também queimou as carruagens consagradas ao sol.
2KI.23.12	23	12	And the altars that {were} on the top of the upper chamber of Ahaz, which the kings of Judah had made, and the altars which Manasseh had made in the two courts of the house of the LORD, did the king beat down, and brake {them} down from thence, and cast the dust of them into the brook Kidron. {brake...: or, ran from thence}	0.0472	neutral	Derrubou os altares que os seus antecessores haviam erguido no terraço, em cima do quarto superior de Acaz, e os altares que Manassés havia construído nos dois pátios do templo do Senhor. Retirou-os dali, despedaçou-os e atirou o entulho no vale de Cedrom.
2KI.23.13	23	13	And the high places that {were} before Jerusalem, which {were} on the right hand of the mount of corruption, which Solomon the king of Israel had builded for Ashtoreth the abomination of the Zidonians, and for Chemosh the abomination of the Moabites, and for Milcom the abomination of the children of Ammon, did the king defile. {the mount...: that is, the mount of Olives}	0.2229	positive	O rei também profanou os altares que ficavam a leste de Jerusalém no sul do monte da Destruição, os quais Salomão, rei de Israel, havia construído para o poste sagrado, a detestável deusa dos sidônios, para Camos, o detestável deus de Moabe, e para Moloque, o detestável deus do povo de Amom.
2KI.23.14	23	14	And he brake in pieces the images, and cut down the groves, and filled their places with the bones of men. {images: Heb. statues}	0.1222	positive	Josias despedaçou as colunas sagradas, derrubou os postes sagrados e cobriu os locais com ossos humanos.
