verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
2TI.1.1	1	1	Paul, an apostle of Jesus Christ by the will of God, according to the promise of life which is in Christ Jesus,	0.0	neutral	Paulo, apóstolo de Cristo Jesus pela vontade de Deus, segundo a promessa da vida que está em Cristo Jesus,
2TI.1.2	1	2	To Timothy, {my} dearly beloved son: Grace, mercy, {and} peace, from God the Father and Christ Jesus our Lord.	0.7	positive	a Timóteo, meu amado filho: Graça, misericórdia e paz da parte de Deus Pai e de Cristo Jesus, nosso Senhor.
2TI.1.3	1	3	I thank God, whom I serve from {my} forefathers with pure conscience, that without ceasing I have remembrance of thee in my prayers night and day;	0.2143	positive	Dou graças a Deus, a quem sirvo com a consciência limpa, como o serviram os meus antepassados, ao lembrar-me constantemente de você noite e dia em minhas orações.
2TI.1.4	1	4	Greatly desiring to see thee, being mindful of thy tears, that I may be filled with joy; {Greatly...: or, remembering thy tears, I greatly desire to see thee that}	0.72	positive	Lembro-me das suas lágrimas e desejo muito vê-lo, para que a minha alegria seja completa.
2TI.1.5	1	5	When I call to remembrance the unfeigned faith that is in thee, which dwelt first in thy grandmother Lois, and thy mother Eunice; and I am persuaded that in thee also.	0.25	positive	Recordo-me da sua fé não fingida, que primeiro habitou em sua avó Lóide e em sua mãe Eunice, e estou convencido de que também habita em você.
2TI.1.6	1	6	Wherefore I put thee in remembrance that thou stir up the gift of God, which is in thee by the putting on of my hands.	0.0	neutral	Por essa razão, torno a lembrar-lhe que mantenha viva a chama do dom de Deus que está em você mediante a imposição das minhas mãos.
2TI.1.7	1	7	For God hath not given us the spirit of fear; but of power, and of love, and of a sound mind.	0.45	positive	Pois Deus não nos deu espírito de covardia, mas de poder, de amor e de equilíbrio.
2TI.1.8	1	8	Be not thou therefore ashamed of the testimony of our Lord, nor of me his prisoner: but be thou partaker of the afflictions of the gospel according to the power of God;	0.0	neutral	Portanto, não se envergonhe de testemunhar do Senhor, nem de mim, que sou prisioneiro dele, mas suporte comigo os sofrimentos pelo evangelho, segundo o poder de Deus,
2TI.1.9	1	9	Who hath saved us, and called {us} with an holy calling, not according to our works, but according to his own purpose and grace, which was given us in Christ Jesus before the world began,	0.6	positive	que nos salvou e nos chamou com uma santa vocação, não em virtude das nossas obras, mas por causa da sua própria determinação e graça. Esta graça nos foi dada em Cristo Jesus desde os tempos eternos,
2TI.1.10	1	10	But is now made manifest by the appearing of our Saviour Jesus Christ, who hath abolished death, and hath brought life and immortality to light through the gospel:	0.4	positive	sendo agora revelada pela manifestação de nosso Salvador, Cristo Jesus. Ele tornou inoperante a morte e trouxe à luz a vida e a imortalidade por meio do evangelho.
2TI.1.11	1	11	Whereunto I am appointed a preacher, and an apostle, and a teacher of the Gentiles.	0.0	neutral	Deste evangelho fui constituído pregador, apóstolo e mestre.
2TI.1.12	1	12	For the which cause I also suffer these things: nevertheless I am not ashamed: for I know whom I have believed, and am persuaded that he is able to keep that which I have committed unto him against that day. {believed: or, trusted}	0.5	positive	Por essa causa também sofro, mas não me envergonho, porque sei em quem tenho crido e estou bem certo de que ele é poderoso para guardar o meu depósito até aquele dia.
2TI.1.13	1	13	Hold fast the form of sound words, which thou hast heard of me, in faith and love which is in Christ Jesus.	0.3667	positive	Retenha, com fé e amor em Cristo Jesus, o modelo da sã doutrina que você ouviu de mim.
2TI.1.14	1	14	That good thing which was committed unto thee keep by the Holy Ghost which dwelleth in us.	0.7	positive	Quanto ao bom depósito, guarde-o por meio do Espírito Santo que habita em nós.
2TI.1.15	1	15	This thou knowest, that all they which are in Asia be turned away from me; of whom are Phygellus and Hermogenes.	0.0	neutral	Você sabe que todos os da província da Ásia me abandonaram, inclusive Fígelo e Hermógenes.
2TI.1.16	1	16	The Lord give mercy unto the house of Onesiphorus; for he oft refreshed me, and was not ashamed of my chain:	0.0	neutral	O Senhor conceda misericórdia à casa de Onesíforo, porque muitas vezes ele me reanimou e não se envergonhou por eu estar preso;
2TI.1.17	1	17	But, when he was in Rome, he sought me out very diligently, and found {me}.	0.2	positive	pelo contrário, quando chegou a Roma procurou-me diligentemente até me encontrar.
2TI.1.18	1	18	The Lord grant unto him that he may find mercy of the Lord in that day: and in how many things he ministered unto me at Ephesus, thou knowest very well.	0.35	positive	Conceda-lhe o Senhor que, naquele dia, encontre misericórdia da parte do Senhor! Você sabe muito bem quantos serviços ele me prestou em Éfeso.
2TI.2.1	2	1	Thou therefore, my son, be strong in the grace that is in Christ Jesus.	0.4333	positive	Portanto, você, meu filho, fortifique-se na graça que há em Cristo Jesus.
2TI.2.2	2	2	And the things that thou hast heard of me among many witnesses, the same commit thou to faithful men, who shall be able to teach others also. {among: or, by}	0.3333	positive	E as coisas que me ouviu dizer na presença de muitas testemunhas, confie a homens fiéis que sejam também capazes de ensinar a outros.
2TI.2.3	2	3	Thou therefore endure hardness, as a good soldier of Jesus Christ.	0.7	positive	Suporte comigo os sofrimentos, como bom soldado de Cristo Jesus.
2TI.2.4	2	4	No man that warreth entangleth himself with the affairs of {this} life; that he may please him who hath chosen him to be a soldier.	0.0	neutral	Nenhum soldado se deixa envolver pelos negócios da vida civil, já que deseja agradar aquele que o alistou.
2TI.2.5	2	5	And if a man also strive for masteries, {yet} is he not crowned, except he strive lawfully.	0.0	neutral	Semelhantemente, nenhum atleta é coroado como vencedor, se não competir de acordo com as regras.
2TI.2.6	2	6	The husbandman that laboureth must be first partaker of the fruits. {that...: or, labouring first, must be partaker of the fruits}	0.25	positive	O lavrador que trabalha arduamente deve ser o primeiro a participar dos frutos da colheita.
2TI.2.7	2	7	Consider what I say; and the Lord give thee understanding in all things.	0.0	neutral	Reflita no que estou dizendo, pois o Senhor lhe dará entendimento em tudo.
2TI.2.8	2	8	Remember that Jesus Christ of the seed of David was raised from the dead according to my gospel:	-0.2	negative	Lembre-se de Jesus Cristo, ressuscitado dos mortos, descendente de Davi, conforme o meu evangelho,
2TI.2.9	2	9	Wherein I suffer trouble, as an evil doer, {even} unto bonds; but the word of God is not bound.	-0.6	negative	pelo qual sofro a ponto de estar preso como criminoso; contudo a palavra de Deus não está presa.
2TI.2.10	2	10	Therefore I endure all things for the elect's sakes, that they may also obtain the salvation which is in Christ Jesus with eternal glory.	0.8	positive	Por isso, tudo suporto por causa dos eleitos, para que também eles alcancem a salvação que está em Cristo Jesus, com glória eterna.
2TI.2.11	2	11	{It is} a faithful saying: For if we be dead with {him}, we shall also live with {him}:	-0.0318	neutral	Esta palavra é digna de confiança: Se morremos com ele, com ele também viveremos;
2TI.2.12	2	12	If we suffer, we shall also reign with {him}: if we deny {him}, he also will deny us:	0.0	neutral	se perseveramos, com ele também reinaremos. Se o negamos, ele também nos negará;
2TI.2.13	2	13	If we believe not, {yet} he abideth faithful: he cannot deny himself.	0.0	neutral	se somos infiéis, ele permanece fiel, pois não pode negar-se a si mesmo.
2TI.2.14	2	14	Of these things put {them} in remembrance, charging {them} before the Lord that they strive not about words to no profit, {but} to the subverting of the hearers.	0.0	neutral	Continue a lembrar essas coisas a todos, advertindo-os solenemente diante de Deus, para que não se envolvam em discussões acerca de palavras; isso não tem proveito, e serve apenas para perverter os ouvintes.
