verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
COL.1.1	1	1	Paul, an apostle of Jesus Christ by the will of God, and Timotheus {our} brother,	0.0	neutral	Paulo, apóstolo de Cristo Jesus pela vontade de Deus, e o irmão Timóteo,
COL.1.2	1	2	To the saints and faithful brethren in Christ which are at Colosse: Grace {be} unto you, and peace, from God our Father and the Lord Jesus Christ.	0.0	neutral	aos santos e fiéis irmãos em Cristo que estão em Colossos: A vocês, graça e paz da parte de Deus nosso Pai e do Senhor Jesus Cristo.
COL.1.3	1	3	We give thanks to God and the Father of our Lord Jesus Christ, praying always for you,	0.2	positive	Sempre agradecemos a Deus, o Pai de nosso Senhor Jesus Cristo, quando oramos por vocês,
COL.1.4	1	4	Since we heard of your faith in Christ Jesus, and of the love {which ye have} to all the saints,	0.5	positive	pois temos ouvido falar da fé que vocês têm em Cristo Jesus e do amor por todos os santos,
COL.1.5	1	5	For the hope which is laid up for you in heaven, whereof ye heard before in the word of the truth of the gospel;	0.0	neutral	por causa da esperança que lhes está reservada nos céus, a respeito da qual vocês ouviram por meio da palavra da verdade, o evangelho
COL.1.6	1	6	Which is come unto you, as {it is} in all the world; and bringeth forth fruit, as {it doth} also in you, since the day ye heard {of it}, and knew the grace of God in truth:	0.0	neutral	que chegou até vocês. Por todo o mundo este evangelho vai frutificando e crescendo, como também ocorre entre vocês, desde o dia em que o ouviram e entenderam a graça de Deus em toda a sua verdade.
COL.1.7	1	7	As ye also learned of Epaphras our dear fellowservant, who is for you a faithful minister of Christ;	0.0	neutral	Vocês o aprenderam de Epafras, nosso amado cooperador, fiel ministro de Cristo para conosco,
COL.1.8	1	8	Who also declared unto us your love in the Spirit.	0.5	positive	que também nos falou do amor que vocês têm no Espírito.
COL.1.9	1	9	For this cause we also, since the day we heard {it}, do not cease to pray for you, and to desire that ye might be filled with the knowledge of his will in all wisdom and spiritual understanding;	0.2	positive	Por essa razão, desde o dia em que o ouvimos, não deixamos de orar por vocês e de pedir que sejam cheios do pleno conhecimento da vontade de Deus, com toda a sabedoria e entendimento espiritual.
COL.1.10	1	10	That ye might walk worthy of the Lord unto all pleasing, being fruitful in every good work, and increasing in the knowledge of God;	0.5167	positive	E isso para que vocês vivam de maneira digna do Senhor e em tudo possam agradá-lo, frutificando em toda boa obra, crescendo no conhecimento de Deus e
COL.1.11	1	11	Strengthened with all might, according to his glorious power, unto all patience and longsuffering with joyfulness;	0.0	neutral	sendo fortalecidos com todo o poder, de acordo com a força da sua glória, para que tenham toda a perseverança e paciência com alegria,
COL.1.12	1	12	Giving thanks unto the Father, which hath made us meet to be partakers of the inheritance of the saints in light:	0.3	positive	dando graças ao Pai, que nos tornou dignos de participar da herança dos santos no reino da luz.
COL.1.13	1	13	Who hath delivered us from the power of darkness, and hath translated {us} into the kingdom of his dear Son: {his...: Gr. the Son of his love}	-0.125	negative	Pois ele nos resgatou do domínio das trevas e nos transportou para o Reino do seu Filho amado,
COL.1.14	1	14	In whom we have redemption through his blood, {even} the forgiveness of sins:	0.0	neutral	em quem temos a redenção, a saber, o perdão dos pecados.
COL.1.15	1	15	Who is the image of the invisible God, the firstborn of every creature:	0.0	neutral	Ele é a imagem do Deus invisível, o primogênito de toda a criação,
COL.1.16	1	16	For by him were all things created, that are in heaven, and that are in earth, visible and invisible, whether {they be} thrones, or dominions, or principalities, or powers: all things were created by him, and for him:	0.0	neutral	pois nele foram criadas todas as coisas nos céus e na terra, as visíveis e as invisíveis, sejam tronos ou soberanias, poderes ou autoridades; todas as coisas foram criadas por ele e para ele.
COL.1.17	1	17	And he is before all things, and by him all things consist.	0.0	neutral	Ele é antes de todas as coisas, e nele tudo subsiste.
COL.1.18	1	18	And he is the head of the body, the church: who is the beginning, the firstborn from the dead; that in all {things} he might have the preeminence. {in...: or, among all}	-0.2	negative	Ele é a cabeça do corpo, que é a igreja; é o princípio e o primogênito dentre os mortos, para que em tudo tenha a supremacia.
COL.1.19	1	19	For it pleased {the Father} that in him should all fulness dwell;	0.5	positive	Pois foi do agrado de Deus que nele habitasse toda a plenitude,
COL.1.20	1	20	And, having made peace through the blood of his cross, by him to reconcile all things unto himself; by him, {I say}, whether {they be} things in earth, or things in heaven. {having...: or, making}	0.0	neutral	e por meio dele reconciliasse consigo todas as coisas, tanto as que estão na terra quanto as que estão no céu, estabelecendo a paz pelo seu sangue derramado na cruz.
COL.1.21	1	21	And you, that were sometime alienated and enemies in {your} mind by wicked works, yet now hath he reconciled {in...: or, by your mind in}	0.0	neutral	Antes vocês estavam separados de Deus e, em suas mentes, eram inimigos por causa do mau procedimento de vocês.
COL.1.22	1	22	In the body of his flesh through death, to present you holy and unblameable and unreproveable in his sight:	0.0	neutral	Mas agora ele os reconciliou pelo corpo físico de Cristo, mediante a morte, para apresentá-los diante dele santos, inculpáveis e livres de qualquer acusação,
COL.1.23	1	23	If ye continue in the faith grounded and settled, and {be} not moved away from the hope of the gospel, which ye have heard, {and} which was preached to every creature which is under heaven; whereof I Paul am made a minister;	0.0	neutral	desde que continuem alicerçados e firmes na fé, sem se afastarem da esperança do evangelho, que vocês ouviram e que tem sido proclamado a todos os que estão debaixo do céu. Esse é o evangelho do qual eu, Paulo, me tornei ministro.
COL.1.24	1	24	Who now rejoice in my sufferings for you, and fill up that which is behind of the afflictions of Christ in my flesh for his body's sake, which is the church:	-0.4	negative	Agora me alegro em meus sofrimentos por vocês, e completo no meu corpo o que resta das aflições de Cristo, em favor do seu corpo, que é a igreja.
COL.1.25	1	25	Whereof I am made a minister, according to the dispensation of God which is given to me for you, to fulfil the word of God; {to fulfil...: or, fully to preach the word}	0.0	neutral	Dela me tornei ministro de acordo com a responsabilidade por Deus a mim atribuída de apresentar-lhes plenamente a palavra de Deus,
COL.1.26	1	26	{Even} the mystery which hath been hid from ages and from generations, but now is made manifest to his saints:	0.0	neutral	o mistério que esteve oculto durante épocas e gerações, mas que agora foi manifestado a seus santos.
COL.1.27	1	27	To whom God would make known what {is} the riches of the glory of this mystery among the Gentiles; which is Christ in you, the hope of glory: {in: or, among}	-0.75	negative	A eles quis Deus dar a conhecer entre os gentios a gloriosa riqueza deste mistério, que é Cristo em vocês, a esperança da glória.
