verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
DAN.11.2	11	2	And now will I shew thee the truth. Behold, there shall stand up yet three kings in Persia; and the fourth shall be far richer than {they} all: and by his strength through his riches he shall stir up all against the realm of Grecia.	0.05	neutral	"""Agora, pois, vou dar-lhe a conhecer a verdade: Outros três reis aparecerão na Pérsia, e depois virá um quarto rei, que será bem mais rico do que todos os outros. Quando ele tiver conquistado o poder com sua riqueza, instigará todos contra o reino da Grécia."
DAN.11.3	11	3	And a mighty king shall stand up, that shall rule with great dominion, and do according to his will.	0.6	positive	Então surgirá um rei guerreiro, que governará com grande poder e fará o que quiser.
DAN.11.4	11	4	And when he shall stand up, his kingdom shall be broken, and shall be divided toward the four winds of heaven; and not to his posterity, nor according to his dominion which he ruled: for his kingdom shall be plucked up, even for others beside those.	-0.4	negative	Depois que ele surgir, o seu império se desfará e será repartido para os quatro ventos do céu. Não passará para os seus descendentes, e o império não será poderoso como antes, pois será desarraigado e dado a outros.
DAN.11.5	11	5	And the king of the south shall be strong, and {one} of his princes; and he shall be strong above him, and have dominion; his dominion {shall be} a great dominion.	0.4167	positive	"""O rei do sul se tornará forte, mas um dos seus príncipes se tornará ainda mais forte que ele e governará o seu próprio reino com grande poder."
DAN.11.6	11	6	And in the end of years they shall join themselves together; for the king's daughter of the south shall come to the king of the north to make an agreement: but she shall not retain the power of the arm; neither shall he stand, nor his arm: but she shall be given up, and they that brought her, and he that begat her, and he that strengthened her in {these} times. {join...: Heb. associate themselves} {an...: Heb. rights} {he that begat...: or, whom she brought forth}	0.0	neutral	Depois de alguns anos, eles se tornarão aliados. A filha do rei do sul fará um tratado com o rei do norte, mas ela não manterá o seu poder, nem ele conservará o dele. Naqueles dias ela será entregue à morte, junto com sua escolta real e com seu pai e com aquele que a apoiou.
DAN.11.7	11	7	But out of a branch of her roots shall {one} stand up in his estate, which shall come with an army, and shall enter into the fortress of the king of the north, and shall deal against them, and shall prevail: {in...: or, in his place, or, office}	-0.75	negative	"""Alguém da linhagem dela se levantará para tomar-lhe o lugar. Ele atacará as forças do rei do norte e invadirá a sua fortaleza; lutará contra eles e será vitorioso."
DAN.11.8	11	8	And shall also carry captives into Egypt their gods, with their princes, {and} with their precious vessels of silver and of gold; and he shall continue {more} years than the king of the north. {their precious...: Heb. vessels of their desire}	0.5	positive	Também se apoderará dos deuses deles, das suas imagens de metal e dos seus utensílios valiosos de prata e de ouro, e os levará para o Egito. E por alguns anos ele deixará o rei do norte em paz.
DAN.11.9	11	9	So the king of the south shall come into {his} kingdom, and shall return into his own land.	0.6	positive	Então o rei do norte invadirá as terras do rei do sul, mas terá que se retirar para a sua própria terra.
DAN.11.10	11	10	But his sons shall be stirred up, and shall assemble a multitude of great forces: and {one} shall certainly come, and overflow, and pass through: then shall he return, and be stirred up, {even} to his fortress. {shall be...: or, shall war} {return...: or, be stirred up again}	0.5071	positive	Seus filhos se prepararão para a guerra e reunirão um grande exército, que avançará como uma inundação irresistível e levará os combates até a fortaleza do rei do sul.
DAN.11.11	11	11	And the king of the south shall be moved with choler, and shall come forth and fight with him, {even} with the king of the north: and he shall set forth a great multitude; but the multitude shall be given into his hand.	0.8	positive	"""Em face disso, o rei do sul marchará furioso para combater o rei do norte, que o enfrentará com um enorme exército, mas mesmo assim será derrotado."
