verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
EPH.1.1	1	1	Paul, an apostle of Jesus Christ by the will of God, to the saints which are at Ephesus, and to the faithful in Christ Jesus:	0.0	neutral	Paulo, apóstolo de Cristo Jesus pela vontade de Deus, aos santos e fiéis em Cristo Jesus que estão em Éfeso:
EPH.1.2	1	2	Grace {be} to you, and peace, from God our Father, and {from} the Lord Jesus Christ.	0.0	neutral	A vocês, graça e paz da parte de Deus nosso Pai e do Senhor Jesus Cristo.
EPH.1.3	1	3	Blessed {be} the God and Father of our Lord Jesus Christ, who hath blessed us with all spiritual blessings in heavenly {places} in Christ: {places: or, things}	-0.375	negative	Bendito seja o Deus e Pai de nosso Senhor Jesus Cristo, que nos abençoou com todas as bênçãos espirituais nas regiões celestiais em Cristo.
EPH.1.4	1	4	According as he hath chosen us in him before the foundation of the world, that we should be holy and without blame before him in love:	0.5	positive	Porque Deus nos escolheu nele antes da criação do mundo, para sermos santos e irrepreensíveis em sua presença.
EPH.1.5	1	5	Having predestinated us unto the adoption of children by Jesus Christ to himself, according to the good pleasure of his will,	0.7	positive	Em amor nos predestinou para sermos adotados como filhos por meio de Jesus Cristo, conforme o bom propósito da sua vontade,
EPH.1.6	1	6	To the praise of the glory of his grace, wherein he hath made us accepted in the beloved.	0.7	positive	para o louvor da sua gloriosa graça, a qual nos deu gratuitamente no Amado.
EPH.1.7	1	7	In whom we have redemption through his blood, the forgiveness of sins, according to the riches of his grace;	0.0	neutral	Nele temos a redenção por meio de seu sangue, o perdão dos pecados, de acordo com as riquezas da graça de Deus,
EPH.1.8	1	8	Wherein he hath abounded toward us in all wisdom and prudence;	0.0	neutral	a qual ele derramou sobre nós com toda a sabedoria e entendimento.
EPH.1.9	1	9	Having made known unto us the mystery of his will, according to his good pleasure which he hath purposed in himself:	0.7	positive	E nos revelou o mistério da sua vontade, de acordo com o seu bom propósito que ele estabeleceu em Cristo,
EPH.1.10	1	10	That in the dispensation of the fulness of times he might gather together in one all things in Christ, both which are in heaven, and which are on earth; {even} in him: {heaven: Gr. the heavens}	-0.75	negative	isto é, de fazer convergir em Cristo todas as coisas, celestiais ou terrenas, na dispensação da plenitude dos tempos.
EPH.1.11	1	11	In whom also we have obtained an inheritance, being predestinated according to the purpose of him who worketh all things after the counsel of his own will:	0.6	positive	Nele fomos também escolhidos, tendo sido predestinados conforme o plano daquele que faz todas as coisas segundo o propósito da sua vontade,
EPH.1.12	1	12	That we should be to the praise of his glory, who first trusted in Christ. {trusted: or, hoped}	0.25	positive	a fim de que nós, os que primeiro esperamos em Cristo, sejamos para o louvor da sua glória.
EPH.1.13	1	13	In whom ye also {trusted}, after that ye heard the word of truth, the gospel of your salvation: in whom also after that ye believed, ye were sealed with that holy Spirit of promise,	0.0	neutral	Nele, quando vocês ouviram e creram na palavra da verdade, o evangelho que os salvou, vocês foram selados com o Espírito Santo da promessa,
EPH.1.14	1	14	Which is the earnest of our inheritance until the redemption of the purchased possession, unto the praise of his glory.	0.0	neutral	que é a garantia da nossa herança até a redenção daqueles que pertencem a Deus, para o louvor da sua glória.
EPH.1.15	1	15	Wherefore I also, after I heard of your faith in the Lord Jesus, and love unto all the saints,	0.5	positive	Por essa razão, desde que ouvi falar da fé que vocês têm no Senhor Jesus e do amor que demonstram para com todos os santos,
EPH.1.16	1	16	Cease not to give thanks for you, making mention of you in my prayers;	0.2	positive	não deixo de dar graças por vocês, mencionando-os em minhas orações.
EPH.1.17	1	17	That the God of our Lord Jesus Christ, the Father of glory, may give unto you the spirit of wisdom and revelation in the knowledge of him: {in...: or, for the acknowledgement}	-0.75	negative	Peço que o Deus de nosso Senhor Jesus Cristo, o glorioso Pai, lhes dê espírito de sabedoria e de revelação, no pleno conhecimento dele.
EPH.1.18	1	18	The eyes of your understanding being enlightened; that ye may know what is the hope of his calling, and what the riches of the glory of his inheritance in the saints,	0.0	neutral	Oro também para que os olhos do coração de vocês sejam iluminados, a fim de que vocês conheçam a esperança para a qual ele os chamou, as riquezas da gloriosa herança dele nos santos
EPH.1.19	1	19	And what {is} the exceeding greatness of his power to us-ward who believe, according to the working of his mighty power, {his mighty power: Gr. the might of his power}	0.4	positive	e a incomparável grandeza do seu poder para conosco, os que cremos, conforme a atuação da sua poderosa força.
EPH.1.20	1	20	Which he wrought in Christ, when he raised him from the dead, and set {him} at his own right hand in the heavenly {places},	0.2286	positive	Esse poder ele exerceu em Cristo, ressuscitando-o dos mortos e fazendo-o assentar-se à sua direita, nas regiões celestiais,
EPH.1.21	1	21	Far above all principality, and power, and might, and dominion, and every name that is named, not only in this world, but also in that which is to come:	0.0333	neutral	muito acima de todo governo e autoridade, poder e domínio, e de todo nome que se possa mencionar, não apenas nesta era, mas também na que há de vir.
EPH.1.22	1	22	And hath put all {things} under his feet, and gave him {to be} the head over all {things} to the church,	0.0	neutral	Deus colocou todas as coisas debaixo de seus pés e o designou como cabeça de todas as coisas para a igreja,
EPH.1.23	1	23	Which is his body, the fulness of him that filleth all in all.	0.0	neutral	que é o seu corpo, a plenitude daquele que enche todas as coisas, em toda e qualquer circunstância.
EPH.2.1	2	1	And you {hath he quickened}, who were dead in trespasses and sins;	-0.2	negative	Vocês estavam mortos em suas transgressões e pecados,
EPH.2.2	2	2	Wherein in time past ye walked according to the course of this world, according to the prince of the power of the air, the spirit that now worketh in the children of disobedience:	-0.25	negative	nos quais costumavam viver, quando seguiam a presente ordem deste mundo e o príncipe do poder do ar, o espírito que agora está atuando nos que vivem na desobediência.
EPH.2.3	2	3	Among whom also we all had our conversation in times past in the lusts of our flesh, fulfilling the desires of the flesh and of the mind; and were by nature the children of wrath, even as others. {desires: Gr. wills}	-0.25	negative	Anteriormente, todos nós também vivíamos entre eles, satisfazendo as vontades da nossa carne, seguindo os seus desejos e pensamentos. Como os outros, éramos por natureza merecedores da ira.
EPH.2.4	2	4	But God, who is rich in mercy, for his great love wherewith he loved us,	0.5938	positive	Todavia, Deus, que é rico em misericórdia, pelo grande amor com que nos amou,
EPH.2.5	2	5	Even when we were dead in sins, hath quickened us together with Christ, (by grace ye are saved;) {by...: or, by whose grace}	0.025	neutral	deu-nos vida juntamente com Cristo, quando ainda estávamos mortos em transgressões — pela graça vocês são salvos.
EPH.2.6	2	6	And hath raised {us} up together, and made {us} sit together in heavenly {places} in Christ Jesus:	0.0	neutral	Deus nos ressuscitou com Cristo e com ele nos fez assentar nos lugares celestiais em Cristo Jesus,
EPH.2.7	2	7	That in the ages to come he might shew the exceeding riches of his grace in {his} kindness toward us through Christ Jesus.	0.0	neutral	para mostrar, nas eras que hão de vir, a incomparável riqueza de sua graça, demonstrada em sua bondade para conosco em Cristo Jesus.
EPH.2.8	2	8	For by grace are ye saved through faith; and that not of yourselves: {it is} the gift of God:	-0.75	negative	Pois vocês são salvos pela graça, por meio da fé, e isto não vem de vocês, é dom de Deus;
EPH.2.9	2	9	Not of works, lest any man should boast.	0.0	neutral	não por obras, para que ninguém se glorie.
EPH.2.10	2	10	For we are his workmanship, created in Christ Jesus unto good works, which God hath before ordained that we should walk in them. {ordained: or, prepared}	0.7	positive	Porque somos criação de Deus realizada em Cristo Jesus para fazermos boas obras, as quais Deus preparou de antemão para que nós as praticássemos.
EPH.2.11	2	11	Wherefore remember, that ye {being} in time past Gentiles in the flesh, who are called Uncircumcision by that which is called the Circumcision in the flesh made by hands;	-0.25	negative	Portanto, lembrem-se de que anteriormente vocês eram gentios por nascimento e chamados incircuncisão pelos que se chamam circuncisão, feita no corpo por mãos humanas, e que
EPH.2.12	2	12	That at that time ye were without Christ, being aliens from the commonwealth of Israel, and strangers from the covenants of promise, having no hope, and without God in the world:	0.0	neutral	naquela época vocês estavam sem Cristo, separados da comunidade de Israel, sendo estrangeiros quanto às alianças da promessa, sem esperança e sem Deus no mundo.
EPH.2.13	2	13	But now in Christ Jesus ye who sometimes were far off are made nigh by the blood of Christ.	0.1	neutral	Mas agora, em Cristo Jesus, vocês, que antes estavam longe, foram aproximados mediante o sangue de Cristo.
EPH.2.14	2	14	For he is our peace, who hath made both one, and hath broken down the middle wall of partition {between us};	-0.1852	negative	Pois ele é a nossa paz, o qual de ambos fez um e destruiu a barreira, o muro de inimizade,
EPH.2.15	2	15	Having abolished in his flesh the enmity, {even} the law of commandments {contained} in ordinances; for to make in himself of twain one new man, {so} making peace;	0.1364	positive	anulando em seu corpo a lei dos mandamentos expressa em ordenanças. O objetivo dele era criar em si mesmo, dos dois, um novo homem, fazendo a paz,
EPH.2.16	2	16	And that he might reconcile both unto God in one body by the cross, having slain the enmity thereby: {thereby: or, in himself}	-0.375	negative	e reconciliar com Deus os dois em um corpo, por meio da cruz, pela qual ele destruiu a inimizade.
EPH.2.17	2	17	And came and preached peace to you which were afar off, and to them that were nigh.	0.0	neutral	Ele veio e anunciou paz a vocês que estavam longe e paz aos que estavam perto,
EPH.2.18	2	18	For through him we both have access by one Spirit unto the Father.	0.0	neutral	pois por meio dele tanto nós como vocês temos acesso ao Pai, por um só Espírito.
EPH.2.19	2	19	Now therefore ye are no more strangers and foreigners, but fellowcitizens with the saints, and of the household of God;	-0.25	negative	Portanto, vocês já não são estrangeiros nem forasteiros, mas concidadãos dos santos e membros da família de Deus,
EPH.2.20	2	20	And are built upon the foundation of the apostles and prophets, Jesus Christ himself being the chief corner {stone};	0.0	neutral	edificados sobre o fundamento dos apóstolos e dos profetas, tendo Jesus Cristo como pedra angular,
EPH.2.21	2	21	In whom all the building fitly framed together groweth unto an holy temple in the Lord:	0.4	positive	no qual todo o edifício é ajustado e cresce para tornar-se um santuário santo no Senhor.
EPH.2.22	2	22	In whom ye also are builded together for an habitation of God through the Spirit.	0.0	neutral	Nele vocês também estão sendo juntamente edificados, para se tornarem morada de Deus por seu Espírito.
EPH.3.1	3	1	For this cause I Paul, the prisoner of Jesus Christ for you Gentiles,	0.0	neutral	Por essa razão, eu, Paulo, prisioneiro de Cristo Jesus por amor de vocês, gentios —
EPH.3.2	3	2	If ye have heard of the dispensation of the grace of God which is given me to you-ward:	0.0	neutral	Certamente vocês ouviram falar da responsabilidade imposta a mim em favor de vocês pela graça de Deus,
EPH.3.3	3	3	How that by revelation he made known unto me the mystery; (as I wrote afore in few words, {afore...: or, a little before}	-0.1938	negative	isto é, o mistério que me foi dado a conhecer por revelação, como já lhes escrevi brevemente.
EPH.3.4	3	4	Whereby, when ye read, ye may understand my knowledge in the mystery of Christ)	0.0	neutral	Ao lerem isso vocês poderão entender a minha compreensão do mistério de Cristo.
EPH.3.5	3	5	Which in other ages was not made known unto the sons of men, as it is now revealed unto his holy apostles and prophets by the Spirit;	-0.125	negative	Esse mistério não foi dado a conhecer aos homens doutras gerações, mas agora foi revelado pelo Espírito aos santos apóstolos e profetas de Deus,
EPH.3.6	3	6	That the Gentiles should be fellowheirs, and of the same body, and partakers of his promise in Christ by the gospel:	0.0	neutral	a saber, que mediante o evangelho os gentios são co-herdeiros com Israel, membros do mesmo corpo, e co-participantes da promessa em Cristo Jesus.
EPH.3.7	3	7	Whereof I was made a minister, according to the gift of the grace of God given unto me by the effectual working of his power.	0.0	neutral	Deste me tornei ministro pelo dom da graça de Deus, a mim concedida pela operação de seu poder.
EPH.3.8	3	8	Unto me, who am less than the least of all saints, is this grace given, that I should preach among the Gentiles the unsearchable riches of Christ;	-0.2333	negative	Embora eu seja o menor dos menores dentre todos os santos, foi-me concedida esta graça de anunciar aos gentios as insondáveis riquezas de Cristo
EPH.3.9	3	9	And to make all {men} see what {is} the fellowship of the mystery, which from the beginning of the world hath been hid in God, who created all things by Jesus Christ:	0.0	neutral	e esclarecer a todos a administração deste mistério que, durante as épocas passadas, foi mantido oculto em Deus, que criou todas as coisas.
EPH.3.10	3	10	To the intent that now unto the principalities and powers in heavenly {places} might be known by the church the manifold wisdom of God,	0.0	neutral	A intenção dessa graça era que agora, mediante a igreja, a multiforme sabedoria de Deus se tornasse conhecida dos poderes e autoridades nas regiões celestiais,
EPH.3.11	3	11	According to the eternal purpose which he purposed in Christ Jesus our Lord:	0.0	neutral	de acordo com o seu eterno plano que ele realizou em Cristo Jesus, nosso Senhor,
EPH.3.12	3	12	In whom we have boldness and access with confidence by the faith of him.	0.0	neutral	por intermédio de quem temos livre acesso a Deus em confiança, pela fé nele.
EPH.3.13	3	13	Wherefore I desire that ye faint not at my tribulations for you, which is your glory.	-0.5	negative	Portanto, peço-lhes que não se desanimem por causa das minhas tribulações em seu favor, pois elas são uma glória para vocês.
EPH.3.14	3	14	For this cause I bow my knees unto the Father of our Lord Jesus Christ,	0.0	neutral	Por essa razão, ajoelho-me diante do Pai,
EPH.3.15	3	15	Of whom the whole family in heaven and earth is named,	0.2	positive	do qual recebe o nome toda a família nos céus e na terra.
EPH.3.16	3	16	That he would grant you, according to the riches of his glory, to be strengthened with might by his Spirit in the inner man;	0.0	neutral	Oro para que, com as suas gloriosas riquezas, ele os fortaleça no íntimo do seu ser com poder, por meio do seu Espírito,
EPH.3.17	3	17	That Christ may dwell in your hearts by faith; that ye, being rooted and grounded in love,	0.5	positive	para que Cristo habite em seus corações mediante a fé; e oro para que vocês, arraigados e alicerçados em amor,
EPH.3.18	3	18	May be able to comprehend with all saints what {is} the breadth, and length, and depth, and height;	0.5	positive	possam, juntamente com todos os santos, compreender a largura, o comprimento, a altura e a profundidade,
EPH.3.19	3	19	And to know the love of Christ, which passeth knowledge, that ye might be filled with all the fulness of God.	0.45	positive	e conhecer o amor de Cristo que excede todo conhecimento, para que vocês sejam cheios de toda a plenitude de Deus.
