verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
EZK.46.10	46	10	And the prince in the midst of them, when they go in, shall go in; and when they go forth, shall go forth.	0.0	neutral	O príncipe deverá estar no meio deles, entrando quando eles entrarem e saindo quando eles saírem.
EZK.46.11	46	11	And in the feasts and in the solemnities the meat offering shall be an ephah to a bullock, and an ephah to a ram, and to the lambs as he is able to give, and an hin of oil to an ephah.	0.5	positive	""" 'Nas festas, inclusive nas festas fixas, a oferta de cereal será de uma arroba com um novilho, uma arroba com um carneiro, e de uma arroba com os cordeiros, quantos ele quiser dar, mais um galão de azeite para cada arroba."
EZK.46.12	46	12	Now when the prince shall prepare a voluntary burnt offering or peace offerings voluntarily unto the LORD, {one} shall then open him the gate that looketh toward the east, and he shall prepare his burnt offering and his peace offerings, as he did on the sabbath day: then he shall go forth; and after his going forth {one} shall shut the gate.	0.0	neutral	Quando o príncipe fornecer uma oferta voluntária ao Senhor, seja holocausto seja oferta de comunhão, a porta que dá para o leste será aberta para ele. Ele oferecerá seu holocausto ou suas ofertas de comunhão como o faz no dia de sábado. Então ele sairá, e, depois de ter saído, a porta será trancada.
EZK.46.13	46	13	Thou shalt daily prepare a burnt offering unto the LORD {of} a lamb of the first year without blemish: thou shalt prepare it every morning. {of the...: Heb. a son of his year} {every...: Heb. morning by morning}	0.125	positive	""" 'Diariamente vocês fornecerão um cordeiro de um ano sem defeito como holocausto ao Senhor; manhã após manhã vocês o trarão."
EZK.46.14	46	14	And thou shalt prepare a meat offering for it every morning, the sixth part of an ephah, and the third part of an hin of oil, to temper with the fine flour; a meat offering continually by a perpetual ordinance unto the LORD.	0.2083	positive	Com ele vocês também trarão, manhã após manhã, uma oferta de cereal, de um sexto de arroba e um terço de galão de azeite para umedecer a farinha. A apresentação dessa oferta de cereal será feita em obediência a um decreto perpétuo.
EZK.46.15	46	15	Thus shall they prepare the lamb, and the meat offering, and the oil, every morning {for} a continual burnt offering.	0.0	neutral	Assim o cordeiro, a oferta de cereal e o azeite serão trazidos manhã após manhã para o holocausto que será apresentado regularmente.
EZK.46.16	46	16	Thus saith the Lord GOD; If the prince give a gift unto any of his sons, the inheritance thereof shall be his sons'; it {shall be} their possession by inheritance.	0.0	neutral	""" 'Assim diz o Soberano Senhor: Se da sua herança o príncipe fizer um presente a um de seus filhos, ele pertencerá também aos seus descendentes; será propriedade deles por herança."
EZK.46.17	46	17	But if he give a gift of his inheritance to one of his servants, then it shall be his to the year of liberty; after it shall return to the prince: but his inheritance shall be his sons' for them.	0.0	neutral	Se, porém, da sua herança ele fizer um presente a um dos seus escravos, o escravo poderá mantê-lo consigo até o ano da liberdade; então ele voltará para o príncipe. Sua herança pertence unicamente a seus filhos; deles será.
EZK.46.18	46	18	Moreover the prince shall not take of the people's inheritance by oppression, to thrust them out of their possession; {but} he shall give his sons inheritance out of his own possession: that my people be not scattered every man from his possession.	0.6	positive	"O príncipe não tomará coisa alguma da herança do povo, expulsando-os de sua propriedade. Dará a seus filhos a herança daquilo que é sua própria propriedade, para que ninguém do meu povo seja separado de sua propriedade' ""."
EZK.46.19	46	19	After he brought me through the entry, which {was} at the side of the gate, into the holy chambers of the priests, which looked toward the north: and, behold, there {was} a place on the two sides westward.	0.0	neutral	Depois o homem me levou, pela entrada ao lado da porta, até os quartos sagrados que davam para o norte, os quais pertenciam aos sacerdotes, e mostrou-me um local no lado oeste.
EZK.46.20	46	20	Then said he unto me, This {is} the place where the priests shall boil the trespass offering and the sin offering, where they shall bake the meat offering; that they bear {them} not out into the utter court, to sanctify the people.	0.0	neutral	"Ele me disse: ""Este é o lugar onde os sacerdotes cozinharão a oferta pela culpa e a oferta pelo pecado e assarão a oferta de cereal, para levá-las ao pátio externo e consagrar o povo""."
EZK.46.21	46	21	Then he brought me forth into the utter court, and caused me to pass by the four corners of the court; and, behold, in every corner of the court {there was} a court. {in every...: Heb. a court in a corner of a court, and a court in a corner of a court}	0.0	neutral	Ele então me trouxe para o pátio externo e me fez passar por seus quatro cantos, e em cada canto vi um pátio.
EZK.46.22	46	22	In the four corners of the court {there were} courts joined of forty {cubits} long and thirty broad: these four corners {were} of one measure. {joined: or, made with chimneys} {corners were...: Heb. cornered, etc}	0.0062	neutral	Eram pátios fechados, com vinte metros de comprimento e quinze metros de largura; os pátios dos quatro cantos tinham a mesma medida.
EZK.46.23	46	23	And {there was} a row {of building} round about in them, round about them four, and {it was} made with boiling places under the rows round about.	-0.2	negative	Em volta de cada um dos quatro pátios, pelo lado de dentro, havia uma saliência de pedras, com lugares para fogo construídos em toda a sua volta debaixo da saliência.
EZK.46.24	46	24	Then said he unto me, These {are} the places of them that boil, where the ministers of the house shall boil the sacrifice of the people.	0.0	neutral	"Ele me disse: ""Estas são as cozinhas onde aqueles que ministram no templo cozinharão os sacrifícios do povo""."
EZK.47.1	47	1	Afterward he brought me again unto the door of the house; and, behold, waters issued out from under the threshold of the house eastward: for the forefront of the house {stood toward} the east, and the waters came down from under from the right side of the house, at the south {side} of the altar.	0.0651	neutral	O homem levou-me de volta à entrada do templo, e vi água saindo de debaixo da soleira do templo e indo para o leste, pois o templo estava voltado para o oriente. A água descia de debaixo do lado sul do templo, ao sul do altar.
EZK.47.2	47	2	Then brought he me out of the way of the gate northward, and led me about the way without unto the utter gate by the way that looketh eastward; and, behold, there ran out waters on the right side.	0.1429	positive	Ele então me levou para fora, pela porta norte, e conduziu-me pelo lado de fora até a porta externa que dá para o leste, e a água fluía do lado sul.
EZK.47.3	47	3	And when the man that had the line in his hand went forth eastward, he measured a thousand cubits, and he brought me through the waters; the waters {were} to the ankles. {the waters were...: Heb. waters of the ankles}	0.0	neutral	O homem foi para o lado leste com uma linha de medir na mão, e, enquanto ia, mediu quinhentos metros e levou-me pela água, que batia no tornozelo.
EZK.47.4	47	4	Again he measured a thousand, and brought me through the waters; the waters {were} to the knees. Again he measured a thousand, and brought me through; the waters {were} to the loins.	0.0	neutral	Ele mediu mais quinhentos e levou-me pela água, que batia na cintura. Mediu mais quinhentos e levou-me pela água, que chegava ao joelho.
EZK.47.5	47	5	Afterward he measured a thousand; {and it was} a river that I could not pass over: for the waters were risen, waters to swim in, a river that could not be passed over. {waters to...: Heb. waters of swimming}	0.0	neutral	Mediu mais quinhentos, mas agora era um rio que eu não conseguia atravessar, porque a água havia aumentado e era tão profunda que só se podia atravessar a nado; era um rio que não se podia atravessar andando.
EZK.47.6	47	6	And he said unto me, Son of man, hast thou seen {this}? Then he brought me, and caused me to return to the brink of the river.	0.0	neutral	"Ele me perguntou: ""Filho do homem, você vê isto? "" Levou-me então de volta à margem do rio."
EZK.47.7	47	7	Now when I had returned, behold, at the bank of the river {were} very many trees on the one side and on the other. {bank: Heb. lip}	0.2625	positive	Quando ali cheguei, vi muitas árvores em cada lado do rio.
EZK.47.8	47	8	Then said he unto me, These waters issue out toward the east country, and go down into the desert, and go into the sea: {which being} brought forth into the sea, the waters shall be healed. {desert: or, plain}	-0.3733	negative	"Ele me disse: ""Esta água flui na direção da região situada a leste e desce até a Arabá, onde entra no Mar. Quando deságua no Mar, a água ali será saneada."
EZK.47.9	47	9	And it shall come to pass, {that} every thing that liveth, which moveth, whithersoever the rivers shall come, shall live: and there shall be a very great multitude of fish, because these waters shall come thither: for they shall be healed; and every thing shall live whither the river cometh. {rivers: Heb. two rivers}	0.4242	positive	Por onde passar o rio haverá todo tipo de animais e de peixes. Porque essa água flui para lá e saneia a água salgada; de modo que onde o rio fluir tudo viverá.
EZK.47.10	47	10	And it shall come to pass, {that} the fishers shall stand upon it from Engedi even unto Eneglaim; they shall be a {place} to spread forth nets; their fish shall be according to their kinds, as the fish of the great sea, exceeding many.	0.65	positive	Pescadores estarão ao longo do litoral; desde En-Gedi até En-Eglaim haverá locais próprios para estender as redes. Os peixes serão de muitos tipos, como os peixes do mar Grande.
EZK.47.11	47	11	But the miry places thereof and the marishes thereof shall not be healed; they shall be given to salt. {shall not...: or, and that which shall not be healed}	0.0	neutral	Mas os charcos e os pântanos não ficarão saneados; serão deixados para o sal.
EZK.47.12	47	12	And by the river upon the bank thereof, on this side and on that side, shall grow all trees for meat, whose leaf shall not fade, neither shall the fruit thereof be consumed: it shall bring forth new fruit according to his months, because their waters they issued out of the sanctuary: and the fruit thereof shall be for meat, and the leaf thereof for medicine. {shall grow: Heb. shall come up} {new: or, principal} {for medicine: or, for bruises and sores}	0.1364	positive	"Árvores frutíferas de toda espécie crescerão em ambas as margens do rio. Suas folhas não murcharão e os seus frutos não cairão. Todo mês produzirão, porque a água vinda do santuário chega a elas. Seus frutos servirão de comida, e suas folhas de remédio""."
EZK.47.13	47	13	Thus saith the Lord GOD; This {shall be} the border, whereby ye shall inherit the land according to the twelve tribes of Israel: Joseph {shall have two} portions.	0.0	neutral	"Assim diz o Soberano Senhor: ""Estas são as fronteiras pelas quais vocês devem dividir a terra como herança entre as doze tribos de Israel, com duas porções para José."
EZK.47.14	47	14	And ye shall inherit it, one as well as another: {concerning} the which I lifted up mine hand to give it unto your fathers: and this land shall fall unto you for inheritance. {lifted...: or, swore}	-0.75	negative	Vocês a dividirão igualmente entre elas. Visto que eu jurei de mão erguida que a daria aos seus antepassados, esta terra se tornará herança de vocês.
EZK.47.15	47	15	And this {shall be} the border of the land toward the north side, from the great sea, the way of Hethlon, as men go to Zedad;	0.8	positive	"""Esta é a fronteira da terra: ""No lado norte ela irá desde o mar Grande, indo pela estrada de Hetlom, passando por Lebo-Hamate até Zedade,"
EZK.47.16	47	16	Hamath, Berothah, Sibraim, which {is} between the border of Damascus and the border of Hamath; Hazarhatticon, which {is} by the coast of Hauran. {Hazarhatticon: or, the middle village}	0.0	neutral	Berota e Sibraim, que fica na fronteira entre Damasco e Hamate, e indo até Hazer-Haticom, que fica na extremidade de Haurã.
EZK.47.17	47	17	And the border from the sea shall be Hazarenan, the border of Damascus, and the north northward, and the border of Hamath. And {this is} the north side.	0.0	neutral	A fronteira se estenderá desde o Mar até Hazar-Enã, ao longo da fronteira norte de Damasco, com a fronteira de Hamate ao norte. Essa será a fronteira norte.
EZK.47.18	47	18	And the east side ye shall measure from Hauran, and from Damascus, and from Gilead, and from the land of Israel {by} Jordan, from the border unto the east sea. And {this is} the east side. {from (Hauran, Damascus, Gilead, the land): Heb. from between}	0.0	neutral	"""No lado leste a fronteira irá entre Haurã e Damasco, ao longo do Jordão entre Gileade e a terra de Israel, até o mar oriental, prosseguindo até Tamar. Essa será a fronteira leste."
EZK.47.19	47	19	And the south side southward, from Tamar {even} to the waters of strife {in} Kadesh, the river to the great sea. And {this is} the south side southward. {strife: or, Meribah} {river: or, valley} {is the south side southward: or, is the south side toward Teman}	0.8	positive	"""No lado sul ela irá desde Tamar até as águas de Meribá-Cades, prosseguindo então ao longo do ribeiro do Egito até o mar Grande. Essa será a fronteira sul."
EZK.47.20	47	20	The west side also {shall be} the great sea from the border, till a man come over against Hamath. This {is} the west side.	0.8	positive	"""No lado oeste, o mar Grande será a fronteira até de frente a Lebo-Hamate. Essa será a fronteira oeste."
EZK.47.21	47	21	So shall ye divide this land unto you according to the tribes of Israel.	0.0	neutral	"""Distribuam essa terra entre vocês de acordo com as tribos de Israel."
EZK.47.22	47	22	And it shall come to pass, {that} ye shall divide it by lot for an inheritance unto you, and to the strangers that sojourn among you, which shall beget children among you: and they shall be unto you as born in the country among the children of Israel; they shall have inheritance with you among the tribes of Israel.	0.0	neutral	Vocês a distribuirão como herança para vocês mesmos e para os estrangeiros residentes no meio de vocês e que têm filhos. Vocês os considerarão como israelitas de nascimento; juntamente com vocês, a eles deverá ser designada uma herança entre as tribos de Israel.
EZK.47.23	47	23	And it shall come to pass, {that} in what tribe the stranger sojourneth, there shall ye give {him} his inheritance, saith the Lord GOD.	0.0	neutral	"Qualquer que seja a tribo no qual o estrangeiro se instale, ali vocês lhe darão a herança que lhe cabe"", palavra do Soberano Senhor."
EZK.48.1	48	1	Now these {are} the names of the tribes. From the north end to the coast of the way of Hethlon, as one goeth to Hamath, Hazarenan, the border of Damascus northward, to the coast of Hamath; for these are his sides east {and} west; a {portion for} Dan. {a portion: Heb. one portion}	0.0	neutral	"""Estas são as tribos, relacionadas nominalmente: Na fronteira norte Dã terá uma porção; ela seguirá a estrada de Hetlom até Lebo-Hamate; Hazar-Enã e a fronteira norte, vizinha a Damasco, próxima de Hamate farão parte dos seus limites, desde o lado leste até o lado oeste."
EZK.48.2	48	2	And by the border of Dan, from the east side unto the west side, a {portion for} Asher.	0.0	neutral	"""Aser terá uma porção; esta margeará o território de Dã do leste ao oeste."
EZK.48.3	48	3	And by the border of Asher, from the east side even unto the west side, a {portion for} Naphtali.	0.0	neutral	"""Naftali terá uma porção; esta margeará o território de Aser do leste ao oeste."
EZK.48.4	48	4	And by the border of Naphtali, from the east side unto the west side, a {portion for} Manasseh.	0.0	neutral	"""Manassés terá uma porção; esta margeará o território de Naftali do leste ao oeste."
EZK.48.5	48	5	And by the border of Manasseh, from the east side unto the west side, a {portion for} Ephraim.	0.0	neutral	"""Efraim terá uma porção; esta margeará o território de Manassés do leste ao oeste."
EZK.48.6	48	6	And by the border of Ephraim, from the east side even unto the west side, a {portion for} Reuben.	0.0	neutral	"""Rúben terá uma porção; esta margeará o território de Efraim do leste ao oeste."
