verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
EZR.1.1	1	1	Now in the first year of Cyrus king of Persia, that the word of the LORD by the mouth of Jeremiah might be fulfilled, the LORD stirred up the spirit of Cyrus king of Persia, that he made a proclamation throughout all his kingdom, and {put it} also in writing, saying, {made...: Heb. caused a voice to pass}	0.25	positive	No primeiro ano do reinado de Ciro, rei da Pérsia, a fim de que se cumprisse a palavra do Senhor falada por Jeremias, o Senhor despertou o coração de Ciro, rei da Pérsia, para redigir uma proclamação e divulgá-la em todo o seu reino, nestes termos:
EZR.1.2	1	2	Thus saith Cyrus king of Persia, The LORD God of heaven hath given me all the kingdoms of the earth; and he hath charged me to build him an house at Jerusalem, which {is} in Judah.	0.0	neutral	"""Assim diz Ciro, rei da Pérsia: ""O Senhor, o Deus dos céus, deu-me todos os reinos da terra e designou-me para construir um templo para ele em Jerusalém de Judá."
EZR.1.3	1	3	Who {is there} among you of all his people? his God be with him, and let him go up to Jerusalem, which {is} in Judah, and build the house of the LORD God of Israel, (he {is} the God,) which {is} in Jerusalem.	0.0	neutral	Qualquer do seu povo que esteja entre vocês, que o seu Deus esteja com ele, e que vá a Jerusalém de Judá reconstruir o templo do Senhor, o Deus de Israel, o Deus que em Jerusalém tem a sua morada.
EZR.1.4	1	4	And whosoever remaineth in any place where he sojourneth, let the men of his place help him with silver, and with gold, and with goods, and with beasts, beside the freewill offering for the house of God that {is} in Jerusalem. {help...: Heb. lift him up}	0.0	neutral	"E que todo sobrevivente, seja qual for o lugar em que está vivendo, receba dos que ali vivem em prata, ouro, bens e animais; e ofertas voluntárias para o templo de Deus em Jerusalém""."
EZR.1.5	1	5	Then rose up the chief of the fathers of Judah and Benjamin, and the priests, and the Levites, with all {them} whose spirit God had raised, to go up to build the house of the LORD which {is} in Jerusalem.	0.6	positive	Então os líderes das famílias de Judá e de Benjamim, como também os sacerdotes e os levitas, todos aqueles cujo coração Deus despertou, dispuseram-se a ir para Jerusalém e a construir o templo do Senhor.
EZR.1.6	1	6	And all they that {were} about them strengthened their hands with vessels of silver, with gold, with goods, and with beasts, and with precious things, beside all {that} was willingly offered. {strengthened...: that is, helped them}	0.375	positive	Todos os seus vizinhos os ajudaram, trazendo-lhes utensílios de prata e ouro, bens, animais, e presentes valiosos, além de todas as ofertas voluntárias que fizeram.
EZR.1.7	1	7	Also Cyrus the king brought forth the vessels of the house of the LORD, which Nebuchadnezzar had brought forth out of Jerusalem, and had put them in the house of his gods;	0.0	neutral	Além disso, o rei Ciro mandou tirar os utensílios pertencentes ao templo do Senhor, os quais Nabucodonosor tinha levado de Jerusalém e colocado no templo do seu deus.
EZR.1.8	1	8	Even those did Cyrus king of Persia bring forth by the hand of Mithredath the treasurer, and numbered them unto Sheshbazzar, the prince of Judah.	0.0	neutral	Ciro, rei da Pérsia, ordenou que fossem tirados pelo tesoureiro Mitredate, que os enumerou e os entregou a Sesbazar, governador de Judá.
EZR.1.9	1	9	And this {is} the number of them: thirty chargers of gold, a thousand chargers of silver, nine and twenty knives,	0.0	neutral	O total foi o seguinte: 30 tigelas de ouro, 1. 000 tigelas de prata, 29 panelas de prata,
EZR.1.10	1	10	Thirty basons of gold, silver basons of a second {sort} four hundred and ten, {and} other vessels a thousand.	-0.0417	neutral	30 bacias de ouro, 410 bacias de prata de qualidade inferior e 1. 000 outros objetos
EZR.1.11	1	11	All the vessels of gold and of silver {were} five thousand and four hundred. All {these} did Sheshbazzar bring up with {them of} the captivity that were brought up from Babylon unto Jerusalem. {the captivity: Heb. the transportation}	0.0	neutral	Ao todo foram, na verdade, cinco mil e quatrocentos utensílos de ouro e de prata. Sesbazar trouxe tudo isso consigo quando os exilados vieram da Babilônia para Jerusalém.
EZR.2.1	2	1	Now these {are} the children of the province that went up out of the captivity, of those which had been carried away, whom Nebuchadnezzar the king of Babylon had carried away unto Babylon, and came again unto Jerusalem and Judah, every one unto his city;	0.0	neutral	Esta é a lista dos homens da província que Nabucodonosor, rei da Babilônia, tinha levado prisioneiros para a Babilônia. Eles voltaram para Jerusalém e Judá, cada um para a sua própria cidade.
EZR.2.2	2	2	Which came with Zerubbabel: Jeshua, Nehemiah, Seraiah, Reelaiah, Mordecai, Bilshan, Mispar, Bigvai, Rehum, Baanah. The number of the men of the people of Israel: {Seraiah: also called, Azariah} {Reelaiah: or, Raamiah} {Mispar: or, Mispereth} {Rehum: or, Nehum}	-0.75	negative	Vieram na companhia de Zorobabel, Jesua, Neemias, Seraías, Reelaías, Mardoqueu, Bilsã, Mispar, Bigvai, Reum e Baaná. Esta é a lista dos israelitas:
EZR.2.3	2	3	The children of Parosh, two thousand an hundred seventy and two.	0.0	neutral	os descendentes de Parós 2. 172
