verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
HAB.1.1	1	1	The burden which Habakkuk the prophet did see.	0.0	neutral	Advertência do profeta Habacuque.
HAB.1.2	1	2	O LORD, how long shall I cry, and thou wilt not hear! {even} cry out unto thee {of} violence, and thou wilt not save!	-0.0781	neutral	"Até quando, Senhor, clamarei por socorro, sem que tu ouças? Até quando gritarei a ti: ""Violência! "" sem que tragas salvação?"
HAB.1.3	1	3	Why dost thou shew me iniquity, and cause {me} to behold grievance? for spoiling and violence {are} before me: and there are {that} raise up strife and contention.	0.0	neutral	Por que me fazes ver a injustiça, e contemplar a maldade? A destruição e a violência estão diante de mim; há luta e conflito por todo lado.
HAB.1.4	1	4	Therefore the law is slacked, and judgment doth never go forth: for the wicked doth compass about the righteous; therefore wrong judgment proceedeth. {wrong: or, wrested}	-0.5	negative	Por isso a lei se enfraquece e a justiça nunca prevalece. Os ímpios prejudicam os justos, e assim a justiça é pervertida.
HAB.1.5	1	5	Behold ye among the heathen, and regard, and wonder marvellously: for {I} will work a work in your days, {which} ye will not believe, though it be told {you}.	0.0	neutral	"""Olhem as nações e contemplem-nas, fiquem atônitos e pasmem; pois nos dias de vocês farei algo em que não creriam, se lhes fosse contado."
HAB.1.6	1	6	For, lo, I raise up the Chaldeans, {that} bitter and hasty nation, which shall march through the breadth of the land, to possess the dwellingplaces {that are} not theirs. {breadth: Heb. breadths}	-0.1	neutral	Estou trazendo os babilônios, nação cruel e impetuosa, que marcha por toda a extensão da terra para apoderar-se de moradias que não lhe pertencem.
HAB.1.7	1	7	They {are} terrible and dreadful: their judgment and their dignity shall proceed of themselves. {their judgment...: or, from them shall proceed the judgment of these, and the captivity of these}	-1.0	negative	É uma nação apavorante e temível, que cria a sua própria justiça e promove a sua própria honra.
HAB.1.8	1	8	Their horses also are swifter than the leopards, and are more fierce than the evening wolves: and their horsemen shall spread themselves, and their horsemen shall come from far; they shall fly as the eagle {that} hasteth to eat. {fierce: Heb. sharp}	0.3187	positive	Seus cavalos são mais velozes que os leopardos, mais ferozes que os lobos no crepúsculo. Sua cavalaria vem de longe. Seus cavalos vêm a galope; vêm voando como ave de rapina que mergulha para devorar;
HAB.1.9	1	9	They shall come all for violence: their faces shall sup up {as} the east wind, and they shall gather the captivity as the sand. {their...: or, the supping up of their faces, etc: or, their faces shall look (Heb. the opposition of their faces) toward the east}	0.0	neutral	todos vêm prontos para a violência. Suas hordas avançam como o vento do deserto e fazendo tantos prisioneiros como a areia da praia.
HAB.1.10	1	10	And they shall scoff at the kings, and the princes shall be a scorn unto them: they shall deride every strong hold; for they shall heap dust, and take it.	0.4333	positive	Menosprezam os reis e zombam dos governantes. Riem de todas as cidades fortificadas, pois constroem rampas de terra e por elas as conquistam.
HAB.1.11	1	11	Then shall {his} mind change, and he shall pass over, and offend, {imputing} this his power unto his god.	0.0	neutral	"Depois passam como o vento e prosseguem; homens carregados de culpa, e que têm por deus a sua própria força""."
HAB.1.12	1	12	{Art} thou not from everlasting, O LORD my God, mine Holy One? we shall not die. O LORD, thou hast ordained them for judgment; and, O mighty God, thou hast established them for correction. {mighty...: Heb. rock} {established: Heb. founded}	0.4	positive	Senhor, tu não és desde a eternidade? Meu Deus, meu Santo, tu não morrerás. Senhor, tu designaste essa nação para executar juízo; ó Rocha, determinaste a ela que aplicasse castigo.
HAB.1.13	1	13	{Thou art} of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, {and} holdest thy tongue when the wicked devoureth {the man that is} more righteous than he? {iniquity: or, grievance}	-0.25	negative	Teus olhos são tão puros, que não suportam ver o mal; não podes tolerar a maldade. Por que toleras então esses perversos? Por que ficas calado enquanto os ímpios engolem os que são mais justos do que eles?
HAB.1.14	1	14	And makest men as the fishes of the sea, as the creeping things, {that have} no ruler over them? {creeping: or, moving}	0.0	neutral	Tornaste os homens como peixes do mar, como animais, que não são governados por ninguém.
HAB.1.15	1	15	They take up all of them with the angle, they catch them in their net, and gather them in their drag: therefore they rejoice and are glad. {drag: or, flue net}	0.06	neutral	Esses ímpios puxam a todos com anzóis, apanham-nos em suas redes e nelas os arrastam; então alegram-se e exultam.
HAB.1.16	1	16	Therefore they sacrifice unto their net, and burn incense unto their drag; because by them their portion {is} fat, and their meat plenteous. {plenteous: or, dainty: Heb. fat}	0.2667	positive	E por essa razão eles oferecem sacrifício às suas redes e queimam incenso em sua honra, pois, graças às suas redes, vivem em grande conforto e desfrutam iguarias.
HAB.1.17	1	17	Shall they therefore empty their net, and not spare continually to slay the nations?	-0.05	neutral	Mas, continuará ele esvaziando a sua rede, destruindo sem misericórdia as nações?
HAB.2.1	2	1	I will stand upon my watch, and set me upon the tower, and will watch to see what he will say unto me, and what I shall answer when I am reproved. {tower: Heb. fenced place} {unto me: or, in me} {when...: or, when I am argued with: Heb. upon my reproof, or, arguing}	0.0	neutral	Ficarei no meu posto de sentinela e tomarei posição sobre a muralha; aguardarei para ver o que ele me dirá e que resposta terei à minha queixa.
HAB.2.2	2	2	And the LORD answered me, and said, Write the vision, and make {it} plain upon tables, that he may run that readeth it.	-0.2143	negative	"Então o Senhor respondeu: ""Escreva claramente a visão em tabuinhas, para que se leia facilmente."
