verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
HEB.1.1	1	1	God, who at sundry times and in divers manners spake in time past unto the fathers by the prophets,	-0.25	negative	Há muito tempo Deus falou muitas vezes e de várias maneiras aos nossos antepassados por meio dos profetas,
HEB.1.2	1	2	Hath in these last days spoken unto us by {his} Son, whom he hath appointed heir of all things, by whom also he made the worlds;	0.0	neutral	mas nestes últimos dias falou-nos por meio do Filho, a quem constituiu herdeiro de todas as coisas e por meio de quem fez o universo.
HEB.1.3	1	3	Who being the brightness of {his} glory, and the express image of his person, and upholding all things by the word of his power, when he had by himself purged our sins, sat down on the right hand of the Majesty on high;	0.0967	neutral	O Filho é o resplendor da glória de Deus e a expressão exata do seu ser, sustentando todas as coisas por sua palavra poderosa. Depois de ter realizado a purificação dos pecados, ele se assentou à direita da Majestade nas alturas,
HEB.1.4	1	4	Being made so much better than the angels, as he hath by inheritance obtained a more excellent name than they.	0.6667	positive	tornando-se tão superior aos anjos quanto o nome que herdou é superior ao deles.
HEB.1.5	1	5	For unto which of the angels said he at any time, Thou art my Son, this day have I begotten thee? And again, I will be to him a Father, and he shall be to me a Son?	0.0	neutral	"Pois a qual dos anjos Deus alguma vez disse: ""Tu és meu Filho; eu hoje te gerei""? E outra vez: ""Eu serei seu Pai, e ele será meu Filho""?"
HEB.1.6	1	6	And again, when he bringeth in the firstbegotten into the world, he saith, And let all the angels of God worship him. {again...: or, when he bringeth again}	0.0	neutral	"E ainda, quando Deus introduz o Primogênito no mundo, diz: ""Todos os anjos de Deus o adorem""."
HEB.1.7	1	7	And of the angels he saith, Who maketh his angels spirits, and his ministers a flame of fire. {And of: Gr. And unto}	0.0	neutral	"Quanto aos anjos, ele diz: ""Ele faz dos seus anjos ventos, e dos seus servos, clarões reluzentes""."
HEB.1.8	1	8	But unto the Son {he saith}, Thy throne, O God, {is} for ever and ever: a sceptre of righteousness {is} the sceptre of thy kingdom. {righteousness: Gr. rightness, or, straightness}	0.0	neutral	"Mas a respeito do Filho, diz: ""O teu trono, ó Deus, subsiste para todo o sempre; cetro de eqüidade é o cetro do teu Reino."
HEB.1.9	1	9	Thou hast loved righteousness, and hated iniquity; therefore God, {even} thy God, hath anointed thee with the oil of gladness above thy fellows.	-0.0667	neutral	"Amas a justiça e odeias a iniqüidade; por isso, Deus, o teu Deus, escolheu-te dentre os teus companheiros, ungindo-te com óleo de alegria""."
HEB.1.10	1	10	And, Thou, Lord, in the beginning hast laid the foundation of the earth; and the heavens are the works of thine hands:	0.0	neutral	"E também diz: ""No princípio, Senhor, firmaste os fundamentos da terra, e os céus são obras das tuas mãos."
HEB.1.11	1	11	They shall perish; but thou remainest; and they all shall wax old as doth a garment;	0.1	neutral	Eles perecerão, mas tu permanecerás; envelhecerão como vestimentas.
HEB.1.12	1	12	And as a vesture shalt thou fold them up, and they shall be changed: but thou art the same, and thy years shall not fail.	0.125	positive	"Tu os enrolarás como um manto, como roupas eles serão trocados. Mas tu permaneces o mesmo, e os teus dias jamais terão fim""."
HEB.1.13	1	13	But to which of the angels said he at any time, Sit on my right hand, until I make thine enemies thy footstool?	0.2857	positive	"A qual dos anjos Deus alguma vez disse: ""Senta-te à minha direita, até que eu faça dos teus inimigos um estrado para os teus pés""?"
HEB.1.14	1	14	Are they not all ministering spirits, sent forth to minister for them who shall be heirs of salvation?	0.0	neutral	Os anjos não são, todos eles, espíritos ministradores enviados para servir aqueles que hão de herdar a salvação?
HEB.2.1	2	1	Therefore we ought to give the more earnest heed to the things which we have heard, lest at any time we should let {them} slip. {let...: Gr. run out as leaking vessels}	0.5	positive	Por isso é preciso que prestemos maior atenção ao que temos ouvido, para que jamais nos desviemos.
HEB.2.2	2	2	For if the word spoken by angels was stedfast, and every transgression and disobedience received a just recompence of reward;	0.0	neutral	Porque se a mensagem transmitida por anjos provou a sua firmeza, e toda transgressão e desobediência recebeu a devida punição,
HEB.2.3	2	3	How shall we escape, if we neglect so great salvation; which at the first began to be spoken by the Lord, and was confirmed unto us by them that heard {him};	0.4833	positive	como escaparemos nós, se negligenciarmos tão grande salvação? Esta salvação, primeiramente anunciada pelo Senhor, foi-nos confirmada pelos que a ouviram.
HEB.2.4	2	4	God also bearing {them} witness, both with signs and wonders, and with divers miracles, and gifts of the Holy Ghost, according to his own will? {gifts: or, distributions}	0.6	positive	Deus também deu testemunho dela por meio de sinais, maravilhas, diversos milagres e dons do Espírito Santo distribuídos de acordo com a sua vontade.
HEB.2.5	2	5	For unto the angels hath he not put in subjection the world to come, whereof we speak.	0.0	neutral	Não foi a anjos que ele sujeitou o mundo que há de vir, a respeito do qual estamos falando,
HEB.2.6	2	6	But one in a certain place testified, saying, What is man, that thou art mindful of him? or the son of man, that thou visitest him?	0.2143	positive	"mas alguém em certo lugar testemunhou, dizendo: ""Que é o homem, para que com ele te importes? E o filho do homem, para que com ele te preocupes?"
HEB.2.7	2	7	Thou madest him a little lower than the angels; thou crownedst him with glory and honour, and didst set him over the works of thy hands: {lower...: or, while inferior to}	-0.4688	negative	Tu o fizeste um pouco menor do que os anjos e o coroaste de glória e de honra;
HEB.2.8	2	8	Thou hast put all things in subjection under his feet. For in that he put all in subjection under him, he left nothing {that is} not put under him. But now we see not yet all things put under him.	0.0	neutral	"tudo sujeitaste debaixo dos seus pés"". Ao lhe sujeitar todas as coisas, nada deixou que não lhe estivesse sujeito. Agora, porém, ainda não vemos que todas as coisas lhe estejam sujeitas."
