verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
JER.49.20	49	20	Therefore hear the counsel of the LORD, that he hath taken against Edom; and his purposes, that he hath purposed against the inhabitants of Teman: Surely the least of the flock shall draw them out: surely he shall make their habitations desolate with them.	0.2333	positive	Por isso, ouçam o que o Senhor planejou contra Edom, o que preparou contra os habitantes de Temã: Os menores do rebanho serão arrastados, e as pastagens ficarão devastadas por causa deles.
JER.49.21	49	21	The earth is moved at the noise of their fall, at the cry the noise thereof was heard in the Red sea. {Red sea: Heb. Weedy sea}	0.0	neutral	Ao som de sua queda a terra tremerá; o grito deles ressoará até o mar Vermelho.
JER.49.22	49	22	Behold, he shall come up and fly as the eagle, and spread his wings over Bozrah: and at that day shall the heart of the mighty men of Edom be as the heart of a woman in her pangs.	0.6	positive	Vejam! Uma águia, subindo e planando, estende as asas sobre Bozra. Naquele dia, a coragem dos guerreiros de Edom será como a de uma mulher dando à luz.
JER.49.23	49	23	Concerning Damascus. Hamath is confounded, and Arpad: for they have heard evil tidings: they are fainthearted; {there is} sorrow on the sea; it cannot be quiet. {fainthearted: Heb. melted} {on...: or, as on the sea}	-0.5	negative	"Acerca de Damasco: ""Hamate e Arpade estão atônitas, pois ouviram más notícias. Estão desencorajadas, perturbadas como o mar agitado."
JER.49.24	49	24	Damascus is waxed feeble, {and} turneth herself to flee, and fear hath seized on {her}: anguish and sorrows have taken her, as a woman in travail.	-0.5	negative	Damasco tornou-se frágil, ela se virou para fugir, e o pânico tomou conta dela; angústia e dor dela se apoderaram, dor como a de uma mulher em trabalho de parto.
JER.49.25	49	25	How is the city of praise not left, the city of my joy!	0.5	positive	Como está abandonada a cidade famosa, a cidade da alegria!
JER.49.26	49	26	Therefore her young men shall fall in her streets, and all the men of war shall be cut off in that day, saith the LORD of hosts.	0.1	neutral	"Por isso, os seus jovens cairão nas ruas e todos os seus guerreiros se calarão naquele dia"", declara o Senhor dos exércitos."
JER.49.27	49	27	And I will kindle a fire in the wall of Damascus, and it shall consume the palaces of Benhadad.	0.0	neutral	"""Porei fogo nas muralhas de Damasco, que consumirá as fortalezas de Ben-Hadade. """
JER.49.28	49	28	Concerning Kedar, and concerning the kingdoms of Hazor, which Nebuchadrezzar king of Babylon shall smite, thus saith the LORD; Arise ye, go up to Kedar, and spoil the men of the east.	0.0	neutral	"Acerca de Quedar e os reinos de Hazor, que Nabucodonosor, rei da Babilônia, derrotou, assim diz o Senhor: ""Preparem-se, ataquem Quedar e destruam o povo do oriente."
JER.49.29	49	29	Their tents and their flocks shall they take away: they shall take to themselves their curtains, and all their vessels, and their camels; and they shall cry unto them, Fear {is} on every side.	0.0	neutral	Tomem suas tendas e seus rebanhos, suas cortinas com todos os seus utensílios e camelos. Gritam contra eles: 'Há terror por todos os lados! '
