verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
LAM.1.1	1	1	How doth the city sit solitary, {that was} full of people! {how} is she become as a widow! she {that was} great among the nations, {and} princess among the provinces, {how} is she become tributary!	0.7734	positive	Como está deserta a cidade, antes tão cheia de gente! Como se parece com uma viúva, a que antes era grandiosa entre as nações! A que era a princesa das províncias agora tornou-se uma escrava.
LAM.1.2	1	2	She weepeth sore in the night, and her tears {are} on her cheeks: among all her lovers she hath none to comfort {her}: all her friends have dealt treacherously with her, they are become her enemies.	0.0	neutral	Chora amargamente à noite, as lágrimas rolam por seu rosto. De todos os seus amantes nenhum a consola. Todos os seus amigos a traíram; tornaram-se seus inimigos.
LAM.1.3	1	3	Judah is gone into captivity because of affliction, and because of great servitude: she dwelleth among the heathen, she findeth no rest: all her persecutors overtook her between the straits. {because of great...: Heb. for the greatness of servitude}	0.8	positive	Em aflição e sob trabalhos forçados, Judá foi levado ao exílio. Vive entre as nações sem encontrar repouso. Todos os que a perseguiram a capturaram em meio ao seu desespero.
LAM.1.4	1	4	The ways of Zion do mourn, because none come to the solemn feasts: all her gates are desolate: her priests sigh, her virgins are afflicted, and she {is} in bitterness.	0.0	neutral	Os caminhos para Sião pranteiam, porque ninguém comparece às suas festas fixas. Todas as suas portas estão desertas, seus sacerdotes gemem, suas moças se entristecem, e ela se encontra em angústia profunda.
LAM.1.5	1	5	Her adversaries are the chief, her enemies prosper; for the LORD hath afflicted her for the multitude of her transgressions: her children are gone into captivity before the enemy.	0.0	neutral	Seus adversários são os seus chefes; seus inimigos estão tranqüilos. O Senhor lhe trouxe tristeza por causa dos seus muitos pecados. Seus filhos foram levados ao exílio, prisioneiros dos adversários.
LAM.1.6	1	6	And from the daughter of Zion all her beauty is departed: her princes are become like harts {that} find no pasture, and they are gone without strength before the pursuer.	0.0	neutral	Todo o esplendor fugiu da cidade de Sião. Seus líderes são como corças que não encontram pastagem; sem forças fugiram diante do perseguidor.
LAM.1.7	1	7	Jerusalem remembered in the days of her affliction and of her miseries all her pleasant things that she had in the days of old, when her people fell into the hand of the enemy, and none did help her: the adversaries saw her, {and} did mock at her sabbaths. {pleasant: or, desirable}	0.5222	positive	Nos dias de sua aflição e de seu desnorteio Jerusalém se lembra de todos os tesouros que lhe pertenciam nos tempos passados. Quando o seu povo caiu nas mãos do inimigo, ninguém veio ajudá-la. Seus inimigos olharam para ela e zombaram da sua queda.
LAM.1.8	1	8	Jerusalem hath grievously sinned; therefore she is removed: all that honoured her despise her, because they have seen her nakedness: yea, she sigheth, and turneth backward. {is...: Heb. is become a removing, or, wandering}	-0.8	negative	Jerusalém cometeu graves pecados; por isso tornou-se impura. Todos os que a honravam agora a desprezam, porque viram a sua nudez; ela mesma geme e se desvia deles.
LAM.1.9	1	9	Her filthiness {is} in her skirts; she remembereth not her last end; therefore she came down wonderfully: she had no comforter. O LORD, behold my affliction: for the enemy hath magnified {himself}.	0.2815	positive	"Sua impureza prende-se às suas saias; ela não esperava que chegaria o seu fim. Sua queda foi surpreendente; ninguém veio consolá-la. ""Olha, Senhor, para a minha aflição, pois o inimigo triunfou. """
LAM.1.10	1	10	The adversary hath spread out his hand upon all her pleasant things: for she hath seen {that} the heathen entered into her sanctuary, whom thou didst command {that} they should not enter into thy congregation. {pleasant: or, desirable}	0.7333	positive	O adversário saqueia todos os seus tesouros; ela viu nações pagãs entrarem em seu santuário, sendo que tu as tinhas proibido de participar das tuas assembléias.
LAM.1.11	1	11	All her people sigh, they seek bread; they have given their pleasant things for meat to relieve the soul: see, O LORD, and consider; for I am become vile. {to...: or, to make the soul to come again}	0.7333	positive	"Todo o seu povo se lamenta enquanto vai em busca de pão; e para sobreviverem, trocam os tesouros por comida. ""Olha, Senhor, e considera, pois tenho sido desprezada. """
LAM.1.12	1	12	{Is it} nothing to you, all ye that pass by? behold, and see if there be any sorrow like unto my sorrow, which is done unto me, wherewith the LORD hath afflicted {me} in the day of his fierce anger. {Is it...: or, It is nothing} {pass by: Heb. pass by the way?}	-0.7	negative	"""Vocês não se comovem, todos vocês que passam por aqui? Olhem ao redor e vejam se há sofrimento maior do que o que me foi imposto e que o Senhor trouxe sobre mim no dia em que se acendeu a sua ira."
LAM.1.13	1	13	From above hath he sent fire into my bones, and it prevaileth against them: he hath spread a net for my feet, he hath turned me back: he hath made me desolate {and} faint all the day.	-0.125	negative	Do alto ele fez cair fogo sobre os meus ossos. Armou uma rede para os meus pés e me derrubou de costas. Deixou-me desolada, desfalecida o dia todo.
LAM.1.14	1	14	The yoke of my transgressions is bound by his hand: they are wreathed, {and} come up upon my neck: he hath made my strength to fall, the Lord hath delivered me into {their} hands, {from whom} I am not able to rise up.	-0.25	negative	Os meus pecados foram amarrados num jugo; suas mãos os ataram todos juntos, e os colocaram em meu pescoço; o Senhor abateu a minha força. Ele me entregou àqueles que não consigo vencer.
LAM.1.15	1	15	The Lord hath trodden under foot all my mighty {men} in the midst of me: he hath called an assembly against me to crush my young men: the Lord hath trodden the virgin, the daughter of Judah, {as} in a winepress. {the virgin...: or, the winepress of the virgin, etc}	0.25	positive	O Senhor dispersou todos os guerreiros que me apoiavam; convocou um exército contra mim para destruir os meus jovens. O Senhor pisou no seu lagar a virgem, a cidade de Judá.
LAM.1.16	1	16	For these {things} I weep; mine eye, mine eye runneth down with water, because the comforter that should relieve my soul is far from me: my children are desolate, because the enemy prevailed. {relieve: Heb. bring back}	-0.0185	neutral	"É por isso que eu choro; as lágrimas inundam os meus olhos. Ninguém está por perto para consolar-me, não há ninguém que restaure o meu espírito. Meus filhos estão desamparados porque o inimigo prevaleceu. """
LAM.1.17	1	17	Zion spreadeth forth her hands, {and there is} none to comfort her: the LORD hath commanded concerning Jacob, {that} his adversaries {should be} round about him: Jerusalem is as a menstruous woman among them.	-0.2	negative	Sião estende as mãos suplicantes mas não há quem a console. O Senhor decretou que os vizinhos de Jacó se tornem seus adversários; Jerusalém tornou-se coisa imunda entre eles.
