verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
LEV.21.1	21	1	And the LORD said unto Moses, Speak unto the priests the sons of Aaron, and say unto them, There shall none be defiled for the dead among his people:	-0.2	negative	"Disse ainda o Senhor a Moisés: ""Diga o seguinte aos sacerdotes, os filhos de Arão: Um sacerdote não poderá tornar-se impuro por causa de alguém do seu povo que venha a morrer,"
LEV.21.2	21	2	But for his kin, that is near unto him, {that is}, for his mother, and for his father, and for his son, and for his daughter, and for his brother,	0.1	neutral	a não ser por um parente próximo, como mãe ou pai, filho ou filha, irmão,
LEV.21.3	21	3	And for his sister a virgin, that is nigh unto him, which hath had no husband; for her may he be defiled.	0.0	neutral	ou irmã virgem dependente dele por ainda não ter marido; por causa dela, poderá tornar-se impuro.
LEV.21.4	21	4	{But} he shall not defile himself, {being} a chief man among his people, to profane himself. {he...: or, being an husband among his people, he shall not defile himself for his wife, etc}	0.0	neutral	Não poderá tornar-se impuro e contaminar-se por causa de parentes por casamento.
LEV.21.5	21	5	They shall not make baldness upon their head, neither shall they shave off the corner of their beard, nor make any cuttings in their flesh.	0.0	neutral	"""Os sacerdotes não raparão a cabeça, nem apararão as pontas da barba, nem farão cortes no corpo."
LEV.21.6	21	6	They shall be holy unto their God, and not profane the name of their God: for the offerings of the LORD made by fire, {and} the bread of their God, they do offer: therefore they shall be holy.	0.0	neutral	Serão santos ao seu Deus, e não profanarão o nome do seu Deus. Pelo fato de apresentarem ao Senhor as ofertas preparadas no fogo, ofertas de alimento do seu Deus, serão santos.
LEV.21.7	21	7	They shall not take a wife {that is} a whore, or profane; neither shall they take a woman put away from her husband: for he {is} holy unto his God.	0.0	neutral	"""Não poderão tomar por mulher uma prostituta, uma moça que tenha perdido a virgindade, ou uma mulher divorciada do seu marido, porque o sacerdote é santo ao seu Deus."
LEV.21.8	21	8	Thou shalt sanctify him therefore; for he offereth the bread of thy God: he shall be holy unto thee: for I the LORD, which sanctify you, {am} holy.	0.0	neutral	Considerem-no santo, porque ele oferece o alimento do seu Deus. Considerem-no santo, porque eu, o Senhor, que os santifico, sou santo.
LEV.21.9	21	9	And the daughter of any priest, if she profane herself by playing the whore, she profaneth her father: she shall be burnt with fire.	0.0	neutral	"""Se a filha de um sacerdote se corromper, tornando-se prostituta, desonra seu pai; será queimada com fogo."
LEV.21.10	21	10	And {he that is} the high priest among his brethren, upon whose head the anointing oil was poured, and that is consecrated to put on the garments, shall not uncover his head, nor rend his clothes;	0.18	positive	"""O sumo sacerdote, aquele entre seus irmãos sobre cuja cabeça tiver sido derramado o óleo da unção, e que tiver sido consagrado para usar as vestes sacerdotais, não andará descabelado, nem rasgará as roupas em sinal de luto."
LEV.21.11	21	11	Neither shall he go in to any dead body, nor defile himself for his father, or for his mother;	-0.2	negative	Não entrará onde houver um cadáver. Não se tornará impuro, nem mesmo por causa do seu pai ou da sua mãe;
LEV.21.12	21	12	Neither shall he go out of the sanctuary, nor profane the sanctuary of his God; for the crown of the anointing oil of his God {is} upon him: I {am} the LORD.	0.0	neutral	e não deixará o santuário do seu Deus, nem o profanará, porquanto foi consagrado pelo óleo da unção do seu Deus. Eu sou o Senhor.
LEV.21.13	21	13	And he shall take a wife in her virginity.	0.0	neutral	"""A mulher que ele tomar terá que ser virgem."
LEV.21.14	21	14	A widow, or a divorced woman, or profane, {or} an harlot, these shall he not take: but he shall take a virgin of his own people to wife.	0.6	positive	Não poderá ser viúva, nem divorciada, nem moça que perdeu a virgindade, nem prostituta, mas terá que ser uma virgem do seu próprio povo,
