verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
PHP.1.1	1	1	Paul and Timotheus, the servants of Jesus Christ, to all the saints in Christ Jesus which are at Philippi, with the bishops and deacons:	0.0	neutral	Paulo e Timóteo, servos de Cristo Jesus, a todos os santos em Cristo Jesus que estão em Filipos, juntamente com os bispos e diáconos:
PHP.1.2	1	2	Grace {be} unto you, and peace, from God our Father, and {from} the Lord Jesus Christ.	0.0	neutral	A vocês, graça e paz da parte de Deus nosso Pai e do Senhor Jesus Cristo.
PHP.1.3	1	3	I thank my God upon every remembrance of you, {remembrance: or, mention}	0.0	neutral	Agradeço a meu Deus toda vez que me lembro de vocês.
PHP.1.4	1	4	Always in every prayer of mine for you all making request with joy,	0.8	positive	Em todas as minhas orações em favor de vocês, sempre oro com alegria
PHP.1.5	1	5	For your fellowship in the gospel from the first day until now;	0.25	positive	por causa da cooperação que vocês têm dado ao evangelho, desde o primeiro dia até agora.
PHP.1.6	1	6	Being confident of this very thing, that he which hath begun a good work in you will perform {it} until the day of Jesus Christ: {perform: or, finish}	0.1625	positive	Estou convencido de que aquele que começou boa obra em vocês, vai completá-la até o dia de Cristo Jesus.
PHP.1.7	1	7	Even as it is meet for me to think this of you all, because I have you in my heart; inasmuch as both in my bonds, and in the defence and confirmation of the gospel, ye all are partakers of my grace. {I have...: or, ye have me in your heart} {of my...: or, with me of grace}	0.0	neutral	É justo que eu assim me sinta a respeito de todos vocês, uma vez que os tenho em meu coração, pois, quer nas correntes que me prendem quer defendendo e confirmando o evangelho, todos vocês participam comigo da graça de Deus.
PHP.1.8	1	8	For God is my record, how greatly I long after you all in the bowels of Jesus Christ.	-0.05	neutral	Deus é minha testemunha de como tenho saudade de todos vocês, com a profunda afeição de Cristo Jesus.
PHP.1.9	1	9	And this I pray, that your love may abound yet more and more in knowledge and {in} all judgment; {judgment: or, sense}	0.5	positive	Esta é a minha oração: que o amor de vocês aumente cada vez mais em conhecimento e em toda a percepção,
PHP.1.10	1	10	That ye may approve things that are excellent; that ye may be sincere and without offence till the day of Christ; {approve: or, try} {are...: or, differ}	0.75	positive	para discernirem o que é melhor, a fim de serem puros e irrepreensíveis até o dia de Cristo,
PHP.1.11	1	11	Being filled with the fruits of righteousness, which are by Jesus Christ, unto the glory and praise of God.	0.4	positive	cheios do fruto da justiça, fruto que vem por meio de Jesus Cristo, para glória e louvor de Deus.
PHP.1.12	1	12	But I would ye should understand, brethren, that the things {which happened} unto me have fallen out rather unto the furtherance of the gospel;	0.0	neutral	Quero que saibam, irmãos, que aquilo que me aconteceu tem antes servido para o progresso do evangelho.
PHP.1.13	1	13	So that my bonds in Christ are manifest in all the palace, and in all other {places}; {in Christ: or, for Christ} {the palace: or, Caesar's court} {in all other...: or, to all others}	-0.125	negative	Como resultado, tornou-se evidente a toda a guarda do palácio e a todos os demais que estou na prisão por causa de Cristo.
PHP.1.14	1	14	And many of the brethren in the Lord, waxing confident by my bonds, are much more bold to speak the word without fear.	0.4583	positive	E a maioria dos irmãos, motivados no Senhor pela minha prisão, estão anunciando a palavra com maior determinação e destemor.
PHP.1.15	1	15	Some indeed preach Christ even of envy and strife; and some also of good will:	0.7	positive	É verdade que alguns pregam a Cristo por inveja e rivalidade, mas outros o fazem de boa vontade.
PHP.1.16	1	16	The one preach Christ of contention, not sincerely, supposing to add affliction to my bonds:	-0.25	negative	Estes o fazem por amor, sabendo que aqui me encontro para a defesa do evangelho.
PHP.1.17	1	17	But the other of love, knowing that I am set for the defence of the gospel.	0.1875	positive	Aqueles pregam a Cristo por ambição egoísta, sem sinceridade, pensando que me podem causar sofrimento enquanto estou preso.
PHP.1.18	1	18	What then? notwithstanding, every way, whether in pretence, or in truth, Christ is preached; and I therein do rejoice, yea, and will rejoice.	0.0	neutral	Mas, que importa? O importante é que de qualquer forma, seja por motivos falsos ou verdadeiros, Cristo está sendo pregado, e por isso me alegro. De fato, continuarei a alegrar-me,
PHP.1.19	1	19	For I know that this shall turn to my salvation through your prayer, and the supply of the Spirit of Jesus Christ,	0.0	neutral	pois sei que o que me aconteceu resultará em minha libertação, graças às orações de vocês e ao auxílio do Espírito de Jesus Cristo.
PHP.1.20	1	20	According to my earnest expectation and {my} hope, that in nothing I shall be ashamed, but {that} with all boldness, as always, {so} now also Christ shall be magnified in my body, whether {it be} by life, or by death.	0.0	neutral	Aguardo ansiosamente e espero que em nada serei envergonhado. Pelo contrário, com toda a determinação de sempre, também agora Cristo será engrandecido em meu corpo, quer pela vida quer pela morte;
PHP.1.21	1	21	For to me to live {is} Christ, and to die {is} gain.	0.1364	positive	porque para mim o viver é Cristo e o morrer é lucro.
PHP.1.22	1	22	But if I live in the flesh, this {is} the fruit of my labour: yet what I shall choose I wot not.	0.1364	positive	Caso continue vivendo no corpo, terei fruto do meu trabalho. E já não sei o que escolher!
PHP.1.23	1	23	For I am in a strait betwixt two, having a desire to depart, and to be with Christ; which is far better:	0.3	positive	Estou pressionado dos dois lados: desejo partir e estar com Cristo, o que é muito melhor;
PHP.1.24	1	24	Nevertheless to abide in the flesh {is} more needful for you.	0.5	positive	contudo, é mais necessário, por causa de vocês, que eu permaneça no corpo.
PHP.1.25	1	25	And having this confidence, I know that I shall abide and continue with you all for your furtherance and joy of faith;	0.8	positive	Convencido disso, sei que vou permanecer e continuar com todos vocês, para o seu progresso e alegria na fé,
PHP.1.26	1	26	That your rejoicing may be more abundant in Jesus Christ for me by my coming to you again.	0.55	positive	a fim de que, pela minha presença, outra vez a exultação de vocês em Cristo Jesus transborde por minha causa.
PHP.1.27	1	27	Only let your conversation be as it becometh the gospel of Christ: that whether I come and see you, or else be absent, I may hear of your affairs, that ye stand fast in one spirit, with one mind striving together for the faith of the gospel;	0.1	neutral	Não importa o que aconteça, exerçam a sua cidadania de maneira digna do evangelho de Cristo, para que assim, quer eu vá e os veja, quer apenas ouça a seu respeito em minha ausência, fique eu sabendo que vocês permanecem firmes num só espírito, lutando unânimes pela fé evangélica,
PHP.1.28	1	28	And in nothing terrified by your adversaries: which is to them an evident token of perdition, but to you of salvation, and that of God.	0.25	positive	sem de forma alguma deixar-se intimidar por aqueles que se opõem a vocês. Para eles isso é sinal de destruição, mas para vocês de salvação, e isso da parte de Deus;
PHP.1.29	1	29	For unto you it is given in the behalf of Christ, not only to believe on him, but also to suffer for his sake;	0.0	neutral	pois a vocês foi dado o privilégio de, não apenas crer em Cristo, mas também de sofrer por ele,
PHP.1.30	1	30	Having the same conflict which ye saw in me, and now hear {to be} in me.	0.0	neutral	já que estão passando pelo mesmo combate que me viram enfrentar e agora ouvem que ainda enfrento.
