verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
ZEP.1.1	1	1	The word of the LORD which came unto Zephaniah the son of Cushi, the son of Gedaliah, the son of Amariah, the son of Hizkiah, in the days of Josiah the son of Amon, king of Judah.	0.0	neutral	Palavra do Senhor que veio a Sofonias, filho de Cuchi, neto de Gedalias, bisneto de Amarias e trineto de Ezequias, durante o reinado de Josias, filho de Amom, rei de Judá:
ZEP.1.2	1	2	I will utterly consume all {things} from off the land, saith the LORD. {I will...; Heb. By taking away I will make an end} {the land: Heb. the face of the land}	0.0	neutral	"""Destruirei todas as coisas na face da terra""; palavra do Senhor."
ZEP.1.3	1	3	I will consume man and beast; I will consume the fowls of the heaven, and the fishes of the sea, and the stumblingblocks with the wicked; and I will cut off man from off the land, saith the LORD. {stumblingblocks: or, idols}	0.0	neutral	"""Destruirei tanto os homens quanto os animais; destruirei as aves do céu e os peixes do mar, os que causam tropeço junto com os ímpios. Farei isso quando eu ceifar o homem da face da terra"", declara o Senhor."
ZEP.1.4	1	4	I will also stretch out mine hand upon Judah, and upon all the inhabitants of Jerusalem; and I will cut off the remnant of Baal from this place, {and} the name of the Chemarims with the priests;	0.0	neutral	"""Estenderei a mão contra Judá e contra todos os habitantes de Jerusalém. Eliminarei deste lugar o remanescente de Baal, os nomes dos oficiantes idólatras e dos sacerdotes,"
ZEP.1.5	1	5	And them that worship the host of heaven upon the housetops; and them that worship {and} that swear by the LORD, and that swear by Malcham; {by the...: or, to the LORD}	0.0	neutral	aqueles que no alto dos terraços adoram o exército de estrelas, que se prostram jurando pelo Senhor, e também por Moloque;
ZEP.1.6	1	6	And them that are turned back from the LORD; and {those} that have not sought the LORD, nor enquired for him.	0.0	neutral	aqueles que se desviam de seguir o Senhor; não o buscam nem o consultam.
ZEP.1.7	1	7	Hold thy peace at the presence of the Lord GOD: for the day of the LORD {is} at hand: for the LORD hath prepared a sacrifice, he hath bid his guests. {bid: Heb. sanctified, or, prepared}	0.0	neutral	Calem-se diante do Soberano Senhor, pois o dia do Senhor está próximo. O Senhor preparou um sacrifício; consagrou os seus convidados.
ZEP.1.8	1	8	And it shall come to pass in the day of the LORD'S sacrifice, that I will punish the princes, and the king's children, and all such as are clothed with strange apparel. {punish: Heb. visit upon}	-0.025	neutral	No dia do sacrifício do Senhor castigarei os líderes e os filhos do rei e todos os que estão vestidos com roupas estrangeiras.
ZEP.1.9	1	9	In the same day also will I punish all those that leap on the threshold, which fill their masters' houses with violence and deceit.	0.0	neutral	Naquele dia castigarei todos os que evitam pisar na soleira dos ídolos, que enchem o templo de seus deuses com violência e engano.
ZEP.1.10	1	10	And it shall come to pass in that day, saith the LORD, {that there shall be} the noise of a cry from the fish gate, and an howling from the second, and a great crashing from the hills.	0.4	positive	"""Naquele dia"", declara o Senhor, ""haverá gritos perto da porta dos Peixes, lamentos no novo distrito, e estrondos nas colinas."
ZEP.1.11	1	11	Howl, ye inhabitants of Maktesh, for all the merchant people are cut down; all they that bear silver are cut off.	-0.1556	negative	Lamentem, vocês que moram na cidade baixa; todos os seus comerciantes serão completamente destruídos, todos os que negociam com prata serão arruinados.
ZEP.1.12	1	12	And it shall come to pass at that time, {that} I will search Jerusalem with candles, and punish the men that are settled on their lees: that say in their heart, The LORD will not do good, neither will he do evil. {settled: Heb. curded, or, thickened}	-0.15	negative	Nessa época vasculharei Jerusalém com lamparinas e castigarei os que são complacentes, que são como vinho envelhecido, deixado com os seus resíduos, que pensam: 'O Senhor nada fará, nem bem nem mal'.
ZEP.1.13	1	13	Therefore their goods shall become a booty, and their houses a desolation: they shall also build houses, but not inhabit {them}; and they shall plant vineyards, but not drink the wine thereof.	0.0	neutral	A riqueza deles será saqueada, suas casas serão demolidas. Embora construam novas casas, nelas não morarão; plantarão vinhas, mas não beberão o vinho.
ZEP.1.14	1	14	The great day of the LORD {is} near, {it is} near, and hasteth greatly, {even} the voice of the day of the LORD: the mighty man shall cry there bitterly.	0.35	positive	"""O grande dia do Senhor está próximo; está próximo e logo vem. Ouçam! O dia do Senhor será amargo; até os guerreiros gritarão."
ZEP.1.15	1	15	That day {is} a day of wrath, a day of trouble and distress, a day of wasteness and desolation, a day of darkness and gloominess, a day of clouds and thick darkness,	-0.25	negative	Aquele dia será um dia de ira, dia de aflição e angústia, dia de sofrimento e ruína, dia de trevas e escuridão, dia de nuvens e negridão,
ZEP.1.16	1	16	A day of the trumpet and alarm against the fenced cities, and against the high towers.	0.16	positive	dia de toques de trombeta e gritos de guerra contra as cidades fortificadas e contra as torres elevadas.
ZEP.1.17	1	17	And I will bring distress upon men, that they shall walk like blind men, because they have sinned against the LORD: and their blood shall be poured out as dust, and their flesh as the dung.	-0.5	negative	Trarei aflição aos homens; andarão como se fossem cegos, porque pecaram contra o Senhor. O sangue deles será derramado como poeira, e suas entranhas como lixo.
ZEP.1.18	1	18	Neither their silver nor their gold shall be able to deliver them in the day of the LORD'S wrath; but the whole land shall be devoured by the fire of his jealousy: for he shall make even a speedy riddance of all them that dwell in the land.	0.35	positive	"Nem a sua prata nem o seu ouro poderão livrá-los no dia da ira do Senhor. No fogo do seu zelo o mundo inteiro será consumido, pois ele dará fim repentino a todos os que vivem na terra. """
